left_candidate,right_candidate,prediction_contract,macro_f1_delta,pr_auc_delta,at_risk_recall_delta,operational_recall_delta
V3-D0-ENS,V3-A0F-ENS,fair_ensemble_closure,0.0024544407752784547,0.0008676350601293237,0.004086302713305012,-0.0027786858450473684
V3-D0-ENS,V3-P0-ENS,fair_ensemble_closure,0.00195285141768331,0.0003995368630158591,-0.01847008826413865,-0.005884275907159231
V3-D0-ENS,V3-H3CF-ENS,fair_ensemble_closure,0.003781891842222773,0.0009309247926684305,0.015037593984962405,0.002451781627982985
V3-D0-ENS,V3-A1-ENS,fair_ensemble_closure,0.004767177586737392,0.0025373215578022856,0.0001634521085321916,-0.0019614253023864103
V3-D0-ENS,V3-MLD,fair_ensemble_closure,0.005165444404482078,0.0034282795725918414,0.008172605426610025,0.0003269042170643832
V3-D0-ENS,V3-MLF,fair_ensemble_closure,0.0054078343090523395,0.005240197186894058,0.0011441647597253413,0.07584177835894079
V3-A0F-ENS,V3-MLF,fair_ensemble_closure,0.002953393533773885,0.004372562126764734,-0.002942137953579671,0.07862046420398816
V3-A1-ENS,V3-MLD,fair_ensemble_closure,0.00039826681774468575,0.0008909580147895557,0.008009153318077833,0.0022883295194507935
V3-P0-ENS,V3-H3CF-ENS,fair_ensemble_closure,0.0018290404245394631,0.0005313879296525714,0.033507682249101056,0.008336057535142216
