candidate_id,outer_fold,prediction_contract,macro_threshold,inner_macro_f1,operational_threshold,operational_feasible,inner_operational_precision,inner_operational_recall
V3-A0F-ENS,0,pooled_inner_oof_three_seed_probability_ensemble,0.4609999999999999,0.8248822059909916,0.30599999999999994,True,0.7516458569807037,0.8075609756097561
V3-A0F-ENS,1,pooled_inner_oof_three_seed_probability_ensemble,0.6539999999999999,0.8296169880372659,0.4049999999999999,True,0.7504476275738585,0.8192035182018079
V3-A0F-ENS,2,pooled_inner_oof_three_seed_probability_ensemble,0.4769999999999999,0.8232346965479389,0.36599999999999994,True,0.75,0.8088053425674004
V3-H2TF-ENS,0,pooled_inner_oof_three_seed_probability_ensemble,0.4739999999999999,0.8247734530474731,0.32299999999999995,True,0.7501678979180658,0.8173170731707317
V3-H2TF-ENS,1,pooled_inner_oof_three_seed_probability_ensemble,0.4579999999999999,0.8273840522135847,0.3429999999999999,True,0.75,0.8223796726117762
V3-H2TF-ENS,2,pooled_inner_oof_three_seed_probability_ensemble,0.6209999999999999,0.8201636802811731,0.4469999999999999,True,0.7500577500577501,0.8031164976502597
V3-H3CF-ENS,0,pooled_inner_oof_three_seed_probability_ensemble,0.4799999999999999,0.8251074515005717,0.32099999999999995,True,0.7505084745762712,0.81
V3-H3CF-ENS,1,pooled_inner_oof_three_seed_probability_ensemble,0.5259999999999999,0.8257544937039238,0.3369999999999999,True,0.7502779630865021,0.8243342291717567
V3-H3CF-ENS,2,pooled_inner_oof_three_seed_probability_ensemble,0.612,0.8240227099465178,0.4659999999999999,True,0.7502285191956124,0.8120207766510017
V3-P0-ENS,0,pooled_inner_oof_three_seed_probability_ensemble,0.4639999999999999,0.8226029810232108,0.33099999999999996,True,0.7501697216564833,0.8085365853658537
V3-P0-ENS,1,pooled_inner_oof_three_seed_probability_ensemble,0.4869999999999999,0.8278518384196019,0.32999999999999996,True,0.7508372404554589,0.8216467139017836
V3-P0-ENS,2,pooled_inner_oof_three_seed_probability_ensemble,0.5099999999999999,0.8242023491003861,0.4119999999999999,True,0.750400732768491,0.810536730150878
V3-D0-ENS,0,pooled_inner_oof_three_seed_probability_ensemble,0.5179999999999999,0.8246645013299188,0.30399999999999994,True,0.7512895267997309,0.8170731707317073
V3-D0-ENS,1,pooled_inner_oof_three_seed_probability_ensemble,0.4589999999999999,0.8249585356614382,0.3529999999999999,True,0.7508372404554589,0.8216467139017836
V3-D0-ENS,2,pooled_inner_oof_three_seed_probability_ensemble,0.4599999999999999,0.8242652051730506,0.30799999999999994,True,0.7501148369315572,0.8078159782339847
V3-A1-ENS,0,pooled_inner_oof_three_seed_probability_ensemble,0.582,0.8239235875883398,0.42499999999999993,True,0.750281721884156,0.8119512195121952
V3-A1-ENS,1,pooled_inner_oof_three_seed_probability_ensemble,0.4909999999999999,0.8294577983237323,0.32299999999999995,True,0.7510595583314744,0.8226239921817737
V3-A1-ENS,2,pooled_inner_oof_three_seed_probability_ensemble,0.4719999999999999,0.8211201609792111,0.30999999999999994,True,0.7501154734411085,0.8033638387336136
