schema_name,table_name,constraint_name,constraint_type,definition,validated
public,source_dataset_versions,chk_source_dataset_versions_contract_hash_algorithm,c,CHECK (ingestion_contract_hash_algorithm::text = 'sha256'::text),True
public,source_dataset_versions,chk_source_dataset_versions_contract_object,c,CHECK (jsonb_typeof(ingestion_contract) = 'object'::text),True
public,source_dataset_versions,chk_source_dataset_versions_hash_algorithm,c,CHECK (hash_algorithm::text = 'sha256'::text),True
public,source_dataset_versions,chk_source_dataset_versions_metadata_object,c,CHECK (jsonb_typeof(metadata) = 'object'::text),True
public,source_dataset_versions,chk_source_dataset_versions_row_count,c,CHECK (row_count >= 0),True
public,source_dataset_versions,source_dataset_versions_pkey,p,PRIMARY KEY (dataset_version_id),True
public,source_dataset_versions,uq_source_dataset_version_identity,u,"UNIQUE (dataset_code, hash_algorithm, content_hash, ingestion_contract_hash_algorithm, ingestion_contract_hash)",True
public,source_record_targets,chk_source_record_targets_encoded,c,CHECK (encoded_target_value >= 0),True
public,source_record_targets,chk_source_record_targets_raw_object,c,CHECK (raw_target_value IS NOT NULL),True
public,source_record_targets,fk_source_record_targets_source_record,f,"FOREIGN KEY (dataset_version_id, record_id) REFERENCES source_records(dataset_version_id, record_id) ON DELETE RESTRICT",True
public,source_record_targets,pk_source_record_targets,p,"PRIMARY KEY (dataset_version_id, record_id, target_name)",True
public,source_records,chk_source_records_payload_object,c,CHECK (jsonb_typeof(raw_payload) = 'object'::text),True
public,source_records,chk_source_records_row_number,c,CHECK (source_row_number >= 0),True
public,source_records,source_records_dataset_version_id_fkey,f,FOREIGN KEY (dataset_version_id) REFERENCES source_dataset_versions(dataset_version_id) ON DELETE RESTRICT,True
public,source_records,source_records_pkey,p,PRIMARY KEY (record_id),True
public,source_records,uq_source_records_dataset_record,u,"UNIQUE (dataset_version_id, record_id)",True
public,source_records,uq_source_records_dataset_row,u,"UNIQUE (dataset_version_id, source_row_number)",True
public,student_grades,student_grades_pkey,p,PRIMARY KEY (grade_id),True
public,student_grades,student_grades_student_id_fkey,f,FOREIGN KEY (student_id) REFERENCES students(student_id) ON DELETE SET NULL,True
public,students,students_pkey,p,PRIMARY KEY (student_id),True
