dataset,scenario,strategy,threshold_low,score,macro_f1,recall_low
student-mat,late,none,0.0,0.7077777777777778,0.16507936507936508,1.0
student-mat,late,class_weight,0.0,0.7077777777777778,0.16507936507936508,1.0
student-mat,late,smotenc,0.0,0.7077777777777778,0.16507936507936508,1.0
student-mat,late,random_oversampling,0.0,0.7077777777777778,0.16507936507936508,1.0
student-mat,late,focal_loss,0.0,0.7077777777777778,0.16507936507936508,1.0
student-mat,late,smotenc_focal_loss,0.0,0.7077777777777778,0.16507936507936508,1.0
