candidate_id,outer_fold,trial_id,inner_fold,epoch,train_loss,validation_nll,learning_rate,gradient_norm_mean,seed,stage
V2-A0,0,0,0.0,1,0.4536430202424526,0.3936764736945684,0.001469623681054,0.4094916768372059,,
V2-A0,0,0,0.0,2,0.3782156802713871,0.3842177114111668,0.001469623681054,0.3717243753373623,,
V2-A0,0,0,0.0,3,0.3630815625190735,0.3922122178528804,0.001469623681054,0.3901735179126263,,
V2-A0,0,0,0.0,4,0.3543820664286613,0.3879546757456172,0.001469623681054,0.4088664390146732,,
V2-A0,0,0,0.0,5,0.3488296527415514,0.3826072527008426,0.001469623681054,0.4282158829271793,,
V2-A0,0,0,0.0,6,0.3390273094177246,0.3829193767182263,0.001469623681054,0.4272490940988064,,
V2-A0,0,0,0.0,7,0.3324215970933437,0.3813539556023453,0.001469623681054,0.4396506644785404,,
V2-A0,0,0,0.0,8,0.3346664018929005,0.3846826279323496,0.001469623681054,0.4486248686909675,,
V2-A0,0,0,0.0,9,0.3278520800173282,0.384288164187802,0.001469623681054,0.4477215409278869,,
V2-A0,0,0,0.0,10,0.3152219362556934,0.3872954707455324,0.001469623681054,0.4604440458118916,,
V2-A0,0,0,0.0,11,0.3152596846222877,0.3954438235140937,0.001469623681054,0.4642128728330135,,
V2-A0,0,0,0.0,12,0.3169193413108587,0.3989859372594795,0.001469623681054,0.5071266531944275,,
V2-A0,0,0,0.0,13,0.3066797651350498,0.3944733107312692,0.001469623681054,0.4819717608392239,,
V2-A0,0,0,1.0,1,0.440795848282372,0.4000766046904977,0.001469623681054,0.4251157350656462,,
V2-A0,0,0,1.0,2,0.3789320817080939,0.3899448055327983,0.001469623681054,0.4094317380974932,,
V2-A0,0,0,1.0,3,0.3730461255806248,0.3815694449675554,0.001469623681054,0.4325432115938605,,
V2-A0,0,0,1.0,4,0.3544939436563631,0.3857453018970775,0.001469623681054,0.3896442099315364,,
V2-A0,0,0,1.0,5,0.341865690016165,0.3977112782934399,0.001469623681054,0.3968051991811612,,
V2-A0,0,0,1.0,6,0.3539663974831744,0.3854042117659416,0.001469623681054,0.4569680545388198,,
V2-A0,0,0,1.0,7,0.3342310393728861,0.3970266234440832,0.001469623681054,0.4194604245627799,,
V2-A0,0,0,1.0,8,0.3313230210688056,0.386912825906188,0.001469623681054,0.4441825471273282,,
V2-A0,0,0,1.0,9,0.3265443506037316,0.3907853732946467,0.001469623681054,0.4722944178232333,,
V2-A0,0,1,0.0,1,0.649136857688427,0.4758962250586598,0.0004642179507327,0.4335350640118122,,
V2-A0,0,1,0.0,2,0.5063605658710003,0.40711641238073,0.0004620725117556,0.537131080031395,,
V2-A0,0,1,0.0,3,0.453313261270523,0.398401081162724,0.0004585114802035,0.6291808545589447,,
V2-A0,0,1,0.0,4,0.4345695346593857,0.3952784517000005,0.0004535568110199,0.7146150752902031,,
V2-A0,0,1,0.0,5,0.4202333375811576,0.3922979285796147,0.000447239051388,0.7107979878783226,,
V2-A0,0,1,0.0,6,0.4130727484822273,0.3916237288870351,0.0004395971523968,0.7463961690664291,,
V2-A0,0,1,0.0,7,0.4055624209344387,0.3918125713162994,0.0004306782288949,0.7314317271113395,,
V2-A0,0,1,0.0,8,0.3970205828547478,0.3864398258391457,0.0004205372690113,0.8141347572207451,,
V2-A0,0,1,0.0,9,0.3922600537538528,0.3925765780585549,0.000409236795136,0.7777786672115325,,
V2-A0,0,1,0.0,10,0.3851199999451637,0.3884031896013433,0.0003968464784483,0.844925881922245,,
V2-A0,0,1,0.0,11,0.3849565137177705,0.3949900521050825,0.0003834427093707,0.8220471560955047,,
V2-A0,0,1,0.0,12,0.3851117573678493,0.3984952613803713,0.0003691081265968,0.8795557424426079,,
V2-A0,0,1,0.0,13,0.3710714496672153,0.3873020023015881,0.0003539311075961,0.8640910774469376,,
V2-A0,0,1,0.0,14,0.3757839813828468,0.3950133687848242,0.0003380052237376,0.9475539311766624,,
V2-A0,0,1,1.0,1,0.6061043106928105,0.4447048616900563,0.0004642179507327,0.498466423371943,,
V2-A0,0,1,1.0,2,0.4761738551826012,0.4100522145745526,0.0004620725117556,0.6202985629802797,,
V2-A0,0,1,1.0,3,0.4469739031500933,0.4002673315425119,0.0004585114802035,0.7038216590881348,,
V2-A0,0,1,1.0,4,0.4261184799961927,0.397358149205172,0.0004535568110199,0.7037736468198823,,
V2-A0,0,1,1.0,5,0.4109321280223567,0.3994946935302996,0.000447239051388,0.7439467572584385,,
V2-A0,0,1,1.0,6,0.4134952018900615,0.3918697680815266,0.0004395971523968,0.7788649928279039,,
V2-A0,0,1,1.0,7,0.406590074300766,0.3942417827930135,0.0004306782288949,0.8234673389574376,,
V2-A0,0,1,1.0,8,0.3971711796958272,0.3971438087633898,0.0004205372690113,0.8001353740692139,,
V2-A0,0,1,1.0,9,0.3895032405853271,0.3889429460928246,0.000409236795136,0.8620924949645996,,
V2-A0,0,1,1.0,10,0.3862553747688851,0.3932497272792805,0.0003968464784483,0.8363211823672783,,
V2-A0,0,1,1.0,11,0.3812013537418551,0.3861084752195946,0.0003834427093707,0.8911044873842379,,
V2-A0,0,1,1.0,12,0.3802753032707586,0.408047940651607,0.0003691081265968,0.8833682071871873,,
V2-A0,0,1,1.0,13,0.3709977908832271,0.3980698422725711,0.0003539311075961,0.8975924805897039,,
V2-A0,0,1,1.0,14,0.3815733943043685,0.3989031360088143,0.0003380052237376,0.9549117713439756,,
V2-A0,0,1,1.0,15,0.3703754529720399,0.3934423704320985,0.0003214286633912,0.91876976373719,,
V2-A0,0,1,1.0,16,0.3685391857856657,0.3956035907296107,0.0003043036265638,0.9509177135258188,,
V2-A0,0,1,1.0,17,0.3633149266242981,0.4105825327212322,0.0002867356948019,0.9668379702219148,,
V2-A0,0,2,0.0,1,0.4889730371534824,0.4110136728362245,0.0005510391929902,0.4520901300013065,,
V2-A0,0,2,0.0,2,0.4008720174431801,0.3961192245255596,0.0005510391929902,0.4312243074178695,,
V2-A0,0,2,0.0,3,0.3801911264657974,0.3890031948767636,0.0005510391929902,0.4453509494662285,,
V2-A0,0,2,0.0,4,0.3733346953988075,0.3881967962864706,0.0005510391929902,0.4916053764522076,,
V2-A0,0,2,0.0,5,0.3667147703468799,0.391359799057027,0.0005510391929902,0.4974207453429698,,
V2-A0,0,2,0.0,6,0.3595931030809879,0.3895805998500851,0.0005510391929902,0.5045317575335503,,
V2-A0,0,2,0.0,7,0.3564216323196888,0.3820725943828495,0.0005510391929902,0.4915952533483505,,
V2-A0,0,2,0.0,8,0.3513339728116989,0.379977489417746,0.0005510391929902,0.5170745976269245,,
V2-A0,0,2,0.0,9,0.3510175317525864,0.3825373708784441,0.0005510391929902,0.5220358714461326,,
