balanced_accuracy,brier,config_hash,dataset,macro_f1,macro_pr_auc,model_id,outer_fold,parameters,runtime_seconds,status,trial
0.830954757152362,0.19867640938680695,223226b270fb2718a360bc2827f24e1d9d315cbd205da686ed989a27cfa7f208,student_por,0.8331171148477025,0.9024219915084125,xgboost_por,2,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.4470811999926809,COMPLETE,6
0.8186234673510122,0.22190522665036033,75b1b3d2f27e1cc614fa4f9e661410cbe2b308ddf5a177ac1fb7c41a72907648,student_por,0.8175912043978011,0.8931202902554333,xgboost_por,2,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.5405816999991657,COMPLETE,7
0.8172880429616957,0.1779357017876732,9a9764a13098fcfc8b692240f81c02f389e75a417c35f9eb5bd12636b9b326fc,student_por,0.8288780338176928,0.9157652254009504,xgboost_por,2,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.43064619999495335,COMPLETE,8
0.8117621899059024,0.18191833900092585,0d9ed681926c0dafb158e6a79fff359caa292c93062b658596277cc735e1b3e9,student_por,0.8314206555140672,0.9056804007922384,xgboost_por,2,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.40249510000285227,COMPLETE,9
0.8121174318030606,0.1932945169040251,f0a3a3866f565b1bc074ac14798bc45ab708b1188b558450872d87b5570f6adf,student_por,0.8223795476892821,0.8987934230340288,xgboost_por,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.3, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.5537481999926968,COMPLETE,10
0.8141193802870449,0.1783732745543949,6bcf0b9b736d8014c7ac561643171dd75372d85e831bb81f3ff142bf31a5fcaf,student_por,0.8276816986373824,0.9120580638239252,xgboost_por,2,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.42083970000385307,COMPLETE,11
0.8317546880979717,0.1611680127872299,3a81e680b9d0801651f5fbe38a339c49dedc23243d83d7af5ab2e7a90b362ee0,student_por,0.8404773983975398,0.9269693706225471,xgboost_por,3,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 320, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.545663600001717,COMPLETE,0
0.8505118637581323,0.14264502435305834,3ed5feabe80e425863c0877c4d87bf3a9914482fabf77d82930740fdc5c1e763,student_por,0.8610737689486414,0.9310247070798964,xgboost_por,3,"{""colsample_bytree"": 0.85, ""gamma"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 320, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.49471050000283867,COMPLETE,1
0.8513203214695751,0.147594037791342,7f08859dfb1edf56ececbfac84cd2d2ddc859a1daa5a2e6d09a838689595cd30,student_por,0.8682005747699177,0.9366843412274566,xgboost_por,3,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.7}",0.4823536000039894,COMPLETE,2
0.8494163796402602,0.16259318709871223,d21ee611a6fcf97b15f19ff641929d45403354f2eb90e9501ed7faefc45285ff,student_por,0.8553335408237369,0.9284943641357758,xgboost_por,3,"{""colsample_bytree"": 0.7, ""gamma"": 0.3, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.3763738999987254,COMPLETE,3
