model_id,model,class,precision,recall,f1,support
cnn_bilstm,CNN-BiLSTM,Low,0.7428571428571429,0.78,0.7609756097560976,100
cnn_bilstm,CNN-BiLSTM,Medium,0.9199029126213593,0.9066985645933014,0.9132530120481928,418
cnn_bilstm,CNN-BiLSTM,High,0.9090909090909091,0.916030534351145,0.9125475285171103,131
cnn_only,CNN-only,Low,0.7211538461538461,0.75,0.7352941176470589,100
cnn_only,CNN-only,Medium,0.9101941747572816,0.8971291866028708,0.9036144578313253,418
cnn_only,CNN-only,High,0.8947368421052632,0.9083969465648855,0.9015151515151515,131
bilstm_only,BiLSTM-only,Low,0.6176470588235294,0.63,0.6237623762376238,100
bilstm_only,BiLSTM-only,Medium,0.8822055137844611,0.8421052631578947,0.8616891064871481,418
bilstm_only,BiLSTM-only,High,0.8175675675675675,0.9236641221374046,0.8673835125448028,131
logistic_regression,Logistic Regression,Low,0.6788990825688074,0.74,0.7081339712918661,100
logistic_regression,Logistic Regression,Medium,0.9025,0.8636363636363636,0.882640586797066,418
logistic_regression,Logistic Regression,High,0.8428571428571429,0.9007633587786259,0.8708487084870848,131
decision_tree,Decision Tree,Low,0.6515151515151515,0.86,0.7413793103448276,100
decision_tree,Decision Tree,Medium,0.93717277486911,0.8564593301435407,0.895,418
decision_tree,Decision Tree,High,0.8962962962962963,0.9236641221374046,0.9097744360902256,131
random_forest,Random Forest,Low,0.7477477477477478,0.83,0.7867298578199052,100
random_forest,Random Forest,Medium,0.9328358208955224,0.8971291866028708,0.9146341463414634,418
random_forest,Random Forest,High,0.8897058823529411,0.9236641221374046,0.9063670411985019,131
hist_gradient_boosting,HistGradientBoosting,Low,0.7578947368421053,0.72,0.7384615384615385,100
hist_gradient_boosting,HistGradientBoosting,Medium,0.9014084507042254,0.9186602870813397,0.909952606635071,418
hist_gradient_boosting,HistGradientBoosting,High,0.9140625,0.8931297709923665,0.9034749034749034,131
svm,SVM,Low,0.7105263157894737,0.54,0.6136363636363636,100
svm,SVM,Medium,0.8485523385300668,0.9114832535885168,0.8788927335640139,418
svm,SVM,High,0.8790322580645161,0.8320610687022901,0.8549019607843137,131
xgboost,XGBoost,Low,0.8043478260869565,0.74,0.7708333333333334,100
xgboost,XGBoost,Medium,0.9127358490566038,0.9258373205741627,0.9192399049881235,418
xgboost,XGBoost,High,0.9022556390977443,0.916030534351145,0.9090909090909091,131
