candidate_id,seed,class_name,precision,recall,f1,support
V2-A0,42,not_at_risk,0.8372509960159362,0.9077753779697624,0.8710880829015544,9260
V2-A0,42,at_risk,0.8400149868864744,0.7329192546583851,0.7828212290502793,6118
V2-A0,2026,not_at_risk,0.8443138049868234,0.8995680345572354,0.8710655651992053,9260
V2-A0,2026,at_risk,0.831277213352685,0.7489375612945407,0.7879621668099742,6118
V2-A0,3407,not_at_risk,0.8380359473842756,0.9012958963282938,0.8685155315052813,9260
V2-A0,3407,at_risk,0.8313341945008305,0.7363517489375613,0.7809655889746034,6118
V2-H2F,42,not_at_risk,0.8583992963940194,0.8431965442764578,0.850730006537372,9260
V2-H2F,42,at_risk,0.7688634192932188,0.7894736842105263,0.7790322580645161,6118
V2-H2T,42,not_at_risk,0.8334982192322913,0.9098272138228942,0.8699917389508468,9260
V2-H2T,42,at_risk,0.8415559772296015,0.7249101013403073,0.7788900597119776,6118
V2-H2T,2026,not_at_risk,0.8372208931419458,0.9070194384449244,0.8707236160066348,9260
V2-H2T,2026,at_risk,0.8389450056116723,0.7330827067669173,0.7824494068387997,6118
V2-H2T,3407,not_at_risk,0.8340306834030683,0.9041036717062635,0.8676546792413722,9260
V2-H2T,3407,at_risk,0.8337078651685393,0.7276887871853547,0.7770989701518589,6118
V2-H3C,42,not_at_risk,0.8419670806826214,0.9004319654427646,0.8702186505244481,9260
V2-H3C,42,at_risk,0.8315981735159818,0.7441974501471069,0.7854739929267661,6118
V2-H3C,2026,not_at_risk,0.8392821133293003,0.8989200863930885,0.8680780060485973,9260
V2-H3C,2026,at_risk,0.8285714285714286,0.7394573389996731,0.7814821212644671,6118
V2-H3C,3407,not_at_risk,0.8461855245547205,0.8875809935205183,0.8663890792178359,9260
V2-H3C,3407,at_risk,0.8162400706090026,0.7558025498528931,0.7848595434099974,6118
V2-MLF,42,not_at_risk,0.8405050505050505,0.8985961123110151,0.868580375782881,9260
V2-MLF,42,at_risk,0.8285870755750274,0.7419091206276561,0.7828561572956192,6118
V2-T0,42,not_at_risk,0.8300499852984417,0.9145788336933045,0.8702666598160612,9260
V2-T0,42,at_risk,0.8471497584541062,0.7165740438051651,0.7764101655893031,6118
V2-T0,2026,not_at_risk,0.836800321575721,0.899244060475162,0.8668991723491749,9260
V2-T0,2026,at_risk,0.82808181315644,0.7345537757437071,0.7785188393243828,6118
V2-T0,3407,not_at_risk,0.8387746876259573,0.8989200863930885,0.8678065054211843,9260
V2-T0,3407,at_risk,0.8283828382838284,0.7384766263484799,0.7808503283788455,6118
