stage,scheme,n_fit,n_valid,accuracy,macro_f1,weighted_f1,binary_ap_same_features,min_class_support_valid,support,per_class_f1
35pct,4class,9122,5672,0.3217559943582511,0.31439628083246807,0.3319658945353792,0.5498059329291695,647,"{""Distinction"": 647, ""Pass"": 2722, ""Fail"": 1611, ""Withdrawn"": 692}","{""Distinction"": 0.28994082840236685, ""Pass"": 0.3382239382239382, ""Fail"": 0.36900369003690037, ""Withdrawn"": 0.2604166666666667}"
35pct,3class_passband,9122,5672,0.46932299012693934,0.4174341096507023,0.4980435242207759,0.5498059329291695,692,"{""PassBand"": 3369, ""Fail"": 1611, ""Withdrawn"": 692}","{""PassBand"": 0.5963334486336908, ""Fail"": 0.39382482671707625, ""Withdrawn"": 0.26214405360134}"
50pct,4class,8748,5461,0.32100347921626077,0.3065303302831166,0.33694708975029625,0.5339009679697326,481,"{""Distinction"": 647, ""Pass"": 2722, ""Fail"": 1611, ""Withdrawn"": 481}","{""Distinction"": 0.29363360762234736, ""Pass"": 0.34744450180691794, ""Fail"": 0.3742808798646362, ""Withdrawn"": 0.21076233183856502}"
50pct,3class_passband,8748,5461,0.47006042849295,0.40246299526209484,0.5086656573457917,0.5339009679697326,481,"{""PassBand"": 3369, ""Fail"": 1611, ""Withdrawn"": 481}","{""PassBand"": 0.6077541040866224, ""Fail"": 0.39104, ""Withdrawn"": 0.208594881699662}"
75pct,4class,8246,5129,0.3215051666991616,0.28509142908577306,0.35407094997719984,0.4950068433784489,149,"{""Distinction"": 647, ""Pass"": 2722, ""Fail"": 1611, ""Withdrawn"": 149}","{""Distinction"": 0.3017832647462277, ""Pass"": 0.3620331950207469, ""Fail"": 0.385989010989011, ""Withdrawn"": 0.09056024558710668}"
75pct,3class_passband,8246,5129,0.4800155975823747,0.3733941756108674,0.5397877550334851,0.4950068433784489,149,"{""PassBand"": 3369, ""Fail"": 1611, ""Withdrawn"": 149}","{""PassBand"": 0.6207383854442678, ""Fail"": 0.41237113402061853, ""Withdrawn"": 0.087073007367716}"
