dataset,stage,tabular_mass,cnn_mass,bilstm_mass
oulad,100pct,0.17229265123605728,0.23686656951904292,0.590840756893158
oulad,20pct,0.31525650620460505,0.23150472491979596,0.453238770365715
oulad,35pct,0.2720129415392875,0.2446708619594574,0.4833162039518356
oulad,50pct,0.2320704951882362,0.25111171156167983,0.5168177962303162
oulad,75pct,0.19999547153711314,0.2514549538493156,0.5485495626926422
uci,S0,1.0,0.0,0.0
uci,S1,0.0639152336865663,0.2632598623633384,0.6728248953819275
uci,S2,0.05730218477547165,0.24997045248746871,0.6927273631095886
