fold,ap_100_all_valid,ap_100_valid_also_in_20,n_valid_100,n_valid_both
0,0.9310728165471786,0.9310728165471786,4999,4999
1,0.9160891239425148,0.9159257378368308,4993,4991
2,0.915331647243221,0.9154525334608646,5007,5004
