stage,n,n_fail,n_withdrawn,n_passdist,ap_combo,ap_fail_vs_pass,ap_withdrawn_vs_pass,threshold_median,combo_precision,combo_recall,combo_f1
20pct,17787,4719,2849,10219,0.7556962244105329,0.6920911933349829,0.5511034778992367,0.13,0.591718872357087,0.7987579281183932,0.6798245614035088
35pct,17066,4720,2125,10221,0.8072986465135868,0.7754196756031645,0.5850627436039728,0.26,0.6775020231993526,0.7338203067932798,0.7045374850971317
50pct,16394,4721,1452,10221,0.846822604206488,0.8311816275732646,0.605960934310867,0.28,0.7579584775086505,0.7097035477077596,0.733037731113528
75pct,15438,4721,496,10221,0.8883883716303456,0.8847324418680635,0.6083151629457428,0.49,0.890621133382826,0.6898600728387962,0.7774897386044503
