candidate_id,seed,outer_fold,class_label,precision,recall,f1,support
A1,42,0,0,0.7407407407407407,0.9523809523809523,0.8333333333333334,21
A1,42,0,1,0.8888888888888888,0.7741935483870968,0.8275862068965517,31
A1,42,0,2,1.0,0.8333333333333334,0.9090909090909091,12
A1,42,1,0,0.875,1.0,0.9333333333333333,21
A1,42,1,1,0.9259259259259259,0.8333333333333334,0.8771929824561403,30
A1,42,1,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,12
A1,42,2,0,0.85,0.8095238095238095,0.8292682926829268,21
A1,42,2,1,0.8709677419354839,0.8709677419354839,0.8709677419354839,31
A1,42,2,2,0.9166666666666666,1.0,0.9565217391304348,11
A1,42,3,0,0.84,1.0,0.9130434782608695,21
A1,42,3,1,0.9310344827586207,0.8709677419354839,0.9,31
A1,42,3,2,1.0,0.8181818181818182,0.9,11
A1,42,4,0,0.8421052631578947,0.8,0.8205128205128205,20
A1,42,4,1,0.8571428571428571,0.7741935483870968,0.8135593220338984,31
A1,42,4,2,0.75,1.0,0.8571428571428571,12
A1,123,0,0,0.7727272727272727,0.8095238095238095,0.7906976744186046,21
A1,123,0,1,0.8125,0.8387096774193549,0.8253968253968254,31
A1,123,0,2,1.0,0.8333333333333334,0.9090909090909091,12
A1,123,1,0,1.0,0.14285714285714285,0.25,21
A1,123,1,1,0.5,1.0,0.6666666666666666,30
A1,123,1,2,0.0,0.0,0.0,12
A1,123,2,0,0.8,0.7619047619047619,0.7804878048780488,21
A1,123,2,1,0.8125,0.8387096774193549,0.8253968253968254,31
A1,123,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
A1,123,3,0,0.8695652173913043,0.9523809523809523,0.9090909090909091,21
A1,123,3,1,0.9032258064516129,0.9032258064516129,0.9032258064516129,31
A1,123,3,2,1.0,0.8181818181818182,0.9,11
A1,123,4,0,0.7916666666666666,0.95,0.8636363636363636,20
A1,123,4,1,0.9565217391304348,0.7096774193548387,0.8148148148148148,31
A1,123,4,2,0.75,1.0,0.8571428571428571,12
A1,155,0,0,0.7727272727272727,0.8095238095238095,0.7906976744186046,21
A1,155,0,1,0.8125,0.8387096774193549,0.8253968253968254,31
A1,155,0,2,1.0,0.8333333333333334,0.9090909090909091,12
A1,155,1,0,0.8333333333333334,0.7142857142857143,0.7692307692307693,21
A1,155,1,1,0.6,0.9,0.72,30
A1,155,1,2,0.0,0.0,0.0,12
A1,155,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
A1,155,2,1,0.896551724137931,0.8387096774193549,0.8666666666666667,31
A1,155,2,2,0.8461538461538461,1.0,0.9166666666666666,11
A1,155,3,0,0.8,0.9523809523809523,0.8695652173913043,21
A1,155,3,1,0.8387096774193549,0.8387096774193549,0.8387096774193549,31
A1,155,3,2,1.0,0.6363636363636364,0.7777777777777778,11
A1,155,4,0,0.8181818181818182,0.9,0.8571428571428571,20
A1,155,4,1,0.9230769230769231,0.7741935483870968,0.8421052631578947,31
A1,155,4,2,0.8,1.0,0.8888888888888888,12
A2,42,0,0,0.7619047619047619,0.7619047619047619,0.7619047619047619,21
A2,42,0,1,0.8125,0.8387096774193549,0.8253968253968254,31
A2,42,0,2,1.0,0.9166666666666666,0.9565217391304348,12
A2,42,1,0,0.782608695652174,0.8571428571428571,0.8181818181818182,21
A2,42,1,1,0.8214285714285714,0.7666666666666667,0.7931034482758621,30
A2,42,1,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,12
A2,42,2,0,0.85,0.8095238095238095,0.8292682926829268,21
A2,42,2,1,0.84375,0.8709677419354839,0.8571428571428571,31
A2,42,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
A2,42,3,0,0.8695652173913043,0.9523809523809523,0.9090909090909091,21
A2,42,3,1,0.9032258064516129,0.9032258064516129,0.9032258064516129,31
A2,42,3,2,1.0,0.8181818181818182,0.9,11
A2,42,4,0,0.8421052631578947,0.8,0.8205128205128205,20
A2,42,4,1,0.8484848484848485,0.9032258064516129,0.875,31
A2,42,4,2,1.0,0.9166666666666666,0.9565217391304348,12
A2,123,0,0,0.8888888888888888,0.7619047619047619,0.8205128205128205,21
A2,123,0,1,0.8529411764705882,0.9354838709677419,0.8923076923076924,31
A2,123,0,2,1.0,1.0,1.0,12
A2,123,1,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
A2,123,1,1,0.8620689655172413,0.8333333333333334,0.847457627118644,30
A2,123,1,2,0.8461538461538461,0.9166666666666666,0.88,12
A2,123,2,0,0.85,0.8095238095238095,0.8292682926829268,21
A2,123,2,1,0.8387096774193549,0.8387096774193549,0.8387096774193549,31
A2,123,2,2,0.8333333333333334,0.9090909090909091,0.8695652173913043,11
A2,123,3,0,0.8695652173913043,0.9523809523809523,0.9090909090909091,21
A2,123,3,1,0.9032258064516129,0.9032258064516129,0.9032258064516129,31
A2,123,3,2,1.0,0.8181818181818182,0.9,11
A2,123,4,0,0.8666666666666667,0.65,0.7428571428571429,20
A2,123,4,1,0.7272727272727273,0.7741935483870968,0.75,31
A2,123,4,2,0.6666666666666666,0.8333333333333334,0.7407407407407407,12
A2,155,0,0,0.782608695652174,0.8571428571428571,0.8181818181818182,21
