model,query_count,positive_query_count,ndcg_at_3,precision_at_1,mrr,recall_at_3,pairwise_accuracy,invalid_action_rate,unique_top1_actions
B0_action_stage,8179,8169,0.9551445496858323,0.975884441180071,0.9877279960827519,0.7402701269025176,0.8670384806767292,0.025308717447120675,1
B2_five_ebm_c0,8179,8169,0.9965401206786145,1.0,1.0,0.7877871628514301,0.9408898656493614,0.001222643354933366,5
