domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence
uci,LR,0,42,S0,0.443649032096653,0.6991913746630728,0.46551724137931033,0.5094339622641509,0.37735849056603776,228,0.2324561403508772
uci,LR,0,42,S1,0.7151782574385356,0.9153638814016173,0.6792452830188679,0.6792452830188679,0.6037735849056604,228,0.2324561403508772
uci,LR,0,42,S2,0.8746436306536585,0.9526684636118599,0.7964601769911505,0.8490566037735849,0.7169811320754716,228,0.2324561403508772
uci,DT,0,42,S0,0.37018586464224135,0.692722371967655,0.47540983606557374,0.5471698113207547,0.33962264150943394,228,0.2324561403508772
uci,DT,0,42,S1,0.762312280541456,0.931212938005391,0.7346938775510204,0.6792452830188679,0.6792452830188679,228,0.2324561403508772
uci,DT,0,42,S2,0.8655047698017657,0.9476010781671159,0.7741935483870968,0.6792452830188679,0.7358490566037735,228,0.2324561403508772
uci,RF,0,42,S0,0.4798379809407805,0.7340700808625338,0.4117647058823529,0.39622641509433965,0.39622641509433965,228,0.2324561403508772
uci,RF,0,42,S1,0.7695844074981036,0.9413477088948787,0.6526315789473685,0.5849056603773585,0.6415094339622641,228,0.2324561403508772
uci,RF,0,42,S2,0.8919316932825835,0.9643126684636119,0.7676767676767676,0.7169811320754716,0.7169811320754716,228,0.2324561403508772
uci,SVM,0,42,S0,0.4325736806529322,0.7040431266846361,0.4827586206896552,0.5283018867924528,0.41509433962264153,228,0.2324561403508772
uci,SVM,0,42,S1,0.7151832783121028,0.9202156334231806,0.6526315789473685,0.5849056603773585,0.6037735849056604,228,0.2324561403508772
uci,SVM,0,42,S2,0.8629158147081165,0.9562264150943397,0.8214285714285714,0.8679245283018868,0.6792452830188679,228,0.2324561403508772
uci,XGB,0,42,S0,0.42125053075836194,0.691967654986523,0.45454545454545453,0.4716981132075472,0.41509433962264153,228,0.2324561403508772
uci,XGB,0,42,S1,0.7924776682762771,0.9404851752021564,0.6046511627906976,0.49056603773584906,0.660377358490566,228,0.2324561403508772
uci,XGB,0,42,S2,0.8927811452578902,0.9651752021563342,0.82,0.7735849056603774,0.7547169811320755,228,0.2324561403508772
uci,CatBoost,0,42,S0,0.3999684769750733,0.7035040431266847,0.42201834862385323,0.4339622641509434,0.39622641509433965,228,0.2324561403508772
uci,CatBoost,0,42,S1,0.7920202704576871,0.937142857142857,0.7407407407407407,0.7547169811320755,0.6792452830188679,228,0.2324561403508772
uci,CatBoost,0,42,S2,0.8949735267314158,0.9633423180592993,0.8679245283018868,0.8679245283018868,0.7547169811320755,228,0.2324561403508772
uci,MLP,0,42,S0,0.4154880897278281,0.6341778975741241,0.46601941747572817,0.4528301886792453,0.41509433962264153,228,0.2324561403508772
uci,MLP,0,42,S1,0.685328061197954,0.9090026954177898,0.6915887850467289,0.6981132075471698,0.6037735849056604,228,0.2324561403508772
uci,MLP,0,42,S2,0.8118839092676895,0.9411320754716981,0.7238095238095238,0.7169811320754716,0.6792452830188679,228,0.2324561403508772
uci,LR,0,1201,S0,0.443649032096653,0.6991913746630728,0.46551724137931033,0.5094339622641509,0.37735849056603776,228,0.2324561403508772
uci,LR,0,1201,S1,0.7151782574385356,0.9153638814016173,0.6792452830188679,0.6792452830188679,0.6037735849056604,228,0.2324561403508772
uci,LR,0,1201,S2,0.8746436306536585,0.9526684636118599,0.7964601769911505,0.8490566037735849,0.7169811320754716,228,0.2324561403508772
uci,DT,0,1201,S0,0.37018586464224135,0.692722371967655,0.47540983606557374,0.5471698113207547,0.33962264150943394,228,0.2324561403508772
uci,DT,0,1201,S1,0.762312280541456,0.931212938005391,0.7346938775510204,0.6792452830188679,0.6792452830188679,228,0.2324561403508772
uci,DT,0,1201,S2,0.8655047698017657,0.9476010781671159,0.7741935483870968,0.6792452830188679,0.7358490566037735,228,0.2324561403508772
uci,RF,0,1201,S0,0.46373396949596185,0.7226954177897574,0.39603960396039606,0.37735849056603776,0.37735849056603776,228,0.2324561403508772
uci,RF,0,1201,S1,0.7462296345720745,0.9409164420485175,0.7272727272727273,0.6792452830188679,0.6792452830188679,228,0.2324561403508772
uci,RF,0,1201,S2,0.8751385965391597,0.9617250673854447,0.7966101694915254,0.8867924528301887,0.7169811320754716,228,0.2324561403508772
uci,SVM,0,1201,S0,0.4325736806529322,0.7040431266846361,0.4827586206896552,0.5283018867924528,0.41509433962264153,228,0.2324561403508772
uci,SVM,0,1201,S1,0.7151832783121028,0.9202156334231806,0.6526315789473685,0.5849056603773585,0.6037735849056604,228,0.2324561403508772
uci,SVM,0,1201,S2,0.8629158147081165,0.9562264150943397,0.8214285714285714,0.8679245283018868,0.6792452830188679,228,0.2324561403508772
uci,XGB,0,1201,S0,0.43521352588273776,0.7064150943396227,0.44285714285714284,0.5849056603773585,0.39622641509433965,228,0.2324561403508772
uci,XGB,0,1201,S1,0.7548463228557706,0.9385444743935311,0.7768595041322314,0.8867924528301887,0.6415094339622641,228,0.2324561403508772
uci,XGB,0,1201,S2,0.8809479650685978,0.9639353099730458,0.8103448275862069,0.8867924528301887,0.7547169811320755,228,0.2324561403508772
uci,CatBoost,0,1201,S0,0.41246387014969194,0.70544474393531,0.40404040404040403,0.37735849056603776,0.37735849056603776,228,0.2324561403508772
uci,CatBoost,0,1201,S1,0.76728171355119,0.9381132075471698,0.7272727272727273,0.6792452830188679,0.6792452830188679,228,0.2324561403508772
uci,CatBoost,0,1201,S2,0.8567765735490926,0.9583827493261456,0.822429906542056,0.8301886792452831,0.7547169811320755,228,0.2324561403508772
uci,MLP,0,1201,S0,0.34992486309533843,0.6033423180592993,0.375,0.33962264150943394,0.33962264150943394,228,0.2324561403508772
uci,MLP,0,1201,S1,0.6901390095115836,0.9050134770889487,0.5494505494505495,0.4716981132075472,0.5849056603773585,228,0.2324561403508772
uci,MLP,0,1201,S2,0.7924473487502344,0.9360646900269542,0.66,0.6226415094339622,0.6226415094339622,228,0.2324561403508772
uci,LR,0,2026,S0,0.443649032096653,0.6991913746630728,0.46551724137931033,0.5094339622641509,0.37735849056603776,228,0.2324561403508772
uci,LR,0,2026,S1,0.7151782574385356,0.9153638814016173,0.6792452830188679,0.6792452830188679,0.6037735849056604,228,0.2324561403508772
uci,LR,0,2026,S2,0.8746436306536585,0.9526684636118599,0.7964601769911505,0.8490566037735849,0.7169811320754716,228,0.2324561403508772
