domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence
oulad,LR,0,42,20pct,0.7683617160669742,0.7980882430683727,0.6891914607497058,0.804552590266876,0.39089481946624804,5963,0.4273016937782995
oulad,LR,0,42,35pct,0.8086826592702222,0.8326122228912145,0.7035323801513877,0.7192605331040413,0.4411006018916595,5742,0.4050853361198189
oulad,LR,0,42,50pct,0.8558637057978324,0.8810666797082103,0.736377789309808,0.673469387755102,0.49169435215946844,5523,0.38149556400506973
oulad,LR,0,42,75pct,0.8988558433965916,0.9231793943106449,0.7971552257266543,0.7361507709880069,0.5808109651627641,5167,0.3388813624927424
oulad,LR,0,42,100pct,0.9240454488729382,0.9430974480491031,0.8419255718675316,0.7663144810441268,0.6221255438160348,5025,0.3201990049751244
oulad,DT,0,42,20pct,0.6974033054851958,0.7307418214498325,0.637672893198346,0.8775510204081632,0.3555729984301413,5963,0.4273016937782995
oulad,DT,0,42,35pct,0.7551560542424397,0.7852366009130065,0.6703539823008849,0.7815993121238177,0.42218400687876184,5742,0.4050853361198189
oulad,DT,0,42,50pct,0.8075045468025868,0.8391783160625506,0.7029608404966571,0.6986236355007119,0.4755576649264357,5523,0.38149556400506973
oulad,DT,0,42,75pct,0.8563174052377988,0.8820464920012252,0.7752629901179471,0.6944603083952028,0.5693889206167904,5167,0.3388813624927424
oulad,DT,0,42,100pct,0.8911042340279565,0.9146860167413101,0.8196496049467537,0.7414543194530765,0.617775015537601,5025,0.3201990049751244
oulad,RF,0,42,20pct,0.7481683653170376,0.7732359201141883,0.670249653259362,0.7586342229199372,0.3850078492935636,5963,0.4273016937782995
oulad,RF,0,42,35pct,0.7893325392877848,0.8085441078451312,0.6811095363433893,0.7231298366294067,0.4316423043852107,5742,0.4050853361198189
oulad,RF,0,42,50pct,0.8502680742588193,0.8717317873176175,0.7370478983382209,0.7157095396298054,0.4959658281917418,5523,0.38149556400506973
oulad,RF,0,42,75pct,0.892904660364483,0.91341255983533,0.789980732177264,0.7024557395773844,0.5842375785265562,5167,0.3388813624927424
oulad,RF,0,42,100pct,0.9220142569933656,0.9403210570517421,0.8387968908415006,0.7712865133623369,0.6215040397762586,5025,0.3201990049751244
oulad,SVM,0,42,20pct,0.7656892583427288,0.7966143457044943,0.6846424384525205,0.8021978021978022,0.39089481946624804,5963,0.4273016937782995
oulad,SVM,0,42,35pct,0.8034742501600078,0.8310443142482596,0.699109276558766,0.6917454858125538,0.4337919174548581,5742,0.4050853361198189
oulad,SVM,0,42,50pct,0.8545435524159122,0.8803590740800433,0.7406684557209076,0.7204556241101091,0.4897959183673469,5523,0.38149556400506973
oulad,SVM,0,42,75pct,0.8964666821407509,0.9218372372026957,0.7926015767131595,0.7464306110793832,0.579097658480868,5167,0.3388813624927424
oulad,SVM,0,42,100pct,0.9243688581520625,0.9441383217644311,0.8384718498659517,0.7775015537600994,0.6221255438160348,5025,0.3201990049751244
oulad,XGB,0,42,20pct,0.7661599408680579,0.7901070170156136,0.676555023923445,0.8324175824175825,0.3940345368916798,5963,0.4273016937782995
oulad,XGB,0,42,35pct,0.8062355151741952,0.8265423977196985,0.6996,0.7519346517626827,0.4411006018916595,5742,0.4050853361198189
oulad,XGB,0,42,50pct,0.855568746393658,0.8766866939575788,0.7429805615550756,0.7346938775510204,0.49691504508780254,5523,0.38149556400506973
oulad,XGB,0,42,75pct,0.8980824093578705,0.9204504418351774,0.7958371594735231,0.7424328954882924,0.5819531696173615,5167,0.3388813624927424
oulad,XGB,0,42,100pct,0.9263973013538046,0.9449936175756104,0.840499306518724,0.7532628962088254,0.6233685518955874,5025,0.3201990049751244
oulad,CatBoost,0,42,20pct,0.7657530812818363,0.7928315723180814,0.6804918333639199,0.7276295133437991,0.3959968602825746,5963,0.4273016937782995
oulad,CatBoost,0,42,35pct,0.8084819196141281,0.8296115744833377,0.7054386661373561,0.7639724849527085,0.43981083404987104,5742,0.4050853361198189
oulad,CatBoost,0,42,50pct,0.855084562225219,0.8787144780029544,0.7408876766674932,0.7090650213573801,0.49644043663977216,5523,0.38149556400506973
oulad,CatBoost,0,42,75pct,0.8987570483139897,0.9219953937328552,0.7947434292866082,0.7252998286693318,0.5808109651627641,5167,0.3388813624927424
oulad,CatBoost,0,42,100pct,0.9232552995688943,0.9427552205611583,0.8422131147540983,0.7663144810441268,0.6208825357364823,5025,0.3201990049751244
oulad,MLP,0,42,20pct,0.7659934618090292,0.7892748539893488,0.6778050778050778,0.8120094191522763,0.3897174254317112,5963,0.4273016937782995
oulad,MLP,0,42,35pct,0.8063452616210933,0.8261453863363144,0.6931079323797139,0.6874462596732588,0.4402407566638005,5742,0.4050853361198189
oulad,MLP,0,42,50pct,0.8507320589864911,0.8733551260491124,0.733782841199721,0.7489321309919317,0.49691504508780254,5523,0.38149556400506973
oulad,MLP,0,42,75pct,0.8976440362133374,0.9207801296549178,0.7958179581795818,0.7390062821245003,0.5825242718446602,5167,0.3388813624927424
oulad,MLP,0,42,100pct,0.9240877875214385,0.943012300540141,0.8383977900552486,0.7545059042883778,0.622747047855811,5025,0.3201990049751244
oulad,LR,0,1201,20pct,0.7683617160669742,0.7980882430683727,0.6891914607497058,0.804552590266876,0.39089481946624804,5963,0.4273016937782995
oulad,LR,0,1201,35pct,0.8086826592702222,0.8326122228912145,0.7035323801513877,0.7192605331040413,0.4411006018916595,5742,0.4050853361198189
oulad,LR,0,1201,50pct,0.8558637057978324,0.8810666797082103,0.736377789309808,0.673469387755102,0.49169435215946844,5523,0.38149556400506973
oulad,LR,0,1201,75pct,0.8988558433965916,0.9231793943106449,0.7971552257266543,0.7361507709880069,0.5808109651627641,5167,0.3388813624927424
oulad,LR,0,1201,100pct,0.9240454488729382,0.9430974480491031,0.8419255718675316,0.7663144810441268,0.6221255438160348,5025,0.3201990049751244
oulad,DT,0,1201,20pct,0.6976385933017512,0.7313062695514068,0.6340941512125535,0.6978021978021978,0.3563579277864992,5963,0.4273016937782995
oulad,DT,0,1201,35pct,0.7566526020467024,0.7867757515590985,0.6628,0.7123817712811694,0.42175408426483235,5742,0.4050853361198189
oulad,DT,0,1201,50pct,0.8084100190485056,0.8405891508065566,0.7024673439767779,0.6891314665401044,0.4750830564784053,5523,0.38149556400506973
oulad,DT,0,1201,75pct,0.8562793542975162,0.8818426105122934,0.7752629901179471,0.6944603083952028,0.5699600228440891,5167,0.3388813624927424
oulad,DT,0,1201,100pct,0.8909317176267938,0.9142041509774497,0.8196496049467537,0.7414543194530765,0.6171535114978247,5025,0.3201990049751244
oulad,RF,0,1201,20pct,0.7485647330188172,0.7717701248761697,0.6682875998610629,0.7551020408163265,0.3826530612244898,5963,0.4273016937782995
oulad,RF,0,1201,35pct,0.7889344084384762,0.8100337343259478,0.6819390468398445,0.7166809974204643,0.43293207222699914,5742,0.4050853361198189
