candidate,seed,records,threshold,threshold_scope,macro_f1,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,brier,nll,ece,confusion_matrix,roc_auc,recall_at_10_percent
A0_aggregate_static_only,42,10258,0.5,global,0.8255948752412654,0.8185130585635184,0.8447346011921658,0.7258536585365853,0.7807949626131444,0.8856269614628629,0.11809231138749765,0.3740243966147565,0.01680477232748357,"[[5611, 547], [1124, 2976]]",0.9022289070730914,0.24829268292682927
A0_aggregate_static_only,2026,10258,0.5,global,0.8226029810232108,0.817589611768154,0.8225588314849879,0.7417073170731707,0.7800436065153264,0.8852439682311168,0.1194207270463607,0.3767198281101883,0.023094213303384837,"[[5502, 656], [1059, 3041]]",0.9002244155926455,0.24926829268292683
A0_aggregate_static_only,3407,10258,0.49500000000000005,global,0.8258886731141906,0.8192877399218942,0.840437464946719,0.7309756097560975,0.7818940777458909,0.8871282491304124,0.11794369434152427,0.3724910052890853,0.017117235020055827,"[[5589, 569], [1103, 2997]]",0.9023039433138729,0.2497560975609756
A1_cnn_small_temporal,42,10258,0.49000000000000005,global,0.8193360599588644,0.812663836057003,0.8338504936530324,0.7209756097560975,0.7733158927403532,0.8842620054771693,0.11976365379222888,0.37740193569190406,0.015029215529255267,"[[5569, 589], [1144, 2956]]",0.8976476366257654,0.24926829268292683
A1_cnn_small_temporal,2026,10258,0.49500000000000005,global,0.8191837486520642,0.8124603727849555,0.834180790960452,0.7202439024390244,0.7730366492146596,0.8824171560031182,0.12100589100840768,0.38042482092729085,0.01627976073035314,"[[5571, 587], [1147, 2953]]",0.895940893860059,0.2497560975609756
A1_cnn_small_temporal,3407,10258,0.49000000000000005,global,0.8238214360274019,0.8180732974754237,0.8303080308030804,0.7363414634146341,0.7805067218200621,0.8867683017493986,0.11832612909805201,0.3737007241618385,0.013994436818658928,"[[5541, 617], [1081, 3019]]",0.9000112485048204,0.24926829268292683
A2_bilstm_current_temporal,42,10258,0.4650000000000001,global,0.8239417205963062,0.8171738131639192,0.8398646743727093,0.7265853658536585,0.7791290702236171,0.8823421866922283,0.12056426489730122,0.38756616889097184,0.028897527644652594,"[[5590, 568], [1121, 2979]]",0.8950294283066248,0.24682926829268292
A2_bilstm_current_temporal,2026,10258,0.48500000000000004,global,0.8250057722954436,0.8214573150928002,0.8137100994243851,0.7585365853658537,0.7851552638222671,0.8852496501874401,0.11944703663192426,0.3779728175373548,0.026819565373464326,"[[5446, 712], [990, 3110]]",0.9001881748112707,0.24780487804878049
A2_bilstm_current_temporal,3407,10258,0.4600000000000001,global,0.8255920701706094,0.8202289308375383,0.8289760348583878,0.7424390243902439,0.7833247555326814,0.888946310169441,0.11694984191031695,0.3692103327059794,0.015228153579372839,"[[5530, 628], [1056, 3044]]",0.9024864146579108,0.24902439024390244
A3_serial_current_temporal,42,10258,0.5050000000000001,global,0.8242225360148049,0.8176625686198402,0.8381940549635446,0.7290243902439024,0.7798069397338899,0.8822435002688946,0.12185371759291265,0.39358361167589456,0.03649868546682034,"[[5581, 577], [1111, 2989]]",0.8941920088086883,0.24829268292682927
