candidate,seed,inner_fold,records,threshold,threshold_scope,macro_f1,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,brier,nll,ece,confusion_matrix,roc_auc,recall_at_10_percent
A0_aggregate_static_only,42,0,3428,0.5,global,0.8273936823259251,0.8186975204282896,0.8759964570416298,0.7064285714285714,0.7821273230525899,0.8920264270124384,0.11778290724262334,0.37205446023695987,0.02015697217493154,"[[1888, 140], [411, 989]]",0.9043871513102282,0.24428571428571427
A0_aggregate_static_only,42,1,3414,0.5,global,0.8172719161789335,0.8140841706376365,0.8029595015576324,0.7520058351568198,0.7766478342749529,0.88011216615045,0.12364389991394283,0.38780806911108734,0.032379411593598986,"[[1790, 253], [340, 1031]]",0.8965916243507119,0.24726477024070023
A0_aggregate_static_only,42,2,3416,0.5,global,0.8319821304290894,0.8227738593168574,0.8612612612612612,0.7193378480060195,0.7839278392783928,0.8903461923888278,0.1128544642503037,0.36222565071329677,0.023168421349874256,"[[1933, 154], [373, 956]]",0.9083249598088853,0.2565838976674191
A0_aggregate_static_only,2026,0,3428,0.5,global,0.827007483840565,0.82173640462102,0.8368167202572347,0.7435714285714285,0.7874432677760969,0.8933611128761585,0.11710411380585954,0.3706389748158118,0.017289281072629694,"[[1825, 203], [359, 1041]]",0.9048531276415891,0.24428571428571427
A0_aggregate_static_only,2026,1,3414,0.5,global,0.815591468488591,0.8098904194393837,0.8221670802315963,0.725018234865062,0.7705426356589147,0.8821652291636212,0.12175559420060397,0.3810117553292385,0.020015213702378156,"[[1828, 215], [377, 994]]",0.8974656125968555,0.24799416484318015
A0_aggregate_static_only,2026,2,3416,0.5,global,0.8251227573496769,0.821460414771582,0.8086816720257235,0.7569601203912716,0.7819665759813448,0.8827002153524782,0.11941197813648112,0.3785326283348034,0.03885910735275835,"[[1849, 238], [323, 1006]]",0.8990778487198874,0.2565838976674191
A0_aggregate_static_only,3407,0,3428,0.49500000000000005,global,0.8205088065420026,0.8164828120597352,0.81796875,0.7478571428571429,0.7813432835820896,0.8872090143665594,0.1208398171082028,0.3802819303367249,0.02076707089530651,"[[1795, 233], [353, 1047]]",0.8998767258382643,0.24428571428571427
A0_aggregate_static_only,3407,1,3414,0.49500000000000005,global,0.8191225048427607,0.8101115941609873,0.8616636528028933,0.6951130561633844,0.7694792087202261,0.8859861031877656,0.11943818505758409,0.3757685135478643,0.016946024993051544,"[[1890, 153], [418, 953]]",0.9005077914552655,0.24945295404814005
A0_aggregate_static_only,3407,2,3416,0.49500000000000005,global,0.8378043530913049,0.8312512190733925,0.8449152542372881,0.7501881113619263,0.79473893981666,0.8901484797816959,0.11354378211997794,0.3613971223093488,0.026979611196339258,"[[1904, 183], [332, 997]]",0.9076929344759543,0.2565838976674191
A1_cnn_small_temporal,42,0,3428,0.49000000000000005,global,0.8186955996131529,0.8132248520710059,0.8295454545454546,0.73,0.776595744680851,0.8919139449743114,0.11778622156470563,0.3706699259263548,0.01868825101227331,"[[1818, 210], [378, 1022]]",0.9029106790645252,0.24428571428571427
A1_cnn_small_temporal,42,1,3414,0.49000000000000005,global,0.8182311421211691,0.8142282287492864,0.8104678826328311,0.7454412837345004,0.776595744680851,0.8846169644206623,0.1221051594220339,0.37988390524202714,0.03416877534779528,"[[1804, 239], [349, 1022]]",0.8984392097975225,0.2487235594456601
A1_cnn_small_temporal,42,2,3416,0.49000000000000005,global,0.8204621304114021,0.8095741562569967,0.8669201520912547,0.6862302483069977,0.7660646787064259,0.8810062451994785,0.11940789777811744,0.38167707779734406,0.031238690910444303,"[[1947, 140], [417, 912]]",0.8963925522682787,0.2565838976674191
A1_cnn_small_temporal,2026,0,3428,0.49500000000000005,global,0.8205019600231491,0.8120569174415329,0.8662533215234721,0.6985714285714286,0.7734282325029656,0.8868439018094575,0.120453745059358,0.37897517072049897,0.01666139934566242,"[[1877, 151], [422, 978]]",0.8980980557903636,0.24428571428571427
A1_cnn_small_temporal,2026,1,3414,0.49500000000000005,global,0.8159878116218773,0.8096649604616715,0.8285714285714286,0.7191830780452224,0.7700117141741507,0.8821388720827311,0.12328174833433202,0.3867691274670374,0.03291852855438383,"[[1839, 204], [385, 986]]",0.8951278368469588,0.24945295404814005
A1_cnn_small_temporal,2026,2,3416,0.49500000000000005,global,0.8210519181983863,0.8165020985187965,0.80999180999181,0.744168547780286,0.7756862745098039,0.8823423285387642,0.11928545172346522,0.37553897150755655,0.03090975709713175,"[[1855, 232], [340, 989]]",0.8983553280312429,0.2565838976674191
