dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,late,none,logistic_regression,1,0.7784810126582279,0.7979736575481257,0.7375268409751169,0.7594999899191516,0.7692307692307693,0.8080808080808081,2.9926069241602122,0.5522952204205605,0.6610892845590794
student-mat,late,none,random_forest,1,0.8354430379746836,0.8695068105833719,0.8275661120488707,0.8438039238292885,0.7115384615384616,0.7789473684210526,2.7331184952103262,0.6265699179514957,0.8284810126582279
student-mat,late,none,xgboost,1,0.8734177215189873,0.896816533487372,0.863946398429157,0.8780396558174336,0.8076923076923077,0.8484848484848485,2.368370160086863,0.7195912643800153,0.7361516416827335
student-mat,late,none,mlp,1,0.41139240506329117,0.18685970705274743,0.29571577847439917,0.2281045751633987,0.0,0.0,5.844504072040781,-0.7076061451521096,0.4749537500354403
student-mat,late,none,logistic_regression,2,0.810126582278481,0.8699436763952892,0.7561691182380837,0.788774563730883,0.8076923076923077,0.8316831683168316,2.785870770399641,0.6120155576259452,0.6550936958954371
student-mat,late,none,random_forest,2,0.8670886075949367,0.8762108262108262,0.8670209101243583,0.8689292251372788,0.9423076923076923,0.875,2.383686645789764,0.7159526742986277,0.8042194092827004
student-mat,late,none,xgboost,2,0.8860759493670886,0.9064935064935065,0.8880946639567329,0.896128170894526,0.8846153846153846,0.8598130841121495,2.2861027585795024,0.7387334121994897,0.7118998428311529
student-mat,late,none,mlp,2,0.18354430379746836,0.06118143459915612,0.3333333333333333,0.10338680926916222,0.0,0.0,8.13425714128256,-2.3077156833345263,0.5453767852269751
student-mat,late,class_weight,logistic_regression,1,0.7278481012658228,0.7208110115957678,0.7837937924144821,0.7330919892323401,0.7884615384615384,0.780952380952381,3.310894941923663,0.45199669382926555,0.6433508942224561
student-mat,late,class_weight,random_forest,1,0.8544303797468354,0.8769355847404627,0.8509593854421441,0.8626554109351002,0.8076923076923077,0.8235294117647058,2.557255748263227,0.6730805911657556,0.8324894514767932
