candidate_id,outer_fold,seed,epochs_ran,selected_epoch,refit_epochs,hit_epoch_cap,full_refit_input_records,estimator_parity,criterion_parity,resampling_parity,scheduler_state,sample_utilization,cnn_output_sequence_length
N0,0,42,12,2,2,False,252,True,True,True,"{""learning_rate"": 0.0005611516415334506, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N1,0,42,80,50,50,True,252,True,True,True,"{""learning_rate"": 0.007048070363505824, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
N2,0,42,40,28,28,True,252,True,True,True,"{""learning_rate"": 0.00041846544287414965, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
N3,0,42,17,7,7,False,252,True,True,True,"{""learning_rate"": 0.0016319568650749387, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 28, ""n_batches"": 8, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",0
A1,0,42,28,18,18,False,252,True,True,True,"{""learning_rate"": 0.0005611516415334506, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
A2,0,42,40,39,39,True,252,True,True,True,"{""learning_rate"": 0.0005611516415334506, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 252, ""drop_last_train"": false, ""final_batch_size"": 12, ""n_batches"": 16, ""samples_consumed_per_epoch"": 252, ""samples_dropped_per_epoch"": 0}",2
