candidate_id,seed,outer_fold,qwk,ordinal_mae,one_step_error_rate,two_step_error_rate,brier,nll,ece
A1,42,0,0.0,0.515625,0.515625,0.0,0.6104993732834076,1.0086963672985982,0.01745638013389883
A2,42,0,0.5425601039636128,0.34375,0.34375,0.0,0.45756545618313904,0.7496455258309094,0.1248350022916071
M1,42,0,0.9054652880354506,0.09375,0.09375,0.0,0.1448844020329918,0.22482667787343635,0.036734130370475765
M2,42,0,0.8410332836562344,0.15625,0.15625,0.0,0.20326181649543665,0.3176861657630325,0.07334269433844982
N0,42,0,0.19163763066202089,0.453125,0.453125,0.0,0.6406900603530636,1.057913551754699,0.1754042397687796
N1,42,0,0.8432141107300343,0.15625,0.15625,0.0,0.246049524285068,0.40816013622947256,0.1166820769157957
N2,42,0,0.1466666666666666,0.46875,0.46875,0.0,0.5926283233741072,0.9912035823881034,0.04191701215974686
N3,42,0,0.66281441196465,0.484375,0.484375,0.0,0.5576100547752899,0.9527226780817446,0.2662856544866209
R0,42,0,0.8909444985394352,0.109375,0.109375,0.0,0.21875,3.942274589434689,0.109375
