candidate_id,model,family,parameter_count,oof_macro_f1,outer_mean_macro_f1,outer_sd,seed_mean,seed_sd,seed_median,worst_seed,best_seed,accuracy,balanced_accuracy,high_class_f1,qwk,ordinal_mae,two_step_error,brier,nll,ece,runtime_seconds,class_collapse_count,eligible_overall,eligible_thesis_hybrid
M1,Random Forest,machine_learning,6410,0.9201228878648232,0.9201228878648232,0.0,0.9201228878648232,0.0,0.9201228878648232,0.9201228878648232,0.9201228878648232,0.90625,0.9201228878648232,1.0,0.9054652880354506,0.09375,0.0,0.1448844020329918,0.22482667787343635,0.036734130370475765,0.26101050000033865,0,True,False
R0,G2 deterministic threshold rule,rule,0,0.9074850679883086,0.9074850679883086,0.0,0.9074850679883086,0.0,0.9074850679883086,0.9074850679883086,0.9074850679883086,0.890625,0.9093701996927802,1.0,0.8909444985394352,0.109375,0.0,0.21875,3.942274589434689,0.109375,0.0,0,True,False
M2,SVM RBF,machine_learning,931,0.8619763636561314,0.8619763636561314,0.0,0.8619763636561314,0.0,0.8619763636561314,0.8619763636561314,0.8619763636561314,0.84375,0.8549667178699436,0.9565217391304348,0.8410332836562344,0.15625,0.0,0.20326181649543665,0.3176861657630325,0.07334269433844982,0.036479400001553586,0,True,False
N1,Corrected compact ordinal CNN-BiLSTM,cnn_bilstm,2859,0.8561703996486605,0.8561703996486605,0.0,0.8561703996486605,0.0,0.8561703996486605,0.8561703996486605,0.8561703996486605,0.84375,0.8481822836661547,0.9090909090909091,0.8432141107300343,0.15625,0.0,0.246049524285068,0.40816013622947256,0.1166820769157957,9.973867800001244,0,True,True
A2,Parameter-matched BiLSTM-only,ablation,2531,0.4882024882024882,0.4882024882024882,0.0,0.4882024882024882,0.0,0.4882024882024882,0.4882024882024882,0.4882024882024882,0.65625,0.5335381464413723,0.0,0.5425601039636128,0.34375,0.0,0.45756545618313904,0.7496455258309094,0.1248350022916071,4.948505500000465,1,False,False
N3,Tiny ordered MLP,neural_mlp,403,0.45437788018433184,0.45437788018433184,0.0,0.45437788018433184,0.0,0.45437788018433184,0.45437788018433184,0.45437788018433184,0.515625,0.6666666666666666,0.6857142857142857,0.66281441196465,0.484375,0.0,0.5576100547752899,0.9527226780817446,0.2662856544866209,0.8657881999988604,1,True,False
N0,Corrected compact nominal CNN-BiLSTM,cnn_bilstm,3443,0.3337728937728938,0.3337728937728938,0.0,0.3337728937728938,0.0,0.3337728937728938,0.3337728937728938,0.3337728937728938,0.546875,0.3968253968253968,0.0,0.19163763066202089,0.453125,0.0,0.6406900603530636,1.057913551754699,0.1754042397687796,1.0796064999994996,1,True,True
N2,Tiny nominal MLP,neural_mlp,63,0.3079710144927536,0.3079710144927536,0.0,0.3079710144927536,0.0,0.3079710144927536,0.3079710144927536,0.3079710144927536,0.53125,0.38095238095238093,0.0,0.1466666666666666,0.46875,0.0,0.5926283233741072,0.9912035823881034,0.04191701215974686,3.226196499999787,1,True,False
A1,Parameter-matched CNN-only,ablation,43,0.21754385964912282,0.21754385964912282,0.0,0.21754385964912282,0.0,0.21754385964912282,0.21754385964912282,0.21754385964912282,0.484375,0.3333333333333333,0.0,0.0,0.515625,0.0,0.6104993732834076,1.0086963672985982,0.01745638013389883,2.0082103999993706,1,False,False
