dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,mean_stage_macro_f1,worst_stage_macro_f1,rank_macro_f1,rank_mean_stage_macro_f1,rank_worst_stage_macro_f1,rank_balanced_accuracy,rank_pr_auc,authority_scope,risk_f1,risk_precision,risk_recall,early_mean_macro_f1,early_mean_risk_recall,early_mean_risk_f1,early_worst_risk_recall,early_mean_pr_auc,harmonic_stage_macro_f1,mean_stage_balanced_accuracy,mean_stage_risk_recall,mean_stage_risk_f1,mean_stage_pr_auc,mean_stage_brier,mean_stage_nll,mean_stage_ece,gain_E1_to_E2,gain_E2_to_M1,gain_M1_to_L1,gain_E1_to_L1,final_L1_macro_f1,final_L1_risk_precision,final_L1_risk_recall,final_L1_risk_f1,final_L1_pr_auc,final_L1_ece,seed_std_mean,seed_std_max
student_mat,bilstm_only_mat,bilstm_only,OVERALL,0.6160337552742616,0.6748280353588573,0.620373102408743,0.6748280353588573,0.6146313492578052,0.6068942531293412,0.7311616562867086,0.8374751315620658,0.4729560154808606,0.7754411087464179,0.0634303717429251,161.0,49.0,0.6181713093409256,0.431257914794549,10.0,10.0,3.0,5.0,9.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,cnn_bilstm_mat,cnn_bilstm,OVERALL,0.6641350210970464,0.6961725061468211,0.6523600494613672,0.6961725061468211,0.6605555308571892,0.6636337356444714,0.7971598535643466,0.8728206153071686,0.4111587007019651,0.6745364153159631,0.0460224462540603,129.0,61.0,0.667836246187926,0.4135582605142271,8.0,6.0,7.0,3.0,4.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,cnn_only_mat,cnn_only,OVERALL,0.6734177215189874,0.7026083743121414,0.6607618497982246,0.7026083743121414,0.6691642264344994,0.6747649900471073,0.804076972359388,0.877080946687849,0.4020365017770495,0.6583612685863841,0.0439315244405594,112.0,69.0,0.6759697197480201,0.4239012732907659,6.0,2.0,5.0,1.0,2.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,decision_tree_mat,decision_tree,OVERALL,0.6902953586497891,0.6683986311126722,0.6981448868016272,0.6683986311126722,0.6805788493361344,0.6891667333354711,0.728851751288409,0.8352163193516148,0.43410037593358,2.3604438238734,0.1116695792594823,92.0,132.0,0.6678870786149406,0.4103904876874096,2.0,5.0,9.0,6.0,10.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,OVERALL,0.6725738396624472,0.6559246087499512,0.6814011152246446,0.6559246087499512,0.666811584235307,0.6717555626435856,0.7525512223502036,0.8425883904542939,0.4931767263586801,1.0154541916572546,0.1887294874762507,113.0,139.0,0.664474766610122,0.4378850969885695,7.0,9.0,2.0,10.0,7.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,logistic_regression_mat,logistic_regression,OVERALL,0.6590717299578059,0.6990527309448543,0.6518465385730972,0.6990527309448543,0.6569943753204424,0.660028261218082,0.8099687524811398,0.8777206484409202,0.3995602879172288,0.6416132177364433,0.0786318397206544,113.0,72.0,0.6652506031245137,0.397920753696986,9.0,7.0,10.0,2.0,1.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,mlp_mat,mlp,OVERALL,0.6928270042194092,0.667650767864809,0.7122763653483992,0.667650767864809,0.6847598949871677,0.6910967692325575,0.7922018182053376,0.8687724757922041,0.3904803638701016,0.6409198518155764,0.0712600356765931,88.0,146.0,0.6690545372525203,0.4218916160092631,1.0,4.0,6.0,7.0,5.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,random_forest_mat,random_forest,OVERALL,0.6734177215189874,0.6852612886859463,0.6623003411156364,0.6852612886859463,0.6716236167790223,0.673541504917145,0.7973600738711125,0.8695609774000821,0.3885710800138542,0.6367001822169531,0.0345145984130771,125.0,98.0,0.6768996760005144,0.4296116698045338,5.0,1.0,4.0,4.0,3.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,svm_mat,svm,OVERALL,0.6919831223628692,0.6659431955664833,0.6957682923555749,0.6659431955664833,0.6781465075371885,0.6904454900970486,0.7375520086157423,0.8418367239161081,0.4238708704177522,0.7029292210864871,0.0291735178343948,91.0,125.0,0.6756199971808824,0.4522705036254504,4.0,3.0,1.0,8.0,8.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student_mat,xgboost_mat,xgboost,OVERALL,0.6911392405063291,0.6597744214182569,0.7135252393649445,0.6597744214182569,0.6795278249087824,0.6888171995486408,0.7859180905488995,0.8629810356533206,0.4017498387693006,0.6529939377504265,0.0813679302293469,93.0,141.0,0.6649688630965876,0.4116042279255048,3.0,8.0,8.0,9.0,6.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
