dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,seed_macro_f1_mean,seed_macro_f1_std,low_recall,low_f1,rank_macro_f1,rank_balanced_accuracy,rank_pr_auc,rank_low_recall,rank_low_f1,authority_scope,risk_f1,risk_precision,risk_recall,threshold_policy,threshold,seed_macro_f1_min,seed_macro_f1_max,not_risk_precision,not_risk_recall,not_risk_f1,specificity,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
student_mat,bilstm_only_mat,bilstm_only,S0_EARLY_NO_GRADE,0.430379746835443,0.4751386693595598,0.4521858424160687,0.4751386693595598,0.431257914794549,0.433729154806089,0.4409865431590822,0.6303846024588186,0.6368100498417957,1.0424978002696272,0.0864061731062874,48.0,29.0,0.4091394996594538,0.0250252139064947,0.5153846153846153,0.5275590551181102,3.0,1.0,6.0,1.0,1.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,bilstm_only_mat,bilstm_only,S1_MID_G1_ONLY,0.6658227848101266,0.7345985540334855,0.673597276509898,0.7345985540334855,0.6684619184341329,0.64632681605181,0.7762311580016985,0.8723686256040892,0.4317216826827674,0.691909749354413,0.0527856649405887,65.0,12.0,0.6471556684159491,0.0181511346802448,0.9,0.75,10.0,4.0,8.0,1.0,3.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,bilstm_only_mat,bilstm_only,S2_LATE_G1_G2,0.7518987341772152,0.8147468826835266,0.7550071024930061,0.8147468826835266,0.7547940947940948,0.7412563807500517,0.8810087936018268,0.9343768000153528,0.350336313918019,0.5919157766152138,0.1098490069499191,48.0,8.0,0.7406711838814848,0.0224462783951178,0.9384615384615383,0.8133333333333334,10.0,10.0,10.0,2.0,10.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,cnn_bilstm_mat,cnn_bilstm,S0_EARLY_NO_GRADE,0.4151898734177215,0.4395972368575108,0.4272467185356424,0.4395972368575108,0.4135582605142271,0.4238995627518076,0.4624081616421924,0.6444952182385374,0.623101832524897,1.0178269873296248,0.1029962004713919,47.0,35.0,0.4149551950004636,0.0303282635949554,0.4923076923076923,0.5161290322580645,7.0,6.0,3.0,2.0,2.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,cnn_bilstm_mat,cnn_bilstm,S1_MID_G1_ONLY,0.7367088607594937,0.775411617492097,0.732069733630337,0.775411617492097,0.743811236189285,0.7321943698989083,0.8301186365547307,0.8998146655244067,0.3703609852218586,0.5859908762463423,0.0479047620369326,47.0,19.0,0.7228526968004247,0.0171908278370448,0.8538461538461538,0.7708333333333334,2.0,1.0,3.0,2.0,2.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,cnn_bilstm_mat,cnn_bilstm,S2_LATE_G1_G2,0.8405063291139241,0.8735086640908559,0.8359863039781238,0.8735086640908559,0.846139241860266,0.8383160787601404,0.9462193735288648,0.9671950932112452,0.2400132843591393,0.419791382371922,0.1053068300015318,35.0,7.0,0.842592103953254,0.0157725108088491,0.946153846153846,0.8541666666666666,9.0,4.0,4.0,1.0,4.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,cnn_only_mat,cnn_only,S0_EARLY_NO_GRADE,0.4253164556962025,0.4562060941341763,0.4397065672754734,0.4562060941341763,0.4239012732907659,0.4330208597725857,0.465916292307108,0.645816164560596,0.6262586460296256,1.0257445947737398,0.0850167200506391,46.0,35.0,0.4135197879454867,0.0124741393380114,0.4769230769230769,0.5,5.0,2.0,2.0,4.0,4.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,cnn_only_mat,cnn_only,S1_MID_G1_ONLY,0.7468354430379747,0.7753860057370331,0.7388969806260692,0.7753860057370331,0.7522229502654812,0.7448688523547412,0.8471309612771462,0.9059526781568468,0.3593767900149617,0.5639404820611614,0.0635415756828745,38.0,24.0,0.7389405968439452,0.0054310663604361,0.8153846153846154,0.7737226277372263,1.0,2.0,1.0,3.0,1.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,cnn_only_mat,cnn_only,S2_LATE_G1_G2,0.8481012658227848,0.876233023065215,0.838804753028891,0.876233023065215,0.8517849356878134,0.8467479572153555,0.95138448453016,0.9704587514460528,0.2204740692865613,0.3853987289242508,0.0914153422879985,28.0,10.0,0.852321705285021,0.01258009590453,0.9230769230769232,0.8633093525179856,7.0,3.0,3.0,3.0,1.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
student_mat,decision_tree_mat,decision_tree,S0_EARLY_NO_GRADE,0.4886075949367088,0.4097379551574757,0.4367389060887512,0.4097379551574757,0.4103904876874096,0.4683859366677162,0.4010480152166905,0.5817544702042333,0.6798929004913539,3.0189208967475136,0.1647379341775918,43.0,68.0,0.4091817764107511,0.0013129924738993,0.4307692307692308,0.4827586206896552,9.0,10.0,10.0,7.0,6.0,UNIFIED_STAGE_AWARE_UCI,,,,,,,,,,,,,,,,,,,
