candidate_id,macro_f1,seed_sd,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,operational_recall,brier,nll,ece,worst_module_macro_f1,class_collapse_count
V3-A0F,0.827069694073483,0.0019503909528814582,0.8342087982466633,0.7394028549634957,0.7839163282782856,0.8902744990024708,0.8139370164541789,0.11667394037072547,0.37216117612509875,0.02934610247183725,0.7397536394176931,0
V3-A1,0.8262186520492394,0.0011559272074632345,0.8285292391759675,0.743380189604446,0.7836076430788799,0.8886369489313645,0.8260324724855618,0.11818246963831065,0.3766478908667997,0.03349934107675856,0.7299551771282211,0
V3-D0,0.8273305883417743,0.003475095454026309,0.8375916965503595,0.7365152010460935,0.7837432777091845,0.8900872899425366,0.8076713522937778,0.11623832060001123,0.36969149703678744,0.025027849161090226,0.7456701305622169,0
V3-ENS,0.8303219965359786,,0.8425270219903094,0.7389669826740765,0.7873563218390804,0.8926916744364296,0.810395554102648,0.11446846405677608,0.36340575656132684,0.019527886498543583,0.760465779627175,0
V3-H2TF,0.8244680784835817,0.0017187048636912372,0.838069616003271,0.7285605317641931,0.7794794789008788,0.8885853652957407,0.8231993026043369,0.11659712259177228,0.369226740160439,0.01963284989974291,0.7137931034482758,0
V3-H3CF,0.826083565565352,0.0012932312211763237,0.8254698908988044,0.7464857796665577,0.7839385525337436,0.8889305553254965,0.8264138607388035,0.11753176919059903,0.3745662472660456,0.029565783107066566,0.7350258437214958,0
V3-MLD,0.8259606564438204,,0.8356877323420074,0.7348806799607714,0.7820490520090451,0.8892633948638378,0.8174239947695325,0.11525811618378043,0.36590348522705035,0.011056234816712534,0.7410509031198687,0
V3-MLF,0.8257182665392502,,0.8285870755750274,0.7419091206276561,0.7828561572956192,0.8874514772495355,0.7419091206276561,0.12031430118823397,0.3807353469581117,0.04660768049493648,0.759555805906494,0
V3-P0,0.8267297449663271,0.0003086190848094886,0.8197618109587027,0.7549308052740548,0.7858937316173872,0.8899345029051173,0.8217282336275472,0.11671557630817025,0.36998170892479026,0.02469804700564221,0.7486118122160526,0
