G1_uci_XGB_static_S0_f0_s42,2026-08-18T15:31:00Z,G1,uci,S0,XGB,XGB,static,0,42,,,identity,0.4393919504063015,0.45,0.5901639344262295,0.36363636363636365,0.6538263618319489,0.11905879538070122,0.37974266468118395,0.9997795475530934,0.5603875971467919,,,cpu,False,,False,ok
G1_uci_XGB_static_aggregate_S0_f0_s42,2026-08-18T15:31:01Z,G1,uci,S0,XGB,XGB,static_aggregate,0,42,,,identity,0.43450409270598606,0.4766355140186916,0.8360655737704918,0.3333333333333333,0.6893332353157392,0.1150758023872647,0.36579155318739254,0.999890350877193,0.565386258171207,,,cpu,False,,False,ok
G1_uci_XGB_full_S0_f0_s42,2026-08-18T15:31:02Z,G1,uci,S0,XGB,XGB,full,0,42,,,identity,0.42835477363950275,0.46226415094339623,0.8032786885245902,0.32450331125827814,0.6729397926927884,0.10490416302706418,0.39304897023175833,0.9994399628029694,0.5710851891634667,,,cpu,False,,False,ok
G1_uci_RF_full_S0_f0_s42,2026-08-18T15:31:03Z,G1,uci,S0,RF,RF,full,0,42,,,identity,0.4507588148749159,0.49261083743842365,0.819672131147541,0.352112676056338,0.703558038667941,0.0780328918533894,0.3691203385860344,0.9972003144623914,0.5464414995874756,,,cpu,False,,False,ok
G1_uci_LR_full_S0_f0_s42,2026-08-18T15:31:04Z,G1,uci,S0,LR,LR,full,0,42,,,identity,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.3627450980392157,0.6575387782106888,0.1664021329274804,0.4048972147796257,0.6369425795826666,0.1727908191441349,,,cpu,False,,False,ok
G1_uci_DT_full_S0_f0_s42,2026-08-18T15:31:04Z,G1,uci,S0,DT,DT,full,0,42,,,identity,0.4031740949124027,0.5503355704697986,0.6721311475409836,0.4659090909090909,0.7306844078512092,0.16602381357762525,0.47049718833389964,0.5746226287693903,0.1714485338569876,,,cpu,False,,False,ok
G1_uci_MLP_full_S0_f0_s42,2026-08-18T15:31:06Z,G1,uci,S0,MLP,MLP,full,0,42,,,identity,0.40862197838456416,0.4444444444444444,0.4918032786885246,0.40540540540540543,0.6472469308240829,0.18922002871176274,0.38732991345053913,1.0,0.5913780216154358,,,cpu,False,,False,ok
G1_uci_SVM_full_S0_f0_s42,2026-08-18T15:31:06Z,G1,uci,S0,SVM,SVM,full,0,42,,,identity,0.4796078215283905,0.4782608695652174,0.7213114754098361,0.35772357723577236,0.6835256928618687,0.05000389411186268,0.3468651345080259,0.8830650414471161,0.4034572199187256,,,cpu,False,,False,ok
G1_uci_XGB_static_S1_f0_s42,2026-08-18T15:31:07Z,G1,uci,S1,XGB,XGB,static,0,42,,,identity,0.4393919504063015,0.45,0.5901639344262295,0.36363636363636365,0.6538263618319489,0.11905879538070122,0.37974266468118395,0.9997795475530934,0.5603875971467919,,,cpu,False,,False,ok
G1_uci_XGB_static_aggregate_S1_f0_s42,2026-08-18T15:31:08Z,G1,uci,S1,XGB,XGB,static_aggregate,0,42,,,identity,0.7141871194487188,0.7175572519083969,0.7704918032786885,0.6714285714285714,0.8336763949128869,0.07374655089810864,0.8519199714769565,1.0,0.2858128805512812,,,cpu,False,,False,ok
