policy_id,outer_fold,seed,stage,dataset_size,batch_size,n_batches,final_batch_size,samples_consumed_per_epoch,samples_dropped_per_epoch,drop_last_train,utilization_rate
B2_drop_last_false,0,155,epoch_selection,214,32,7,22,214,0,False,1.0
B2_drop_last_false,0,155,full_partition_refit,252,32,8,28,252,0,False,1.0
B2_drop_last_false,1,42,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,1,42,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,1,123,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,1,123,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,1,155,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,1,155,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,2,42,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,2,42,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,2,123,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,2,123,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,2,155,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,2,155,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,3,42,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,3,42,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,3,123,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,3,123,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,3,155,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,3,155,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,4,42,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,4,42,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,4,123,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,4,123,full_partition_refit,253,32,8,29,253,0,False,1.0
B2_drop_last_false,4,155,epoch_selection,215,32,7,23,215,0,False,1.0
B2_drop_last_false,4,155,full_partition_refit,253,32,8,29,253,0,False,1.0
