model_id,model_family,prediction_stage,cohort,common_base_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7421559915236858,0.7060995319598731,0.7241296605417759,0.7060995319598731,0.7120675293069135,0.7367732807951196,0.6768279213607246,0.5702587009119673,0.618989898989899,0.7714313997228271,0.8419403630077787,0.8051451596239281,0.8419403630077787,0.720228127684889,0.785172923582669,0.20980600081827258,0.6061490512800788,0.18190609806100305,7793,1463,2309,3064,14629,5373,9256,1.0
bilstm_only_oulad,bilstm_only,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7658759997265705,0.748189372709445,0.7481312970246459,0.748189372709445,0.7481602976249078,0.7658896974343812,0.6811755952380952,0.6815559277870835,0.6813657084379943,0.8150869988111964,0.8148228176318064,0.8149548868118213,0.8148228176318064,0.7927912982859293,0.8339361083242004,0.16984530535639772,0.5082117414914412,0.12949016100869437,7542,1714,1711,3662,14629,5373,9256,1.0
bilstm_only_oulad,bilstm_only,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8005331875042724,0.8144987638663885,0.7934592100897935,0.8144987638663885,0.7950490796115667,0.8039478639606582,0.678857642430424,0.8671133445002792,0.7615233736515201,0.908060777749163,0.7618841832324978,0.8285747855716132,0.7618841832324978,0.9030461047094114,0.9166039913386196,0.09950788169498029,0.32286164654673066,0.03690349840725799,7052,2204,714,4659,14629,5373,9256,1.0
bilstm_only_oulad,bilstm_only,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.782486841205824,0.7845050804616893,0.7694312304088815,0.7845050804616893,0.7733643127100043,0.7854334023690394,0.6733111849390919,0.792108691606179,0.7278946468274329,0.8655512758786712,0.7769014693171996,0.8188339785925757,0.7769014693171996,0.8493256424639406,0.8745628209873595,0.13343485516243003,0.4144280621633296,0.07100274778525138,7191,2065,1117,4256,14629,5373,9256,1.0
cnn_bilstm_oulad,cnn_bilstm,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7431129947364823,0.7042792329231549,0.7262830558149671,0.7042792329231549,0.7110218701635289,0.7365828623105602,0.6843186487103401,0.5579750604876234,0.6147221652655321,0.7682474629195941,0.8505834053586863,0.8073215750615258,0.8505834053586863,0.7174703221547103,0.7842881699383308,0.21201101653001206,0.6116895769450954,0.1860523236340595,7873,1383,2375,2998,14629,5373,9256,1.0
cnn_bilstm_oulad,cnn_bilstm,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7740788844076834,0.7462002202664786,0.7589197877391178,0.7462002202664786,0.7512244897066609,0.7712388367125406,0.7144338448776442,0.6411688069979528,0.6758214811181952,0.8034057306005914,0.8512316335350043,0.8266274982951267,0.8512316335350043,0.790438112812202,0.83299895432539,0.17248635767070863,0.5157686586789267,0.13721808134705812,7879,1377,1928,3445,14629,5373,9256,1.0
cnn_bilstm_oulad,cnn_bilstm,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8133160161323398,0.8215552879638759,0.8024690527906961,0.8215552879638759,0.8065493766292003,0.8161527615673184,0.7026073619631902,0.8525963149078727,0.7703691246951988,0.902330743618202,0.790514261019879,0.8427296285632019,0.790514261019879,0.9033618554026444,0.916345789898949,0.10047062335185826,0.3264364995313213,0.046499376548459904,7317,1939,792,4581,14629,5373,9256,1.0
cnn_bilstm_oulad,cnn_bilstm,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.7953380272062341,0.7882582809852585,0.7798686516219566,0.7882582809852585,0.7832775485823132,0.7968477712704283,0.7049095607235142,0.7615857063093244,0.7321524422973699,0.854827742520399,0.8149308556611927,0.8344026548672566,0.8149308556611927,0.8492844011570037,0.8744220880322738,0.1352576387434758,0.4201292665588598,0.08090426614730213,7543,1713,1281,4092,14629,5373,9256,1.0
cnn_only_oulad,cnn_only,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7437282110875658,0.7026182663533744,0.7280616372104805,0.7026182663533744,0.7099232256102255,0.7362077187236641,0.6905208822149226,0.5477386934673367,0.6108977685521536,0.7656023922060384,0.8574978392394123,0.8089486826682974,0.8574978392394123,0.7202121679267014,0.7856562595460738,0.2071453197814294,0.6010484455699423,0.17600762946755907,7937,1319,2430,2943,14629,5373,9256,1.0
cnn_only_oulad,cnn_only,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7773600382801286,0.7471535005447546,0.7636886392924345,0.7471535005447546,0.7533297299169439,0.7737654914969364,0.725586353944563,0.6333519449097339,0.6763390638974461,0.8017909246403059,0.8609550561797753,0.8303203959364418,0.8609550561797753,0.792078037830783,0.8339765647759267,0.1714756343392505,0.5131425908393571,0.13540422429000049,7969,1287,1970,3403,14629,5373,9256,1.0
