model_id,model_family,prediction_stage,threshold_policy,class_name,outer_fold,precision,recall,f1,support
cnn_only_oulad,cnn_only,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.7700764452388,0.6244387910412951,0.6893269355672098,3085.3333333333335
cnn_only_oulad,cnn_only,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7499540161796485,0.5391005452886922,0.6269986306041269,2436.6666666666665
cnn_only_oulad,cnn_only,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7021483686790776,0.8576969421165863,0.7720888578398704,3085.3333333333335
cnn_only_oulad,cnn_only,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.6751003782570537,0.7440449889682422,0.7077494462791284,2229.0
cnn_only_oulad,cnn_only,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.8006172856871547,0.7412121692624011,0.7696501111368258,3086.3333333333335
cnn_only_oulad,cnn_only,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7629115478573282,0.6200671659830697,0.6836383037624292,2229.0
cnn_only_oulad,cnn_only,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7582442602610905,0.8602849223588701,0.8058807952342643,3086.3333333333335
cnn_only_oulad,cnn_only,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.8597352175256895,0.7537229317086438,0.803114735821061,1791.6666666666667
cnn_only_oulad,cnn_only,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.8666620381754555,0.928620576982373,0.8965374380842602,3086.6666666666665
cnn_only_oulad,cnn_only,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.6957107882273785,0.8567683690064873,0.7675524761535888,1791.6666666666667
cnn_only_oulad,cnn_only,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.9041102170959147,0.7818697034402353,0.8383267840200407,3086.6666666666665
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.7778704201489354,0.7191071481658873,0.7471203281184732,2039.3333333333333
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.8233306676692553,0.8640440211044069,0.8431182837451957,3086.6666666666665
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.736738069459476,0.7589370159122707,0.7474741411198206,2039.3333333333333
cnn_only_oulad,cnn_only,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8375949636109096,0.8206636396655821,0.8289369391266752,3086.6666666666665
decision_tree_oulad,decision_tree,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.621094126961938,0.6229780832247125,0.6215658340338012,2436.6666666666665
decision_tree_oulad,decision_tree,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.7011581854169409,0.6984662808091507,0.6994956910280035,3085.3333333333335
decision_tree_oulad,decision_tree,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7931116968862651,0.3318293600584372,0.4675183572106299,2436.6666666666665
decision_tree_oulad,decision_tree,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.6383580053407218,0.931272172557442,0.7574529777789976,3085.3333333333335
decision_tree_oulad,decision_tree,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.6583821805835733,0.6499528874000271,0.6534753716078022,2229.0
decision_tree_oulad,decision_tree,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.7494620102280881,0.7552560819460855,0.7519394182395517,3086.3333333333335
decision_tree_oulad,decision_tree,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7664741744768286,0.4817224688111117,0.5915108046106609,2229.0
decision_tree_oulad,decision_tree,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7049314805583311,0.8940612235816275,0.7882802910181684,3086.3333333333335
decision_tree_oulad,decision_tree,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.7702240387885145,0.7481687742984123,0.7585576655898997,1791.6666666666667
