model_family,outer_fold,prediction_stage,threshold_policy,threshold,status,source
cnn_only,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6980279684066772,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.6133520007133484,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.306252121925354,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4427602887153625,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
cnn_only,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6532964110374451,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.586901068687439,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.311093121767044,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4425292909145355,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
cnn_only,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6885526776313782,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.6349930167198181,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.3157392144203186,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
cnn_only,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4691358208656311,PRECISION_CONSTRAINT_MET,pooled_inner_oof
cnn_only,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
decision_tree,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.8799999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.7649999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.5029493457867737,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.6599999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
decision_tree,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.8799999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.7599105862316242,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.4609041653334383,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.635,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
decision_tree,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.8799999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.7449999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.4599999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
decision_tree,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.63,PRECISION_CONSTRAINT_MET,pooled_inner_oof
decision_tree,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5316148759321512,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4736486209570185,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2759646175480318,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3884833943880269,PRECISION_CONSTRAINT_MET,pooled_inner_oof
hist_gradient_boosting,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
hist_gradient_boosting,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5462574163031075,PRECISION_CONSTRAINT_MET,pooled_inner_oof
