prediction_stage,base_model_id,comparator_model_id,metric,delta,ci_95_low,ci_95_high,replicates,resampling_unit,conclusion
E1_EARLY_20PCT,cnn_bilstm_oulad,mlp_oulad,brier,0.020230705257685246,0.01787545957731589,0.022595128541974964,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,mlp_oulad,nll,0.04550457886598809,0.03972817468224134,0.05119418139472704,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,cnn_only_oulad,macro_f1,0.001040050768118092,-0.0017705670882426528,0.003804720876971124,5000,id_student,insufficient evidence of difference
E1_EARLY_20PCT,cnn_bilstm_oulad,cnn_only_oulad,risk_recall,0.008557655862769596,0.004381670994853271,0.012804995966908076,5000,id_student,CNN-BiLSTM higher
E1_EARLY_20PCT,cnn_bilstm_oulad,cnn_only_oulad,risk_f1,0.0035694959418838207,-0.00010740420645206913,0.007223092489706847,5000,id_student,insufficient evidence of difference
E1_EARLY_20PCT,cnn_bilstm_oulad,cnn_only_oulad,brier,0.003386725861729856,0.0029621470199276195,0.0038223628456859537,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,cnn_only_oulad,nll,0.0075110104199716775,0.0064735730341068665,0.008596339987664995,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,bilstm_only_oulad,macro_f1,-0.003317904359504032,-0.006147666097517967,-0.0005492810085550293,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,bilstm_only_oulad,risk_recall,-0.014635476346329012,-0.018889061453295275,-0.010273867091587473,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,bilstm_only_oulad,risk_f1,-0.0074152364057788476,-0.011068652060135891,-0.0037972579831038558,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,bilstm_only_oulad,brier,0.0016904921139636155,0.0012884097307261407,0.002083966006777904,5000,id_student,comparator higher
E1_EARLY_20PCT,cnn_bilstm_oulad,bilstm_only_oulad,nll,0.004375641591738145,0.003407586029490714,0.005301106081017476,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,logistic_regression_oulad,macro_f1,-1.1485547027512678e-05,-0.004111928253171726,0.004180116833848312,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,logistic_regression_oulad,risk_recall,-0.0015310377120153896,-0.008011085841345758,0.005082250252108052,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,logistic_regression_oulad,risk_f1,-0.0003819120402503749,-0.005603396960009857,0.00503735933869739,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,logistic_regression_oulad,brier,0.0017797331835313656,0.0007261065896127906,0.0028307746058064526,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,logistic_regression_oulad,nll,0.0027461250706115573,0.00017867066100751006,0.00531878651760426,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,decision_tree_oulad,macro_f1,0.056081223187223056,0.04871673676238554,0.06339798462364818,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,decision_tree_oulad,risk_recall,0.148898244483987,0.1379724573430278,0.1597514972960972,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,decision_tree_oulad,risk_f1,0.0958416666140844,0.08619477828273214,0.10576711758899955,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,decision_tree_oulad,brier,-0.03469156585536286,-0.03828656161416082,-0.031147340207877964,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,decision_tree_oulad,nll,-0.46952262225713537,-0.5100815020702917,-0.4317947008946848,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,random_forest_oulad,macro_f1,0.0024491067273930255,-0.0022555451712371914,0.007131577537461847,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,random_forest_oulad,risk_recall,0.009460432589604726,0.0022132302895179422,0.01675110204738118,5000,id_student,CNN-BiLSTM higher
E2_EARLY_35PCT,cnn_bilstm_oulad,random_forest_oulad,risk_f1,0.004653143735459614,-0.0013602341626854058,0.010672422838898628,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,random_forest_oulad,brier,0.009368198095866228,0.007788031040594128,0.010957409026071426,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,random_forest_oulad,nll,0.023279840236747742,0.019331170607821094,0.02720978897244349,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,macro_f1,-0.007807337104964236,-0.012375621166636002,-0.003142927228575589,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,risk_recall,0.0011231714158923566,-0.005948666336743183,0.008329989631363464,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,risk_f1,-0.007269351649905735,-0.013052143795895126,-0.0014432950393510368,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,brier,0.013968710204545369,0.012132948562141265,0.015868108796589075,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,nll,0.034995375111323265,0.03039055470868765,0.039675185562573635,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,svm_oulad,macro_f1,-0.0032454578152939107,-0.007277280451925885,0.0007696482239520812,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,svm_oulad,risk_recall,-0.0012286437461481523,-0.007397482694198251,0.005026166313872872,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,svm_oulad,risk_f1,-0.003408622368486249,-0.00852545976479393,0.00169622684343137,5000,id_student,insufficient evidence of difference
E2_EARLY_35PCT,cnn_bilstm_oulad,svm_oulad,brier,0.00938370395013565,0.007591645420013756,0.011245254830929533,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,svm_oulad,nll,0.01919614248666631,0.014382530436040429,0.024144477254490076,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,xgboost_oulad,macro_f1,-0.008041528651208505,-0.012458161102822368,-0.0036109370339361163,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,xgboost_oulad,risk_recall,-0.01862515225414907,-0.02536071540361408,-0.012109776828198946,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,xgboost_oulad,risk_f1,-0.012111312651932287,-0.017626338524622004,-0.0065224700408300675,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,xgboost_oulad,brier,0.014573769917221433,0.012811887223455868,0.0164059198522908,5000,id_student,comparator higher
E2_EARLY_35PCT,cnn_bilstm_oulad,xgboost_oulad,nll,0.03699372525080896,0.032678609339986404,0.04137484045797461,5000,id_student,comparator higher
