model_family,outer_fold,seed,runtime_seconds,cache_hit
svm,2,2026,505.4490040000528,False
svm,2,3407,504.347334900056,False
svm,2,7319,505.08814770006575,False
xgboost,0,42,6.190583899966441,False
xgboost,0,1201,6.049170200014487,False
xgboost,0,2026,5.882663300028071,False
xgboost,0,3407,5.904098100028932,False
xgboost,0,7319,5.854493399965577,False
xgboost,1,42,6.0499880000716075,False
xgboost,1,1201,5.864832799998112,False
xgboost,1,2026,5.961334599996917,False
xgboost,1,3407,6.053281900007278,False
xgboost,1,7319,5.919937300030142,False
xgboost,2,42,6.382158300024457,False
xgboost,2,1201,6.11988710006699,False
xgboost,2,2026,5.968157200026326,False
xgboost,2,3407,6.013779500033706,False
xgboost,2,7319,6.03696089994628,False
mlp,0,42,5.7961850999854505,False
mlp,0,1201,4.610866500064731,False
mlp,0,2026,5.334904300048947,False
mlp,0,3407,4.922995800036006,False
mlp,0,7319,5.323786200024188,False
mlp,1,42,8.338771800044924,False
mlp,1,1201,4.737748400075361,False
mlp,1,2026,5.779725200030953,False
mlp,1,3407,6.708173100021668,False
mlp,1,7319,5.467943400028162,False
mlp,2,42,5.4574429000495,False
mlp,2,1201,4.778910199995153,False
mlp,2,2026,4.9084351999918,False
mlp,2,3407,5.113268700079061,False
mlp,2,7319,5.280690599931404,False
cnn_only,0,42,16.302287600003183,False
cnn_only,0,1201,13.24882430001162,False
cnn_only,0,2026,13.21669670008123,False
cnn_only,0,3407,13.336516899988055,False
cnn_only,0,7319,13.473419500049204,False
cnn_only,1,42,13.35717079997994,False
cnn_only,1,1201,13.202148100011982,False
cnn_only,1,2026,13.214930400019512,False
cnn_only,1,3407,13.244536900077946,False
cnn_only,1,7319,13.145510400063358,False
cnn_only,2,42,13.489299500011839,False
cnn_only,2,1201,13.393999999971129,False
cnn_only,2,2026,13.256764100049622,False
cnn_only,2,3407,13.227191100013442,False
cnn_only,2,7319,13.201568999909796,False
bilstm_only,0,42,18.87661699997261,False
bilstm_only,0,1201,18.29336169990711,False
bilstm_only,0,2026,18.31923379993532,False
bilstm_only,0,3407,18.400237600086257,False
bilstm_only,0,7319,18.319766200031154,False
bilstm_only,1,42,18.450616299989633,False
bilstm_only,1,1201,18.423480800003745,False
bilstm_only,1,2026,18.266733400058,False
bilstm_only,1,3407,18.253321400028653,False
bilstm_only,1,7319,18.25784299999941,False
bilstm_only,2,42,18.465658999979496,False
bilstm_only,2,1201,18.34478990000207,False
bilstm_only,2,2026,18.282684199977666,False
bilstm_only,2,3407,18.424614599905908,False
bilstm_only,2,7319,18.313244999968447,False
cnn_bilstm,0,42,21.393419199972413,False
cnn_bilstm,0,1201,20.852594299940392,False
cnn_bilstm,0,2026,20.762088799965568,False
cnn_bilstm,0,3407,20.716174600063823,False
cnn_bilstm,0,7319,20.74240679992363,False
cnn_bilstm,1,42,20.854623800027184,False
cnn_bilstm,1,1201,20.741243400028907,False
cnn_bilstm,1,2026,20.721633599954657,False
cnn_bilstm,1,3407,20.655861099949107,False
cnn_bilstm,1,7319,20.644463300006464,False
cnn_bilstm,2,42,21.04576000000816,False
cnn_bilstm,2,1201,20.75389160006307,False
cnn_bilstm,2,2026,20.778251699986868,False
cnn_bilstm,2,3407,20.743231399916112,False
cnn_bilstm,2,7319,20.88986879994627,False
