model_family,outer_fold,seed,runtime_seconds,cache_hit
logistic_regression,0,42,0.011846599983982742,True
logistic_regression,0,1201,0.003951000049710274,True
logistic_regression,0,2026,0.0035952000180259347,True
logistic_regression,0,3407,0.0035582000855356455,True
logistic_regression,0,7319,0.0035044000251218677,True
logistic_regression,1,42,0.003889800049364567,True
logistic_regression,1,1201,0.003879499970935285,True
logistic_regression,1,2026,0.0038568000309169292,True
logistic_regression,1,3407,0.00387750007212162,True
logistic_regression,1,7319,0.0038515999913215637,True
logistic_regression,2,42,0.004871600074693561,True
logistic_regression,2,1201,0.004440699936822057,True
logistic_regression,2,2026,0.005113300052471459,True
logistic_regression,2,3407,0.0049955000868067145,True
logistic_regression,2,7319,0.004070699913427234,True
decision_tree,0,42,0.005730500095523894,True
decision_tree,0,1201,0.005558699951507151,True
decision_tree,0,2026,0.005564699997194111,True
decision_tree,0,3407,0.005578699987381697,True
decision_tree,0,7319,0.005593899986706674,True
decision_tree,1,42,0.00565529998857528,True
decision_tree,1,1201,0.0054215999552980065,True
decision_tree,1,2026,0.00544769992120564,True
decision_tree,1,3407,0.005591999972239137,True
decision_tree,1,7319,0.005405700067058206,True
decision_tree,2,42,0.005930499988608062,True
decision_tree,2,1201,0.005599500029347837,True
decision_tree,2,2026,0.005691899918019772,True
decision_tree,2,3407,0.005640299990773201,True
decision_tree,2,7319,0.005503399996086955,True
random_forest,0,42,1.2766882999567315,True
random_forest,0,1201,1.2299074999755248,True
random_forest,0,2026,1.247810099972412,True
random_forest,0,3407,1.2851819000206888,True
random_forest,0,7319,1.256724699982442,True
random_forest,1,42,1.188304999959655,True
random_forest,1,1201,1.1917846999131143,True
random_forest,1,2026,1.184412800008431,True
random_forest,1,3407,1.182467499980703,True
random_forest,1,7319,1.1823251000605524,True
random_forest,2,42,1.2060470000142232,True
random_forest,2,1201,1.202404799987562,True
random_forest,2,2026,1.206787999952212,True
random_forest,2,3407,1.2061067000031471,True
random_forest,2,7319,1.2114271000027657,True
hist_gradient_boosting,0,42,0.012800500029698014,True
hist_gradient_boosting,0,1201,0.012861000024713576,True
hist_gradient_boosting,0,2026,0.012691800016909838,True
hist_gradient_boosting,0,3407,0.012477700016461313,True
hist_gradient_boosting,0,7319,0.012577999965287745,True
hist_gradient_boosting,1,42,0.014153800089843571,True
hist_gradient_boosting,1,1201,0.01248529995791614,True
hist_gradient_boosting,1,2026,0.012432500021532178,True
hist_gradient_boosting,1,3407,0.012397299986332655,True
hist_gradient_boosting,1,7319,0.012311099912039936,True
hist_gradient_boosting,2,42,0.012704099994152784,True
hist_gradient_boosting,2,1201,0.012425599968992174,True
hist_gradient_boosting,2,2026,0.012377499951981008,True
hist_gradient_boosting,2,3407,0.012362099951133132,True
hist_gradient_boosting,2,7319,0.01234780007507652,True
svm,0,42,535.5431957000401,False
svm,0,1201,511.5815000999719,False
svm,0,2026,510.76769370003603,False
svm,0,3407,510.5483258999884,False
svm,0,7319,511.38898219994735,False
svm,1,42,505.84523890004493,False
svm,1,1201,505.5947858999716,False
svm,1,2026,506.47559599997476,False
svm,1,3407,510.30121319997124,False
svm,1,7319,505.8591047999216,False
svm,2,42,504.5815263999393,False
svm,2,1201,505.57765919994563,False
