model_id,model_family,prediction_stage,threshold_policy,threshold,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_f1_min,seed_macro_f1_max,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage,rank_macro_f1
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,FIXED_0_5,0.5,0.6761195397553692,0.014659664316288616,0.6560368780237916,0.6987865508347354,0.6789227385591072,0.689298667318769,0.6901356967754456,0.689298667318769,0.6788428253358553,0.678569915742197,0.60616702309691,0.7779084196802414,0.6813278458350694,0.7741043704539813,0.6006889149572966,0.6763578048366412,0.6006889149572966,0.7646718732930854,0.7800628450362961,0.20297472347692191,0.5885189195240448,0.12373897864401144,1853.3333333333333,1232.0,541.0,1895.6666666666667,5522.0,2436.6666666666665,3085.3333333333335,1.0,8.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6668860912322998,0.6761195397553692,0.014659664316288616,0.6560368780237916,0.6987865508347354,0.7187592881818771,0.7025472625524495,0.7238177111492264,0.7025472625524495,0.7041545750027264,0.7118318136494758,0.7380288975220153,0.5636303859925126,0.6385843940592734,0.7096065247764374,0.8414641391123863,0.7697247559461795,0.8414641391123863,0.7646718732930854,0.7800628450362961,0.20297472347692191,0.5885189195240448,0.12373897864401144,2596.0,489.3333333333333,1063.6666666666667,1373.0,5522.0,2436.6666666666665,3085.3333333333335,1.0,2.0
bilstm_only_oulad,bilstm_only,E2_EARLY_35PCT,FIXED_0_5,0.5,0.7342512990085318,0.007950301135788053,0.7230048985693687,0.7446318778437737,0.7434381953798544,0.7426801030505171,0.7381876455076966,0.7426801030505171,0.7393814821396317,0.7446343347888259,0.6783850882487426,0.737975286761285,0.706912567722639,0.7979902027666506,0.7473849193397492,0.7718503965566246,0.7473849193397492,0.8101504417772687,0.8257700360555372,0.17149263516551394,0.5111724842431014,0.08990676999775854,2306.6666666666665,779.6666666666666,584.0,1645.0,5315.333333333333,2229.0,3086.3333333333335,1.0,7.0
bilstm_only_oulad,bilstm_only,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.5610084732373556,0.7342512990085318,0.007950301135788053,0.7230048985693687,0.7446318778437737,0.75434500019333,0.7428408723899921,0.7497684204936728,0.7428408723899921,0.744761378206093,0.7526491816482409,0.7252148413673131,0.670159838792222,0.6956174570528898,0.7743219996200322,0.8155219059877622,0.7939052993592964,0.8155219059877622,0.8101504417772687,0.8257700360555372,0.17149263516551394,0.5111724842431014,0.08990676999775854,2516.6666666666665,569.6666666666666,736.0,1493.0,5315.333333333333,2229.0,3086.3333333333335,1.0,5.0
bilstm_only_oulad,bilstm_only,L1_LATE_75PCT,FIXED_0_5,0.5,0.8458388310725405,0.003857565288065898,0.8398696745040425,0.8495935525865193,0.8666217630766514,0.8403767935724836,0.8692802039284647,0.8403767935724836,0.8511745482171692,0.8639048434495651,0.8763254680304859,0.7414420855400424,0.8032338639009744,0.8622349398264436,0.9393115016049247,0.8991152325333639,0.9393115016049247,0.903095362190168,0.9166224798325652,0.09961384425393376,0.3231951282329783,0.03788194552851162,2899.3333333333335,187.33333333333334,463.3333333333333,1328.3333333333333,4878.333333333333,1791.6666666666667,3086.6666666666665,1.0,4.0
bilstm_only_oulad,bilstm_only,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.28109879295031226,0.8458388310725405,0.003857565288065898,0.8398696745040425,0.8495935525865193,0.8001176941666527,0.8143100947502093,0.79344415670528,0.8143100947502093,0.7946493504397693,0.8035253522575783,0.678646599820785,0.867325367046567,0.7611954909282517,0.9082417135897751,0.7612948224538517,0.8281032099512867,0.7612948224538517,0.903095362190168,0.9166224798325652,0.09961384425393376,0.3231951282329783,0.03788194552851162,2349.6666666666665,737.0,238.0,1553.6666666666667,4878.333333333333,1791.6666666666667,3086.6666666666665,1.0,10.0
bilstm_only_oulad,bilstm_only,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,0.789312302204753,0.003193713595295256,0.7850996864708629,0.793797158609007,0.8053665303339796,0.7889921568235022,0.8001740922553134,0.7889921568235022,0.7933104713187188,0.8035171412881272,0.7815341139538571,0.7088681208702224,0.7434123480775078,0.81881407055677,0.8691161927767821,0.8432085945599298,0.8691161927767821,0.8590045685064015,0.8734208553638064,0.13605243700135186,0.4201055765348596,0.05179770949317416,2682.6666666666665,404.0,593.6666666666666,1445.6666666666667,5126.0,2039.3333333333333,3086.6666666666665,1.0,6.0
bilstm_only_oulad,bilstm_only,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4009676675001779,0.789312302204753,0.003193713595295256,0.7850996864708629,0.793797158609007,0.7814238916459738,0.7829821049359903,0.774279208021296,0.7829821049359903,0.7761680920764843,0.7831421783414569,0.7000348379569186,0.7900827177839821,0.7419957091886609,0.8485235780856736,0.7758814920879987,0.8103404749643076,0.7758814920879987,0.8590045685064015,0.8734208553638064,0.13605243700135186,0.4201055765348596,0.05179770949317416,2394.6666666666665,692.0,428.3333333333333,1611.0,5126.0,2039.3333333333333,3086.6666666666665,1.0,9.0
cnn_bilstm_oulad,cnn_bilstm,E1_EARLY_20PCT,FIXED_0_5,0.5,0.671162401920221,0.01883620549509835,0.6500846670819092,0.7000520557664512,0.6762802938375353,0.6874916147340424,0.6895486161561694,0.6874916147340424,0.6759282322266035,0.6753484037294393,0.6029683326681669,0.7834944126955282,0.6811373061525187,0.776128899644172,0.5914888167725566,0.6707191583006882,0.5914888167725566,0.7624229043612468,0.7792751490149273,0.2046585766972919,0.5928774023979392,0.12743811123340246,1825.0,1260.3333333333333,527.3333333333334,1909.3333333333333,5522.0,2436.6666666666665,3085.3333333333335,1.0,9.0
cnn_bilstm_oulad,cnn_bilstm,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6870838403701782,0.671162401920221,0.01883620549509835,0.6500846670819092,0.7000520557664512,0.7167702153037236,0.6991579095364234,0.724302313451077,0.6991579095364234,0.700322633804292,0.7085064331498875,0.7440049466639792,0.5481966848965272,0.6303882863472818,0.7045996802381748,0.8501191341763196,0.7702569812613023,0.8501191341763196,0.7624229043612468,0.7792751490149273,0.2046585766972919,0.5928774023979392,0.12743811123340246,2622.6666666666665,462.6666666666667,1101.3333333333333,1335.3333333333333,5522.0,2436.6666666666665,3085.3333333333335,1.0,5.0
