model_family,outer_fold,inner_fold,config_id,mean_stage_macro_f1_operational,worst_stage_macro_f1,runtime_seconds,outer_labels_used
logistic_regression,0.0,0,frozen_default,0.7678976498338139,0.702260038811763,1.610487100086175,False
logistic_regression,0.0,1,frozen_default,0.764842173947303,0.6999784585422744,1.5013836999423802,False
logistic_regression,1.0,0,frozen_default,0.7706170089847819,0.7004131270123986,1.436602900037542,False
logistic_regression,1.0,1,frozen_default,0.7733844616187894,0.7039010443117162,1.5378670999780295,False
logistic_regression,2.0,0,frozen_default,0.7586301265340064,0.688181907138314,1.1938210999360308,False
logistic_regression,2.0,1,frozen_default,0.7741534422667085,0.7089263248335328,1.3409081000136212,False
decision_tree,0.0,0,frozen_default,0.7201930364218811,0.6515018356378576,1.6891618999652565,False
decision_tree,0.0,1,frozen_default,0.7148040520502326,0.6384320292926327,1.676019800012,False
decision_tree,1.0,0,frozen_default,0.7231762748423767,0.6395274336710212,1.703655399964191,False
decision_tree,1.0,1,frozen_default,0.7207636431085264,0.6436737352294994,1.6810444000875575,False
decision_tree,2.0,0,frozen_default,0.7195238601526984,0.653101761630571,1.6996564000146464,False
decision_tree,2.0,1,frozen_default,0.7201768538775595,0.6577566274045038,1.7354660000419244,False
random_forest,0.0,0,frozen_default,0.7675269293338571,0.6976845066099028,2.2058596999850124,False
random_forest,0.0,1,frozen_default,0.7647326200183029,0.6966299806935956,2.221161400084384,False
random_forest,1.0,0,frozen_default,0.7667426015113383,0.6993472698793299,2.23869150003884,False
random_forest,1.0,1,frozen_default,0.769983549300074,0.6971201968026894,2.2031023000599816,False
random_forest,2.0,0,frozen_default,0.7658653620240804,0.700236100302847,2.218084500054829,False
random_forest,2.0,1,frozen_default,0.772193976998897,0.7034113903342961,2.1923378999345005,False
hist_gradient_boosting,0.0,0,frozen_default,0.768028594272296,0.7017530608408098,3.695617599994876,False
hist_gradient_boosting,0.0,1,frozen_default,0.7699287464439302,0.701206626283467,2.169265699922107,False
hist_gradient_boosting,1.0,0,frozen_default,0.7703651504024813,0.6994915187707915,2.1678944000741467,False
hist_gradient_boosting,1.0,1,frozen_default,0.7743418327328875,0.7054239343975928,2.215235099894926,False
hist_gradient_boosting,2.0,0,frozen_default,0.7648864375187082,0.7017191069955768,2.1499030999839306,False
hist_gradient_boosting,2.0,1,frozen_default,0.7713929199830731,0.7014754442786233,2.1806877999333665,False
xgboost,0.0,0,frozen_default,0.7710935535122672,0.7068773168055924,3.874244899954647,False
xgboost,0.0,1,frozen_default,0.7722734280293181,0.7082803811162303,3.625451799947768,False
xgboost,1.0,0,frozen_default,0.7737144628588819,0.7013011318171121,3.677165200002492,False
xgboost,1.0,1,frozen_default,0.7769223482706944,0.7133017931051499,3.739173399982974,False
xgboost,2.0,0,frozen_default,0.7686701644270908,0.7024932520766527,3.6418135000858456,False
xgboost,2.0,1,frozen_default,0.7767145743311203,0.7088013975595717,3.570605400018394,False
mlp,0.0,0,frozen_default,0.7711206724571498,0.7086391466503736,3.1482182000763714,False
mlp,0.0,1,frozen_default,0.7685916198120835,0.6975921507431238,2.76470049994532,False
mlp,1.0,0,frozen_default,0.7683909580331607,0.6946865649678717,2.697210800019093,False
mlp,1.0,1,frozen_default,0.7752899083363416,0.7097342865508491,2.41306200006511,False
mlp,2.0,0,frozen_default,0.7634782122781167,0.6950539595406596,1.8675375999882813,False
mlp,2.0,1,frozen_default,0.7683426406729622,0.69592010548741,3.5816098999930546,False
cnn_only,0.0,0,frozen_default,0.7652183276037285,0.6917663626919538,9.60826939996332,False
cnn_only,0.0,1,frozen_default,0.7593857819521477,0.6830092986149223,7.277154800016433,False
cnn_only,1.0,0,frozen_default,0.765177961979147,0.6977717141738808,7.352702599950135,False
cnn_only,1.0,1,frozen_default,0.7633197318808306,0.6916869589876977,7.313321399968117,False
cnn_only,2.0,0,frozen_default,0.7541896131653538,0.6797566608769605,7.445908900001086,False
cnn_only,2.0,1,frozen_default,0.7676679528765047,0.6959118745424613,7.321609399979934,False
bilstm_only,0.0,0,frozen_default,0.7645587764987266,0.6984714526050809,10.18818649998866,False
bilstm_only,0.0,1,frozen_default,0.7675141176723204,0.6949092737058167,10.204443000024185,False
bilstm_only,1.0,0,frozen_default,0.7606822048567285,0.67001149468323,10.142545099952258,False
bilstm_only,1.0,1,frozen_default,0.7706288622121271,0.6948814635292245,10.126079899957404,False
bilstm_only,2.0,0,frozen_default,0.754475410965163,0.6767109487658696,10.095555399893785,False
bilstm_only,2.0,1,frozen_default,0.7740265145424767,0.7083553578244455,10.214691799948923,False
cnn_bilstm,0.0,0,frozen_default,0.7681519267162689,0.7003809181619709,11.866675299941562,False
cnn_bilstm,0.0,1,frozen_default,0.7618968924314946,0.6759436565430387,11.592362199909983,False
cnn_bilstm,1.0,0,frozen_default,0.7624011951389311,0.6755476796994746,11.659487100085244,False
cnn_bilstm,1.0,1,frozen_default,0.7612955130677139,0.6770152311298798,11.6330640000524,False
cnn_bilstm,2.0,0,frozen_default,0.7562442867822283,0.6829201280960011,11.727666200022211,False
cnn_bilstm,2.0,1,frozen_default,0.7636361472967906,0.6819582014475912,11.534741200041026,False
svm,0.0,0,svm_runtime_protocol_amendment_v1,0.773821452133181,0.7039465100528399,0.0,False
svm,0.0,1,svm_runtime_protocol_amendment_v1,0.7716861389926812,0.7039911711550612,0.0,False
svm,1.0,0,svm_runtime_protocol_amendment_v1,0.7725427718702301,0.7075714067984027,0.0,False
svm,1.0,1,svm_runtime_protocol_amendment_v1,0.7759491126574729,0.7113587525586944,0.0,False
svm,2.0,0,svm_runtime_protocol_amendment_v1,0.7708090092323039,0.7048366157860702,0.0,False
svm,2.0,1,svm_runtime_protocol_amendment_v1,0.7807744993354295,0.7123515916967487,0.0,False
