model_id,model_family,early_mean_macro_f1,early_mean_risk_recall,early_mean_risk_f1,early_worst_risk_recall,early_mean_pr_auc,mean_stage_macro_f1,worst_stage_macro_f1,harmonic_stage_macro_f1,mean_stage_balanced_accuracy,mean_stage_risk_recall,mean_stage_risk_f1,mean_stage_pr_auc,mean_stage_brier,mean_stage_nll,mean_stage_ece,gain_E1_to_E2,gain_E2_to_M1,gain_M1_to_L1,gain_E1_to_L1,final_L1_macro_f1,final_L1_risk_precision,final_L1_risk_recall,final_L1_risk_f1,final_L1_pr_auc,final_L1_ece,seed_std_mean,seed_std_max
bilstm_only_oulad,bilstm_only,0.7244579766044097,0.6168951123923673,0.6671009255560816,0.5636303859925126,0.787411157535177,0.7549333489312683,0.7041545750027264,0.7533450300195448,0.7606700836571603,0.722799577403821,0.7093482628072689,0.8342305614417309,0.15253340997443035,0.460748027133746,0.07583135091586393,0.040606803203366626,0.03140671387039129,0.018481258363284958,0.09049477543704287,0.7946493504397693,0.678646599820785,0.867325367046567,0.7611954909282517,0.903095362190168,0.03788194552851162,0.007415311083859456,0.014659664316288616
cnn_bilstm_oulad,cnn_bilstm,0.7219141925892902,0.5887645084779354,0.6574379292781061,0.5481966848965272,0.7855247052364671,0.7588078977264936,0.700322633804292,0.7565961396646999,0.7619786585208644,0.6981655216502196,0.7075744634939601,0.8334092455330177,0.15398419308006367,0.46515762987869536,0.08372969885053703,0.04318311756999649,0.041686622576349364,0.02101845782611811,0.10588819797246396,0.806210831776756,0.703419955214018,0.8518503792411601,0.7700229850977663,0.9035159544083523,0.047839782629222206,0.009144496440327228,0.01883620549509835
cnn_only_oulad,cnn_only,0.7221516468601726,0.579583855635881,0.655318467183278,0.5391005452886922,0.7871085080676572,0.7588621159826019,0.6995437442219986,0.7566662297529251,0.7619235379714742,0.69371827404763,0.7064158879099913,0.8342489704438443,0.15301966649468446,0.46286263387425064,0.08039504907134372,0.04521580527634805,0.043445990624901176,0.014734089963566843,0.10339588586481607,0.8029396300868147,0.6957107882273785,0.8567683690064873,0.7675524761535888,0.9032929931727739,0.048040263902163684,0.010570567492046367,0.017372114681955587
decision_tree_oulad,decision_tree,0.6511906076546141,0.40677591443477445,0.5295145809106454,0.3318293600584372,0.6984496007355617,0.7154180513888363,0.6124856674948137,0.7079541300771881,0.718207464798921,0.5471691821091086,0.6244054513061411,0.7532415218860419,0.18549051248881143,0.8511227539008682,0.10923748096121594,0.07740988031960083,0.06480352104449505,0.04989285252829778,0.19210625389239366,0.8045919213872074,0.7475218402700418,0.7616181082665547,0.7542394993846179,0.8460764037374858,0.08116988615070121,0.00065999252345788,0.0010640941265117503
hist_gradient_boosting_oulad,hist_gradient_boosting,0.7271893161763325,0.5803262007756855,0.6600253293407401,0.5308557128707452,0.7957433171321653,0.7691449271293774,0.7020099223877277,0.7662056819446009,0.7689847100778535,0.680126384187559,0.7142919745336641,0.8397126266021423,0.14258413542420115,0.43608052400868136,0.01603710715160482,0.050358787577209574,0.04138832483251442,0.03468700656994117,0.12643411897966517,0.8284440413673929,0.7535082393688302,0.8285041559761709,0.7891688274227987,0.9064765033905662,0.014054542818544574,0.0021423345445604775,0.0026961193088679545
logistic_regression_oulad,logistic_regression,0.7214071778022341,0.5817809770433314,0.6549623922148702,0.5323282192779372,0.7807812375593042,0.7641797879615204,0.698417152891902,0.7611915497350037,0.7641481300195176,0.6789966599835611,0.7094116416329431,0.8283997730075305,0.1512112472160003,0.45923736406199644,0.05835577117510283,0.04598004982066417,0.04421964615699481,0.03667109850249184,0.12687079448015082,0.8252879473720528,0.7532029960256907,0.8184901305602743,0.7844328702479929,0.9001748290973738,0.03662564736483129,9.25185853854297e-18,3.700743415417188e-17
mlp_oulad,mlp,0.7244266531975441,0.5629521749040141,0.6526028613025966,0.5135626040642387,0.793673260245908,0.7672362658162987,0.69932219011707,0.7642028288555459,0.767689081483783,0.6746673130306543,0.7104854414200596,0.839307812032466,0.14269733445867464,0.4369506209285325,0.017776341516533095,0.050208926160948075,0.043474523417898925,0.034080477478272586,0.1277639270571196,0.8270861171741896,0.7441262293648382,0.840506456449739,0.7893781464907913,0.9079161280226126,0.015474697979596762,0.0026861504656628074,0.0035413309092536794
random_forest_oulad,random_forest,0.7195724605592055,0.5733443080116127,0.6509655186115078,0.526772581527359,0.7843220649711315,0.7648315846396179,0.6969408444639952,0.7615278863931791,0.7645858667627383,0.6752870707402612,0.7091144323782465,0.8321268142606885,0.14609140672406198,0.44597443318455965,0.029152202856208075,0.04526323219042061,0.047539348130925085,0.04069456786937864,0.13349714819072434,0.8304379926547195,0.7611872987712193,0.8219816522471879,0.7903883865372897,0.9037730581894694,0.027564596633604794,0.0016304675776212488,0.001977932627145775
svm_oulad,svm,0.725691714826538,0.5906751689576305,0.661655144051081,0.5489731229286207,0.7784497245761861,0.7690108706657051,0.7032434362214289,0.7659618843241918,0.7689174744022644,0.6878921894779322,0.716243910271642,0.8265632106950733,0.14724741719651543,0.4560997331620819,0.0371269747335733,0.044896557210218346,0.04409531404264655,0.0401894380611566,0.1291813093140215,0.8324247455354504,0.76116603316361,0.8284811907628772,0.7933564754112806,0.8970311615026357,0.044136318738440816,9.25185853854297e-18,3.700743415417188e-17
xgboost_oulad,xgboost,0.7296962885659763,0.5994600240456089,0.6674501103115325,0.5488876663744602,0.7970953144659938,0.7706322001412754,0.7069650994480221,0.7678338118723038,0.7707826916275545,0.6926281899571282,0.7187860281752899,0.840996347094353,0.141909666736028,0.4339766913174542,0.016712650630345383,0.045462378235908485,0.038682682534073365,0.040915902997140985,0.12506096376712283,0.8320260632151449,0.7585379161952845,0.8316128743660548,0.7933805019773614,0.9076618881047661,0.015594749732832794,0.0015372333947975647,0.00233975739889282
