model_id,model_family,prediction_stage,code_module,code_presentation,eligible,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,AAA,2013J,True,0.834319526627219,0.5986810551558753,0.7184182590233545,0.5986810551558753,0.6193693693693694,0.8038541500079962,0.5833333333333334,0.23333333333333334,0.3333333333333333,0.8535031847133758,0.9640287769784173,0.9054054054054054,0.9640287769784173,0.42974249956643873,0.7758992805755397,0.1430353497155628,0.45088684991211314,0.1336133405301698,268,10,46,14,338,60,278,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,BBB,2013B,True,0.7294915254237289,0.7137236774334594,0.7519999388331104,0.7137236774334594,0.7125586274903405,0.7186601465780699,0.8085585585585585,0.5334323922734027,0.6427931960608774,0.6954413191076625,0.8940149625935162,0.7823240589198036,0.8940149625935162,0.7990293301820467,0.7974806668321767,0.18583435604779633,0.548722745779477,0.09723898599410465,717,85,314,359,1475,673,802,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,BBB,2013J,True,0.7536973833902162,0.7033890703297331,0.7774607306545633,0.7033890703297331,0.7111075436660963,0.7353364302647066,0.8207070707070707,0.47307132459970885,0.6001846722068329,0.7342143906020558,0.9337068160597572,0.8220304151253597,0.9337068160597572,0.7464542418806868,0.7879996248863447,0.18142731846329427,0.5420686083338461,0.08836937153476702,1000,71,362,325,1758,687,1071,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,BBB,2014B,True,0.7469879518072289,0.7209788372426313,0.7525692670763743,0.7209788372426313,0.7260752859035726,0.7386593610258309,0.7670157068062827,0.5645472061657033,0.6503884572697003,0.7381228273464658,0.8774104683195593,0.801762114537445,0.8774104683195593,0.7767141369233979,0.7819153171228841,0.20309300779354586,0.5853495145949131,0.15097567603530654,637,89,226,293,1245,519,726,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,CCC,2014B,True,0.7159810126582279,0.7158104251164188,0.7184116575407373,0.7158104251164188,0.7150820485290286,0.7151326943954623,0.7406749555950266,0.6619047619047619,0.6990779547359598,0.6961483594864479,0.7697160883280757,0.7310861423220973,0.7697160883280757,0.8001446647342585,0.776578538881378,0.20885204765870483,0.5980997160357109,0.12777173768882227,488,146,213,417,1264,630,634,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,DDD,2013B,True,0.6776007497656982,0.674755443245845,0.6751161471078484,0.674755443245845,0.6749140893470791,0.6774345645851652,0.7008547008547008,0.7081174438687392,0.7044673539518901,0.6493775933609959,0.6413934426229508,0.6453608247422681,0.6413934426229508,0.8061678391224607,0.7557405362552734,0.22189170152541293,0.6261076416891225,0.147088075594692,313,175,169,410,1067,579,488,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,DDD,2013J,True,0.7152366863905325,0.7150799888779664,0.7150945874934314,0.7150799888779664,0.7150868965260547,0.7152318544594203,0.7090909090909091,0.708018154311649,0.708554125662377,0.7210982658959537,0.7221418234442837,0.7216196673897325,0.7221418234442837,0.8047620364269468,0.7906693143528969,0.2181316360109777,0.6207237790898693,0.1686343580175786,499,192,193,468,1352,661,691,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,DDD,2014B,True,0.6896551724137931,0.6860369983182583,0.6884655231955796,0.6860369983182583,0.6865279017458674,0.6886499782705312,0.6974789915966386,0.7394209354120267,0.7178378378378378,0.6794520547945205,0.6326530612244898,0.655217965653897,0.6326530612244898,0.805925762710007,0.7702945320667243,0.22305865403638725,0.6347998546128795,0.15932211536076915,248,144,117,332,841,449,392,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,EEE,2013J,True,0.7526178010471204,0.6741004682649909,0.7516233766233766,0.6741004682649909,0.6854713812414641,0.7307429050764391,0.75,0.4220532319391635,0.5401459854014599,0.7532467532467533,0.9261477045908184,0.8307967770814683,0.9261477045908184,0.715741494045014,0.7983500679249864,0.17589018385847485,0.5290874355014356,0.10717415942454522,464,37,152,111,764,263,501,1.0
bilstm_only_oulad,bilstm_only,E1_EARLY_20PCT,EEE,2014B,True,0.7377049180327869,0.7248116720798545,0.7413601095390233,0.7248116720798545,0.7271456527816607,0.7330852394854191,0.7542857142857143,0.6082949308755761,0.673469387755102,0.7284345047923323,0.8413284132841329,0.7808219178082192,0.8413284132841329,0.7751127066193961,0.7883415239682351,0.20446250206853425,0.5900843413435957,0.14657116862410896,228,43,85,132,488,217,271,1.0
