experiment,folds,training_protocol,configuration,seed,macro_f1_mean,macro_f1_sd,interpretation
A_historical_artifact,historical_equals_v2,historical_internal_early_stop_no_full_refit,per_outer_historical_config,42,0.878089,0.044829,original auditable artifact
B_historical_config_v2_folds,historical_equals_v2,historical_internal_early_stop_no_full_refit,per_outer_historical_config,42,0.878089,0.044829,identical to A because manifests are identical
C_historical_config_v2_clean,historical_equals_v2,V2_internal_epoch_selection_then_full_outer_train_refit,per_outer_historical_config,42,0.861522,0.033341,new diagnostic record-level artifact
D_historical_config_v2_folds_v2_clean,historical_equals_v2,V2_internal_epoch_selection_then_full_outer_train_refit,per_outer_historical_config,42,0.861522,0.033341,identical to C because manifests are identical
E_v2_tuned_v2_clean,V2,V2_internal_epoch_selection_then_full_outer_train_refit,V2_per_outer_tuned_config,42,0.825383,0.044581,valid V2 seed-42 diagnostic slice
