dataset,scenario,candidate_id,variant,model_family,is_ensemble,ensemble_seeds,cnn_kernel_size,cnn_channels,lstm_hidden_dim,loss_name,use_class_weight,imbalance_strategy,dropout,context_hidden_dim,base_candidate_id,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_recall_low,oof_f1_low,oof_rmse,oof_r2,oof_mean_confidence,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,recall_low_mean,recall_low_std,f1_low_mean,f1_low_std,rmse_mean,rmse_std,r2_mean,r2_std,selected_for_locked
student-mat,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,argmax,,0.0,0.8860759493670886,0.8984642214221422,0.8849727858348548,0.891332327899684,0.8557692307692307,0.8682926829268293,2.891087351836566,0.5993932112812208,0.8268600480654572,0.8860759493670886,0.8984642214221422,0.8849727858348548,0.891332327899684,0.8557692307692307,0.8682926829268293,2.891087351836566,0.5993932112812208,0.8268600480654572,0.886061507936508,0.018583390954698176,0.9020059414873914,0.01568304857198956,0.8845985197598101,0.022709836622622333,0.8904038570797302,0.01797982158304261,0.8561904761904762,0.07913363077272759,0.8676357560568085,0.042739439156967964,2.8793499866547845,0.26727219863019336,0.58729651889035,0.09228858838902462,False
student-mat,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,low_f1_tuned,0.49999999999999994,0.863633644293509,0.8829113924050633,0.8962695275738753,0.8817676576297266,0.8885462542932611,0.8461538461538461,0.8627450980392157,2.891087351836566,0.5993932112812208,0.8268600480654572,0.8829113924050633,0.8962695275738753,0.8817676576297266,0.8885462542932611,0.8461538461538461,0.8627450980392157,2.891087351836566,0.5993932112812208,0.8268600480654572,0.8828869047619048,0.02164449742330563,0.9002264519137843,0.017054838875267108,0.8814239165852069,0.025616182773363007,0.8874431444568023,0.02096932253119673,0.8466666666666667,0.09176525310815926,0.8613768655873919,0.047988953066865715,2.8793499866547845,0.26727219863019336,0.58729651889035,0.09228858838902462,False
student-mat,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,low_recall_priority,0.075,0.9587786259541985,0.8006329113924051,0.848476655457115,0.8421406180026869,0.8230369751004831,1.0,0.7938931297709924,3.430711075128982,0.43588952240707257,0.8268600480654572,0.8006329113924051,0.848476655457115,0.8421406180026869,0.8230369751004831,1.0,0.7938931297709924,3.430711075128982,0.43588952240707257,0.8268600480654572,0.8003968253968253,0.046202474850247255,0.8506063503620711,0.039862532703970936,0.8419257086999024,0.034242330450014645,0.8217737180011886,0.043531132525708796,1.0,0.0,0.7956351208293494,0.04373493253812563,3.4228540672018264,0.2506540945528438,0.40092329008039423,0.1847409523963375,False
student-mat,late,old_seq_default,old_seq_default,sequence,False,,3,32,64,ce,False,none,0.15,64,,balanced_low_macro,0.32499999999999996,0.8870500999156898,0.8734177215189873,0.8845285617448003,0.8835991594612285,0.8820684647503172,0.9230769230769231,0.8609865470852018,3.0038214058053923,0.5675418433187245,0.8268600480654572,0.8734177215189873,0.8845285617448003,0.8835991594612285,0.8820684647503172,0.9230769230769231,0.8609865470852018,3.0038214058053923,0.5675418433187245,0.8268600480654572,0.8733134920634921,0.02287260417328832,0.8861744803773789,0.02483257593849436,0.8830931434157241,0.02345403848580144,0.8811802727101584,0.02396558096524182,0.9228571428571429,0.04897127669402835,0.8610904694766457,0.03124992480383755,2.9883553102787084,0.3193152082620852,0.551256564437002,0.1150543256720839,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,argmax,,0.0,0.8765822784810127,0.887692328089679,0.8790591592315731,0.8826539041083455,0.8942307692307693,0.8651162790697674,2.9486641472308364,0.5832779358240054,0.8288765314824974,0.8765822784810127,0.887692328089679,0.8790591592315731,0.8826539041083455,0.8942307692307693,0.8651162790697674,2.9486641472308364,0.5832779358240054,0.8288765314824974,0.8765873015873016,0.025359595728048353,0.8901546990479137,0.021767825907282642,0.8783331005911652,0.026921989991199748,0.8815693164712677,0.02466860851411763,0.8942857142857144,0.069881662201311,0.8651089808536616,0.04537171584119059,2.93810943741853,0.255961727557835,0.5713116424817027,0.08708121365212391,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_f1_tuned,0.525,0.8700441085572339,0.879746835443038,0.8904926457558036,0.8812236613960752,0.8852300525610036,0.8942307692307693,0.8691588785046729,2.933600630322377,0.5875247848856715,0.8288765314824974,0.879746835443038,0.8904926457558036,0.8812236613960752,0.8852300525610036,0.8942307692307693,0.8691588785046729,2.933600630322377,0.5875247848856715,0.8288765314824974,0.8797619047619047,0.029365079365079354,0.8929053583502972,0.025465985269740515,0.8804836382255739,0.030630534199190037,0.8841652304866139,0.028811043476100556,0.8942857142857144,0.069881662201311,0.8692901655226513,0.0454082167746845,2.9233293032969914,0.2515161382863148,0.5769977463401303,0.07646567698725965,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_recall_priority,0.1,0.9625,0.8164556962025317,0.8550062023746235,0.8493805045529182,0.8345057720057719,1.0,0.8125,3.3297185040864483,0.4686130111590183,0.8288765314824974,0.8164556962025317,0.8550062023746235,0.8493805045529182,0.8345057720057719,1.0,0.8125,3.3297185040864483,0.4686130111590183,0.8288765314824974,0.8162698412698413,0.04265826873135458,0.8566464646464647,0.03919469947443319,0.8489116976213751,0.03450929890194489,0.8333364609091373,0.04106481239590802,1.0,0.0,0.8140619769920546,0.04156904722639739,3.3239414500334354,0.21272057330022656,0.43703806245308074,0.1601270718100996,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,balanced_low_macro,0.39999999999999997,0.8894734315130735,0.8765822784810127,0.887169663031732,0.8821810373534511,0.8830192612161921,0.9230769230769231,0.8687782805429864,2.956167121566863,0.5811545112931722,0.8288765314824974,0.8765822784810127,0.887169663031732,0.8821810373534511,0.8830192612161921,0.9230769230769231,0.8687782805429864,2.956167121566863,0.5811545112931722,0.8288765314824974,0.8764880952380952,0.02573635272038264,0.8882644809426419,0.029110404363733015,0.8814052972117489,0.028235039819565714,0.8818695675467778,0.02917077416041141,0.9228571428571429,0.04897127669402835,0.8687486780246421,0.024846190610367847,2.9448424851957666,0.2742476347460421,0.56477276415101,0.10396222027881839,False
student-mat,late,seq_kernel1_small,seq_kernel1_small,sequence,False,,1,32,64,ce,True,none,0.15,64,,argmax,,0.0,0.8860759493670886,0.8884976525821596,0.8968804184321426,0.891329887881612,0.9326923076923077,0.8818181818181818,2.933600630322377,0.5875247848856715,0.8231267592386354,0.8860759493670886,0.8884976525821596,0.8968804184321426,0.891329887881612,0.9326923076923077,0.8818181818181818,2.933600630322377,0.5875247848856715,0.8231267592386354,0.8859126984126984,0.029442733018332626,0.8903518962807061,0.024263360966827626,0.8961960620025137,0.03092789611982679,0.8904623996676833,0.027781322361779406,0.9323809523809524,0.03884967248451645,0.8825627466001104,0.039060299332260226,2.9195099297438762,0.3023321459522819,0.5711593303898204,0.11070734870357685,False
student-mat,late,seq_kernel1_small,seq_kernel1_small,sequence,False,,1,32,64,ce,True,none,0.15,64,,low_f1_tuned,0.49999999999999994,0.8867386797699346,0.8892405063291139,0.8911184268005857,0.8990449205966448,0.8939309114872018,0.9326923076923077,0.8858447488584474,2.918459364680471,0.5917716339473378,0.8231267592386354,0.8892405063291139,0.8911184268005857,0.8990449205966448,0.8939309114872018,0.9326923076923077,0.8858447488584474,2.918459364680471,0.5917716339473378,0.8231267592386354,0.8890873015873015,0.03043161836513945,0.8931135024905881,0.024838685423439682,0.8983465996369222,0.03235572246011552,0.8930990657437871,0.029107834761590123,0.9323809523809524,0.03884967248451645,0.8867439312690999,0.03718959129512435,2.904905029850899,0.2959405937131057,0.576845434248248,0.10179852183643182,True
student-mat,late,seq_kernel1_small,seq_kernel1_small,sequence,False,,1,32,64,ce,True,none,0.15,64,,low_recall_priority,0.27499999999999997,0.9571076923076924,0.8291139240506329,0.855233708977214,0.8641631357148598,0.8449285282170944,0.9903846153846154,0.824,3.2283847903294274,0.5004643791215146,0.8231267592386354,0.8291139240506329,0.855233708977214,0.8641631357148598,0.8449285282170944,0.9903846153846154,0.824,3.2283847903294274,0.5004643791215146,0.8231267592386354,0.8290178571428571,0.029544343697568084,0.8564997819336899,0.02902228868182752,0.8638048689661593,0.02954500249563475,0.84395888001152,0.03087620821618652,0.9904761904761905,0.019047619047619067,0.8245569926083641,0.021158149237163446,3.2257789440546736,0.14995867726532547,0.47530306951052187,0.1221839999904724,False
student-mat,late,seq_kernel1_small,seq_kernel1_small,sequence,False,,1,32,64,ce,True,none,0.15,64,,balanced_low_macro,0.49999999999999994,0.9015997198812896,0.8892405063291139,0.8911184268005857,0.8990449205966448,0.8939309114872018,0.9326923076923077,0.8858447488584474,2.918459364680471,0.5917716339473378,0.8231267592386354,0.8892405063291139,0.8911184268005857,0.8990449205966448,0.8939309114872018,0.9326923076923077,0.8858447488584474,2.918459364680471,0.5917716339473378,0.8231267592386354,0.8890873015873015,0.03043161836513945,0.8931135024905881,0.024838685423439682,0.8983465996369222,0.03235572246011552,0.8930990657437871,0.029107834761590123,0.9323809523809524,0.03884967248451645,0.8867439312690999,0.03718959129512435,2.904905029850899,0.2959405937131057,0.576845434248248,0.10179852183643182,False
student-mat,late,seq_kernel2_small,seq_kernel2_small,sequence,False,,2,32,64,ce,True,none,0.15,64,,argmax,,0.0,0.8670886075949367,0.8631401278460102,0.8864354036767831,0.8721708926023881,0.9230769230769231,0.8687782805429864,2.97683567448917,0.5752771755381878,0.82265955945359,0.8670886075949367,0.8631401278460102,0.8864354036767831,0.8721708926023881,0.9230769230769231,0.8687782805429864,2.97683567448917,0.5752771755381878,0.82265955945359,0.8669642857142857,0.026233280317579644,0.8672032535365869,0.03439722448448422,0.8859637853186241,0.019307312453618473,0.87196581511511,0.026808515486381586,0.9228571428571429,0.04897127669402835,0.8687486780246421,0.024846190610367847,2.9647707033987873,0.2836539741690757,0.5566010986571543,0.11767256011363937,False
student-mat,late,seq_kernel2_small,seq_kernel2_small,sequence,False,,2,32,64,ce,True,none,0.15,64,,low_f1_tuned,0.49999999999999994,0.8696504514355888,0.8670886075949367,0.8631401278460102,0.8864354036767831,0.8721708926023881,0.9230769230769231,0.8687782805429864,2.97683567448917,0.5752771755381878,0.82265955945359,0.8670886075949367,0.8631401278460102,0.8864354036767831,0.8721708926023881,0.9230769230769231,0.8687782805429864,2.97683567448917,0.5752771755381878,0.82265955945359,0.8669642857142857,0.026233280317579644,0.8672032535365869,0.03439722448448422,0.8859637853186241,0.019307312453618473,0.87196581511511,0.026808515486381586,0.9228571428571429,0.04897127669402835,0.8687486780246421,0.024846190610367847,2.9647707033987873,0.2836539741690757,0.5566010986571543,0.11767256011363937,False
student-mat,late,seq_kernel2_small,seq_kernel2_small,sequence,False,,2,32,64,ce,True,none,0.15,64,,low_recall_priority,0.15,0.9618677042801557,0.8037974683544303,0.8322938064114535,0.8514703687117481,0.8192686722276253,1.0,0.8093385214007782,3.3612883681217958,0.45848882634236765,0.82265955945359,0.8037974683544303,0.8322938064114535,0.8514703687117481,0.8192686722276253,1.0,0.8093385214007782,3.3612883681217958,0.45848882634236765,0.82265955945359,0.8035714285714285,0.03908276905474646,0.8361605503654184,0.03432690943816591,0.851247963506028,0.025437839679237493,0.8190778622181618,0.0365780536872927,1.0,0.0,0.8107078803549392,0.03772189137273087,3.3556119600926144,0.21356483967104628,0.4296978290797638,0.14950873134844603,False
student-mat,late,seq_kernel2_small,seq_kernel2_small,sequence,False,,2,32,64,ce,True,none,0.15,64,,balanced_low_macro,0.49999999999999994,0.8840492472061715,0.8670886075949367,0.8631401278460102,0.8864354036767831,0.8721708926023881,0.9230769230769231,0.8687782805429864,2.97683567448917,0.5752771755381878,0.82265955945359,0.8670886075949367,0.8631401278460102,0.8864354036767831,0.8721708926023881,0.9230769230769231,0.8687782805429864,2.97683567448917,0.5752771755381878,0.82265955945359,0.8669642857142857,0.026233280317579644,0.8672032535365869,0.03439722448448422,0.8859637853186241,0.019307312453618473,0.87196581511511,0.026808515486381586,0.9228571428571429,0.04897127669402835,0.8687486780246421,0.024846190610367847,2.9647707033987873,0.2836539741690757,0.5566010986571543,0.11767256011363937,False
student-mat,late,seq_focal_light,seq_focal_light,sequence,False,,3,32,64,focal_loss,False,none,0.15,64,,argmax,,0.0,0.8924050632911392,0.9004368004368004,0.8955455464076154,0.8974109357567618,0.9134615384615384,0.8837209302325582,2.860274617248482,0.6078869094045531,0.6833741801637637,0.8924050632911392,0.9004368004368004,0.8955455464076154,0.8974109357567618,0.9134615384615384,0.8837209302325582,2.860274617248482,0.6078869094045531,0.6833741801637637,0.8923115079365079,0.03555423241054216,0.905251063006481,0.042992822770250114,0.8943955685891171,0.025990379888875238,0.8960917590736821,0.0328284995659965,0.9133333333333334,0.03593897574116801,0.885187601420087,0.039012185173702765,2.84276552586397,0.32841783158379106,0.5960488110955217,0.09864364145278061,False
student-mat,late,seq_focal_light,seq_focal_light,sequence,False,,3,32,64,focal_loss,False,none,0.15,64,,low_f1_tuned,0.475,0.877604684204146,0.8860759493670886,0.8947822477304311,0.892257168119237,0.8923554370226694,0.9230769230769231,0.8767123287671232,2.9215751343791903,0.5908995131578885,0.6833741801637637,0.8860759493670886,0.8947822477304311,0.892257168119237,0.8923554370226694,0.9230769230769231,0.8767123287671232,2.9215751343791903,0.5908995131578885,0.6833741801637637,0.8860119047619047,0.036907428645756676,0.8987216729861658,0.04137193878559497,0.8911185588604944,0.026005222593942334,0.8909275703370259,0.033261273823362136,0.9228571428571429,0.04897127669402835,0.8776841586597686,0.042378765936809254,2.908983361055689,0.28487993771178294,0.5774992831020835,0.09326650806381831,False
