dataset,scenario,candidate_id,variant,model_family,is_ensemble,ensemble_seeds,cnn_kernel_size,cnn_channels,lstm_hidden_dim,loss_name,use_class_weight,imbalance_strategy,dropout,context_hidden_dim,base_candidate_id,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_recall_low,oof_f1_low,oof_rmse,oof_r2,oof_mean_confidence,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,recall_low_mean,recall_low_std,f1_low_mean,f1_low_std,rmse_mean,rmse_std,r2_mean,r2_std,selected_for_locked
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,argmax,,0.0,0.8765822784810127,0.887692328089679,0.8790591592315731,0.8826539041083455,0.8942307692307693,0.8651162790697674,2.9486641472308364,0.5832779358240054,0.8288765314824974,0.8765822784810127,0.887692328089679,0.8790591592315731,0.8826539041083455,0.8942307692307693,0.8651162790697674,2.9486641472308364,0.5832779358240054,0.8288765314824974,0.8765873015873016,0.025359595728048353,0.8901546990479137,0.021767825907282642,0.8783331005911652,0.026921989991199748,0.8815693164712677,0.02466860851411763,0.8942857142857144,0.069881662201311,0.8651089808536616,0.04537171584119059,2.93810943741853,0.255961727557835,0.5713116424817027,0.08708121365212391,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_f1_tuned,0.525,0.8700441085572339,0.879746835443038,0.8904926457558036,0.8812236613960752,0.8852300525610036,0.8942307692307693,0.8691588785046729,2.933600630322377,0.5875247848856715,0.8288765314824974,0.879746835443038,0.8904926457558036,0.8812236613960752,0.8852300525610036,0.8942307692307693,0.8691588785046729,2.933600630322377,0.5875247848856715,0.8288765314824974,0.8797619047619047,0.029365079365079354,0.8929053583502972,0.025465985269740515,0.8804836382255739,0.030630534199190037,0.8841652304866139,0.028811043476100556,0.8942857142857144,0.069881662201311,0.8692901655226513,0.0454082167746845,2.9233293032969914,0.2515161382863148,0.5769977463401303,0.07646567698725965,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_recall_priority,0.1,0.9625,0.8164556962025317,0.8550062023746235,0.8493805045529182,0.8345057720057719,1.0,0.8125,3.3297185040864483,0.4686130111590183,0.8288765314824974,0.8164556962025317,0.8550062023746235,0.8493805045529182,0.8345057720057719,1.0,0.8125,3.3297185040864483,0.4686130111590183,0.8288765314824974,0.8162698412698413,0.04265826873135458,0.8566464646464647,0.03919469947443319,0.8489116976213751,0.03450929890194489,0.8333364609091373,0.04106481239590802,1.0,0.0,0.8140619769920546,0.04156904722639739,3.3239414500334354,0.21272057330022656,0.43703806245308074,0.1601270718100996,False
student-mat,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,balanced_low_macro,0.39999999999999997,0.8894734315130735,0.8765822784810127,0.887169663031732,0.8821810373534511,0.8830192612161921,0.9230769230769231,0.8687782805429864,2.956167121566863,0.5811545112931722,0.8288765314824974,0.8765822784810127,0.887169663031732,0.8821810373534511,0.8830192612161921,0.9230769230769231,0.8687782805429864,2.956167121566863,0.5811545112931722,0.8288765314824974,0.8764880952380952,0.02573635272038264,0.8882644809426419,0.029110404363733015,0.8814052972117489,0.028235039819565714,0.8818695675467778,0.02917077416041141,0.9228571428571429,0.04897127669402835,0.8687486780246421,0.024846190610367847,2.9448424851957666,0.2742476347460421,0.56477276415101,0.10396222027881839,False
student-por,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,argmax,,0.0,0.9075144508670521,0.88832246235234,0.8744784241041726,0.881175657510969,0.7625,0.782051282051282,2.279167613325951,0.48422626419901627,0.8561943898512219,0.9075144508670521,0.88832246235234,0.8744784241041726,0.881175657510969,0.7625,0.782051282051282,2.279167613325951,0.48422626419901627,0.8561943898512219,0.9074309185959673,0.022920502085284372,0.8887083669744108,0.037651838716336816,0.8744505287415736,0.034372294476628186,0.8806082502810181,0.034056699402119195,0.7625,0.10752906583803283,0.7808333333333334,0.10088497300281038,2.271168561583381,0.19129450834530973,0.4837574187449739,0.03622269227028158,False
student-por,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_f1_tuned,0.39999999999999997,0.8107076315841607,0.9132947976878613,0.8902874098803447,0.8933157494534741,0.8916806639153286,0.825,0.8098159509202454,2.308566604797472,0.4708345128985456,0.8561943898512219,0.9132947976878613,0.8902874098803447,0.8933157494534741,0.8916806639153286,0.825,0.8098159509202454,2.308566604797472,0.4708345128985456,0.8561943898512219,0.9131814787154593,0.029719018084517636,0.8904653182906795,0.042862070913078205,0.8932787361891841,0.048933386095343534,0.8905466969752304,0.04257059776914561,0.825,0.14469796128487783,0.806837218758471,0.12025762536235901,2.3011142825249413,0.18657825600960473,0.4694987557633789,0.04196260751676939,True
student-por,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_recall_priority,0.05,0.9009302325581395,0.7784200385356455,0.7807115646520417,0.8614794221081645,0.7793475903941021,0.975,0.6046511627906976,3.2830504166911063,-0.07019223964046861,0.8561943898512219,0.7784200385356455,0.7807115646520417,0.8614794221081645,0.7793475903941021,0.975,0.6046511627906976,3.2830504166911063,-0.07019223964046861,0.8561943898512219,0.7784914115011202,0.032904147936876425,0.7833438176108861,0.00765883567975775,0.8615510111778768,0.020999223245267252,0.7798757187142641,0.02380345744626977,0.975,0.049999999999999996,0.6075631648045441,0.03885894506305033,3.274775917949099,0.22533827891983196,-0.09649949776144325,0.23667154509021626,False
student-por,late,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,balanced_low_macro,0.39999999999999997,0.8545443196877256,0.9132947976878613,0.8902874098803447,0.8933157494534741,0.8916806639153286,0.825,0.8098159509202454,2.308566604797472,0.4708345128985456,0.8561943898512219,0.9132947976878613,0.8902874098803447,0.8933157494534741,0.8916806639153286,0.825,0.8098159509202454,2.308566604797472,0.4708345128985456,0.8561943898512219,0.9131814787154593,0.029719018084517636,0.8904653182906795,0.042862070913078205,0.8932787361891841,0.048933386095343534,0.8905466969752304,0.04257059776914561,0.825,0.14469796128487783,0.806837218758471,0.12025762536235901,2.3011142825249413,0.18657825600960473,0.4694987557633789,0.04196260751676939,False
student-por,midterm,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,argmax,,0.0,0.8362235067437379,0.8301488465872028,0.7661094477711243,0.7912477099760116,0.7125,0.7261146496815286,2.510670868133154,0.3741269374358611,0.7397175139975456,0.8362235067437379,0.8301488465872028,0.7661094477711243,0.7912477099760116,0.7125,0.7261146496815286,2.510670868133154,0.3741269374358611,0.7397175139975456,0.8361837191934278,0.028120713429922044,0.8337759695198518,0.04161319148855829,0.7660391225689732,0.03473014819760747,0.7858827423109058,0.03662289269682121,0.7125,0.1159202311936963,0.7221481582824251,0.07839663290807866,2.5097452561671147,0.06529987761065914,0.3629320797579318,0.07502701840170813,False
student-por,midterm,old_seq_default_ensemble,old_seq_default_ensemble,sequence,True,42|123|155|156|2025,3,32,64,ce,False,none,0.15,64,old_seq_default,low_f1_tuned,0.39999999999999997,0.7269058973915046,0.8362235067437379,0.8301488465872028,0.7661094477711243,0.7912477099760116,0.7125,0.7261146496815286,2.510670868133154,0.3741269374358611,0.7397175139975456,0.8362235067437379,0.8301488465872028,0.7661094477711243,0.7912477099760116,0.7125,0.7261146496815286,2.510670868133154,0.3741269374358611,0.7397175139975456,0.8361837191934278,0.028120713429922044,0.8337759695198518,0.04161319148855829,0.7660391225689732,0.03473014819760747,0.7858827423109058,0.03662289269682121,0.7125,0.1159202311936963,0.7221481582824251,0.07839663290807866,2.5097452561671147,0.06529987761065914,0.3629320797579318,0.07502701840170813,False
