dataset,scenario,deep_variant,deep_candidate_id,deep_prediction_mode,deep_macro_f1,deep_recall_low,deep_f1_low,baseline_model,baseline_macro_f1,baseline_recall_low,baseline_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-mat,late,seq_kernel1_small,seq_kernel1_small,low_f1_tuned,0.920669176348413,0.9615384615384616,0.8928571428571429,xgboost,0.9468659194686592,0.9615384615384616,0.9090909090909092,-0.026196743120246113,0.0,-0.016233766233766267
student-por,late,old_seq_default_ensemble,old_seq_default_ensemble,low_f1_tuned,0.8778800941534298,0.85,0.8095238095238095,xgboost,0.8411144411144411,0.75,0.7692307692307693,0.03676565303898871,0.09999999999999998,0.04029304029304026
student-por,midterm,old_seq_default,old_seq_default,balanced_low_macro,0.7798742138364781,0.8,0.6666666666666666,xgboost,0.765907048925917,0.65,0.6190476190476191,0.013967164910561158,0.15000000000000002,0.04761904761904756
xapi,xapi,xapi_sequence_gated_light,xapi_gated_light,argmax,0.750650315867707,0.8461538461538461,0.8461538461538461,random_forest,0.8465351568457979,0.8846153846153846,0.8846153846153846,-0.09588484097809091,-0.038461538461538436,-0.038461538461538436
