model,architecture_variant,oversample_method,class_weight_mode,seed_count,parameter_count_per_model,oof_macro_f1,outer_fold_macro_f1_mean,outer_fold_macro_f1_std,locked_accuracy,locked_macro_f1,locked_weighted_f1,locked_balanced_accuracy,locked_qwk,locked_ordinal_mae,locked_two_step_errors,locked_pr_auc_macro,locked_brier,locked_ece,temperature_oof,locked_brier_calibrated,locked_ece_calibrated
cnn_only_none,cnn_only,none,none,1,115,0.800442301795954,0.7967179220562739,0.07598865318357292,0.8481012658227848,0.8582434514637906,0.845078114333639,0.8906882591093117,0.8633611991928509,0.1518987341772152,0,0.9506941835840109,0.3411063908159451,0.23198059597793133,0.2225625307176253,0.24946258977848082,0.08279199280423419
bilstm_only_none,bilstm_only,none,none,1,2531,0.21843971631205672,0.21843441823501789,0.002139100824226131,0.4810126582278481,0.21652421652421652,0.3124526668830466,0.3333333333333333,0.0,0.5189873417721519,0,0.7949372522088738,0.6363051930327949,0.09101992444194695,0.42318166140865204,0.6181903415314246,0.01384152733574645
cnn_bilstm_none,cnn_bilstm,none,none,1,4515,0.842199912701877,0.8410737133217436,0.03811047770878072,0.8987341772151899,0.9097860323666774,0.8985419734296828,0.921727395411606,0.9028887523048555,0.10126582278481013,0,0.9631304478358146,0.21531161209793054,0.16356188278301376,0.5176186895558073,0.1754881871218196,0.06333902798248688
cnn_bilstm_class_weight,cnn_bilstm,none,balanced,1,4515,0.8006933788756866,0.7996858322760059,0.06331753152287808,0.8860759493670886,0.8905044231131187,0.8847357925508723,0.9170040485829959,0.8949312841731935,0.11392405063291139,0,0.9670065395712446,0.20128880280696254,0.10481600788610934,0.6877428990882952,0.1975425849973315,0.08421787067734979
cnn_bilstm_smote,cnn_bilstm,smote,none,1,4515,0.8373453746745759,0.8365731874337333,0.0404431822079745,0.8734177215189873,0.8797416893392125,0.8715841251405778,0.9082321187584346,0.884232121922626,0.12658227848101267,0,0.9656353739173102,0.2054026695735228,0.0658373949050247,0.7627654654029056,0.20143391458442997,0.07415683505298556
cnn_bilstm_smote_class_weight,cnn_bilstm,smote,balanced,1,4515,0.7634475569776016,0.7636841572478735,0.04487843189724839,0.8607594936708861,0.8688422688422689,0.8574547815054144,0.9035087719298245,0.8757684060042887,0.13924050632911392,0,0.9706133734831491,0.21509553563750042,0.060676075259157074,1.0179418004607022,0.21541446279618248,0.061593360833151006
cnn_bilstm_none_ensemble_11seed,cnn_bilstm,none,none,11,4515,0.8504746715273032,0.8503002201208357,0.04674584466725001,0.8734177215189873,0.8875984931980062,0.8729860703481049,0.8960863697705803,0.876446668751955,0.12658227848101267,0,0.9655489946878367,0.18218306292269007,0.11287461937591338,0.5208462829044975,0.1623963014356649,0.04619707900845836
