dataset,task,model,class_index,class_name,precision,recall,f1,support
student_mat,MAIN,logistic_regression,0,Low,0.8604651162790697,0.8538461538461538,0.8571428571428571,130
student_mat,MAIN,logistic_regression,1,Medium,0.865979381443299,0.875,0.8704663212435233,192
student_mat,MAIN,logistic_regression,2,High,0.9166666666666666,0.9041095890410958,0.9103448275862069,73
student_mat,MAIN,decision_tree,0,Low,0.8356164383561644,0.9384615384615385,0.8840579710144928,130
student_mat,MAIN,decision_tree,1,Medium,0.9175824175824175,0.8697916666666666,0.893048128342246,192
student_mat,MAIN,decision_tree,2,High,0.9850746268656716,0.9041095890410958,0.9428571428571428,73
student_mat,MAIN,random_forest,0,Low,0.8344827586206897,0.9307692307692308,0.88,130
student_mat,MAIN,random_forest,1,Medium,0.9166666666666666,0.859375,0.8870967741935484,192
student_mat,MAIN,random_forest,2,High,0.9571428571428572,0.9178082191780822,0.9370629370629371,73
student_mat,MAIN,hist_gradient_boosting,0,Low,0.837037037037037,0.8692307692307693,0.8528301886792453,130
student_mat,MAIN,hist_gradient_boosting,1,Medium,0.873015873015873,0.859375,0.8661417322834646,192
student_mat,MAIN,hist_gradient_boosting,2,High,0.9295774647887324,0.9041095890410958,0.9166666666666666,73
student_mat,MAIN,svm,0,Low,0.816,0.7846153846153846,0.8,130
student_mat,MAIN,svm,1,Medium,0.7969543147208121,0.8177083333333334,0.8071979434447301,192
student_mat,MAIN,svm,2,High,0.8356164383561644,0.8356164383561644,0.8356164383561644,73
student_mat,MAIN,cnn_bilstm,0,Low,0.8263888888888888,0.9153846153846154,0.8686131386861314,130
student_mat,MAIN,cnn_bilstm,1,Medium,0.9116022099447514,0.859375,0.8847184986595175,192
student_mat,MAIN,cnn_bilstm,2,High,0.9714285714285714,0.9315068493150684,0.951048951048951,73
student_mat,MAIN,xgboost,0,Low,0.837037037037037,0.8692307692307693,0.8528301886792453,130
student_mat,MAIN,xgboost,1,Medium,0.875,0.875,0.875,192
student_mat,MAIN,xgboost,2,High,0.9705882352941176,0.9041095890410958,0.9361702127659575,73
student_mat,MAIN,mlp,0,Low,0.8384615384615385,0.8384615384615385,0.8384615384615385,130
student_mat,MAIN,mlp,1,Medium,0.8526315789473684,0.84375,0.8481675392670157,192
student_mat,MAIN,mlp,2,High,0.88,0.9041095890410958,0.8918918918918919,73
student_por,MAIN,logistic_regression,0,Low,0.6788990825688074,0.74,0.7081339712918661,100
student_por,MAIN,logistic_regression,1,Medium,0.9025,0.8636363636363636,0.882640586797066,418
student_por,MAIN,logistic_regression,2,High,0.8428571428571429,0.9007633587786259,0.8708487084870848,131
student_por,MAIN,decision_tree,0,Low,0.6515151515151515,0.86,0.7413793103448276,100
student_por,MAIN,decision_tree,1,Medium,0.93717277486911,0.8564593301435407,0.895,418
student_por,MAIN,decision_tree,2,High,0.8962962962962963,0.9236641221374046,0.9097744360902256,131
student_por,MAIN,random_forest,0,Low,0.7477477477477478,0.83,0.7867298578199052,100
student_por,MAIN,random_forest,1,Medium,0.9328358208955224,0.8971291866028708,0.9146341463414634,418
student_por,MAIN,random_forest,2,High,0.8897058823529411,0.9236641221374046,0.9063670411985019,131
student_por,MAIN,hist_gradient_boosting,0,Low,0.7578947368421053,0.72,0.7384615384615385,100
student_por,MAIN,hist_gradient_boosting,1,Medium,0.9014084507042254,0.9186602870813397,0.909952606635071,418
student_por,MAIN,hist_gradient_boosting,2,High,0.9140625,0.8931297709923665,0.9034749034749034,131
student_por,MAIN,svm,0,Low,0.7105263157894737,0.54,0.6136363636363636,100
student_por,MAIN,svm,1,Medium,0.8485523385300668,0.9114832535885168,0.8788927335640139,418
student_por,MAIN,svm,2,High,0.8790322580645161,0.8320610687022901,0.8549019607843137,131
student_por,MAIN,cnn_bilstm,0,Low,0.7428571428571429,0.78,0.7609756097560976,100
student_por,MAIN,cnn_bilstm,1,Medium,0.9199029126213593,0.9066985645933014,0.9132530120481928,418
student_por,MAIN,cnn_bilstm,2,High,0.9090909090909091,0.916030534351145,0.9125475285171103,131
student_por,MAIN,xgboost,0,Low,0.8043478260869565,0.74,0.7708333333333334,100
student_por,MAIN,xgboost,1,Medium,0.9127358490566038,0.9258373205741627,0.9192399049881235,418
student_por,MAIN,xgboost,2,High,0.9022556390977443,0.916030534351145,0.9090909090909091,131
student_por,MAIN,mlp,0,Low,0.7710843373493976,0.64,0.6994535519125683,100
student_por,MAIN,mlp,1,Medium,0.8865740740740741,0.916267942583732,0.9011764705882352,418
student_por,MAIN,mlp,2,High,0.8805970149253731,0.9007633587786259,0.8905660377358491,131
