dataset,task,stage,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_f1_min,seed_macro_f1_max,rows
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,0.4886075949367088,0.4097379551574757,0.4367389060887512,0.4097379551574757,0.4103904876874096,0.4714091259421823,0.4886075949367088,0.4683859366677162,0.4013185157949391,0.5816034441442379,1.8586985818673776,0.6798928690597904,0.164737908701285,0.4091817764107511,0.0013129924738993,0.407778314028314,0.4112876194972264,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,0.4734177215189873,0.4324544842524294,0.4482653111757257,0.4324544842524294,0.4378850969885695,0.4673428494593179,0.4734177215189873,0.4685967179697458,0.4512754091680242,0.6308231116959471,1.561041097849762,0.7527636039088074,0.293387872091602,0.4378850969885695,0.0,0.4378850969885695,0.4378850969885695,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,cnn_bilstm,0.4151898734177215,0.4395972368575108,0.4272467185356424,0.4395972368575108,0.4135582605142271,0.4646102412316868,0.4151898734177215,0.4238995627518076,0.4624081616421924,0.6444952182385374,1.0178269873296248,0.6231018325248971,0.1029962004713919,0.4149551950004636,0.0303282635949554,0.3850150125142837,0.4654200464333482,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,0.3949367088607595,0.4531813458611404,0.4280926583298125,0.4531813458611404,0.397920753696986,0.4663884971785108,0.3949367088607595,0.3927734552405948,0.4408629519076252,0.6308779765790441,1.0658093889445304,0.6564080345197031,0.1381091449904408,0.397920753696986,0.0,0.397920753696986,0.397920753696986,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,0.5037974683544304,0.4191908880693127,0.4835832083958021,0.4191908880693127,0.4218916160092631,0.4967997014151152,0.5037974683544304,0.4758355072576963,0.4557641223535322,0.6404319106266292,1.0175185089299268,0.6113465478574491,0.1191764033282688,0.4376892907743023,0.0166088180721238,0.409006038897393,0.458121538994453,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,0.4379746835443038,0.443419974241892,0.4282828282828283,0.443419974241892,0.4296116698045338,0.4556731875719217,0.4379746835443038,0.4424766810646234,0.4326244945304293,0.6220531527851049,1.0402685346889309,0.6316238833103948,0.0577082585841944,0.4298328241132015,0.006323529951854,0.4238195138195137,0.4400050770232964,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,svm,0.5037974683544304,0.4464535036880927,0.4688750969300015,0.4464535036880927,0.4522705036254504,0.4981737154413689,0.5037974683544304,0.4953264865070784,0.472452609614184,0.6413332625521423,1.0579717211781297,0.6379086450132219,0.1435731923441603,0.4563429926968433,0.0053485765295795,0.4474352917890523,0.461749513065196,395
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,xgboost,0.5012658227848101,0.4139324288724974,0.4514774183989642,0.4139324288724974,0.4116042279255048,0.4809403637052141,0.5012658227848101,0.4736633475900703,0.4366469252751142,0.6243831814950574,1.0422551268414793,0.6284323601203903,0.1242596564710194,0.410286759229412,0.0074166150174442,0.4004212572666503,0.4198923135625556,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,decision_tree,0.7291139240506329,0.7321767796510947,0.7322109611095716,0.7321767796510947,0.7310114863445788,0.7310092421417073,0.7291139240506329,0.7289517135552901,0.7526784532126909,0.8556721446595338,1.311340316286774,0.3992238369049779,0.1293017776696648,0.729600099761133,0.0011523923197506,0.7286591753721693,0.7310114863445788,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,hist_gradient_boosting,0.6987341772151898,0.6873927965109473,0.7205613609975264,0.6873927965109473,0.7013662551440328,0.7027720426273442,0.6987341772151898,0.6985766526019691,0.76359946007293,0.8595660469884964,0.9533094470695932,0.473494003599488,0.1905616162655161,0.7013662551440328,0.0,0.7013662551440328,0.7013662551440328,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,cnn_bilstm,0.7367088607594937,0.775411617492097,0.732069733630337,0.775411617492097,0.743811236189285,0.7486850358509931,0.7367088607594937,0.7321943698989083,0.8301186365547307,0.8998146655244067,0.5859908762463422,0.3703609852218586,0.0479047620369326,0.7228526968004247,0.0171908278370448,0.6949600626711843,0.7421922331375207,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,logistic_regression,0.7139240506329114,0.7543368018967334,0.7069754101347051,0.7543368018967334,0.7224065004705791,0.7212966139996319,0.7139240506329114,0.7104574339129004,0.8332899254484115,0.9003711751741313,0.5676806384315443,0.3673401306163549,0.0723139036077349,0.7224065004705791,0.0,0.7224065004705791,0.7224065004705791,395
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,mlp,0.7291139240506329,0.7273445732349842,0.7351293847723311,0.7273445732349842,0.7305771725709844,0.7304211951039691,0.7291139240506329,0.7290272836257705,0.8044830174511657,0.8903415787371936,0.5804666744971884,0.3618564237018459,0.0652403797427657,0.731638285250815,0.0081885000990423,0.7254954819820946,0.7478632478632479,395
