dataset,task,stage,model,class_index,class_name,precision,recall,f1,support
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,mlp,1.0,Medium,0.7093596059113301,0.75,0.7291139240506329,192.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,mlp,2.0,High,0.7397260273972602,0.7397260273972602,0.7397260273972602,73.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,0.0,Low,0.6644295302013423,0.7615384615384615,0.7096774193548387,130.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,1.0,Medium,0.7176470588235294,0.6354166666666666,0.6740331491712708,192.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,2.0,High,0.7368421052631579,0.7671232876712328,0.7516778523489933,73.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,svm,0.0,Low,0.744,0.7153846153846154,0.7294117647058823,130.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,svm,1.0,Medium,0.7038834951456311,0.7552083333333334,0.7286432160804021,192.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,svm,2.0,High,0.765625,0.6712328767123288,0.7153284671532847,73.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,0.0,Low,0.7073170731707317,0.6692307692307692,0.6877470355731226,130.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,1.0,Medium,0.6826923076923077,0.7395833333333334,0.71,192.0
student_mat,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,2.0,High,0.78125,0.684931506849315,0.7299270072992701,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,0.0,Low,0.8294573643410853,0.823076923076923,0.8262548262548263,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,1.0,Medium,0.8489583333333334,0.8489583333333334,0.8489583333333334,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,2.0,High,0.9054054054054054,0.9178082191780822,0.91156462585034,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,0.0,Low,0.8267716535433071,0.8076923076923077,0.8171206225680934,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,1.0,Medium,0.8291457286432161,0.859375,0.8439897698209718,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,2.0,High,0.927536231884058,0.8767123287671232,0.9014084507042254,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0.0,Low,0.7784810126582279,0.946153846153846,0.8541666666666666,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1.0,Medium,0.9271523178807948,0.7291666666666666,0.8163265306122449,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2.0,High,0.8023255813953488,0.9452054794520548,0.8679245283018868,73.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,0.0,Low,0.8285714285714286,0.8923076923076924,0.8592592592592593,130.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,1.0,Medium,0.9022988505747126,0.8177083333333334,0.8579234972677595,192.0
student_mat,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,2.0,High,0.8641975308641975,0.958904109589041,0.9090909090909092,73.0
