model,status,inner_folds,mean_ndcg_at_3,std_ndcg_at_3,worst_ndcg_at_3,mean_precision_at_1,mean_action_diversity,trial_number,parameters.C,parameters.n_jobs,parameters.learning_rate,parameters.n_estimators,parameters.num_leaves,parameters.max_depth
interaction_logistic,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.370142201024554, 'ndcg_at_3': 0.5192490483623222, 'ndcg_all': 0.5280595067711902, 'precision_at_1': 0.5156332803391627, 'precision_at_3': 0.48180533474651127, 'recall_at_3': 0.6885466348701643, 'map_at_3': 0.5935899134428545, 'mrr': 0.607401519166225, 'top1_relevance': 0.025232904657474617, 'groups': 7548, 'learners': 2948, 'action_diversity': 5, 'top_action_concentration': 0.43892421833598305}, {'inner_fold': 1, 'ndcg_at_1': 0.37409468291821235, 'ndcg_at_3': 0.5251216488878211, 'ndcg_all': 0.5332161080113973, 'precision_at_1': 0.528749337572867, 'precision_at_3': 0.4938615085673909, 'recall_at_3': 0.7002782193958664, 'map_at_3': 0.6070703055997173, 'mrr': 0.6192148030383324, 'top1_relevance': 0.009890915197400138, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.4505829358770535}, {'inner_fold': 2, 'ndcg_at_1': 0.3655714538067479, 'ndcg_at_3': 0.5199346897834227, 'ndcg_all': 0.5285086720013035, 'precision_at_1': 0.5151033386327504, 'precision_at_3': 0.48984278396043096, 'recall_at_3': 0.693000353294471, 'map_at_3': 0.5968247659424131, 'mrr': 0.6086822116233881, 'top1_relevance': 0.034017772336107005, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.46515633280339164}]",0.5214351290111886,0.002621748480205094,0.5192490483623222,0.5198286521815934,5.0,0,0.1,4,,,,
pairwise_logistic,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.30690249072602016, 'ndcg_at_3': 0.48946804341115124, 'ndcg_all': 0.5033023888389587, 'precision_at_1': 0.5043720190779014, 'precision_at_3': 0.47721250662427134, 'recall_at_3': 0.6841746157922628, 'map_at_3': 0.581522699169758, 'mrr': 0.601395513160219, 'top1_relevance': -0.01884754594002065, 'groups': 7548, 'learners': 2948, 'action_diversity': 5, 'top_action_concentration': 0.6919713831478538}, {'inner_fold': 1, 'ndcg_at_1': 0.2944267797208973, 'ndcg_at_3': 0.4889182755043305, 'ndcg_all': 0.5029339311630775, 'precision_at_1': 0.4965553789083201, 'precision_at_3': 0.4881646352234588, 'recall_at_3': 0.693764352587882, 'map_at_3': 0.5856812695047989, 'mrr': 0.6033607136548312, 'top1_relevance': -0.026357723180739256, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.7245627980922098}, {'inner_fold': 2, 'ndcg_at_1': 0.2966790319731496, 'ndcg_at_3': 0.49151358070924234, 'ndcg_all': 0.5026042056937435, 'precision_at_1': 0.5029146793852676, 'precision_at_3': 0.4890478714008125, 'recall_at_3': 0.6935965377141847, 'map_at_3': 0.5903697815462522, 'mrr': 0.6034269563681327, 'top1_relevance': -0.00878304903945246, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.7415209326974033}]",0.48996663320824135,0.0011166456065623246,0.4889182755043305,0.501280692457163,5.0,1,0.1,4,,,,
lambdamart,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.4073926868044515, 'ndcg_at_3': 0.5360581708218521, 'ndcg_all': 0.5433317022805988, 'precision_at_1': 0.5560413354531002, 'precision_at_3': 0.48405758699876344, 'recall_at_3': 0.6917483660130719, 'map_at_3': 0.6186775010304422, 'mrr': 0.6286212683271506, 'top1_relevance': 0.05021283609934885, 'groups': 7548, 'learners': 2948, 'action_diversity': 5, 'top_action_concentration': 0.6147323794382618}, {'inner_fold': 1, 'ndcg_at_1': 0.40463257375022077, 'ndcg_at_3': 0.5390390230528955, 'ndcg_all': 0.5456599268348038, 'precision_at_1': 0.5625331213566508, 'precision_at_3': 0.49646705529058466, 'recall_at_3': 0.7040761349584879, 'map_at_3': 0.6283452570217276, 'mrr': 0.6371886592474828, 'top1_relevance': 0.0478720349424039, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.5137784843667197}, {'inner_fold': 2, 'ndcg_at_1': 0.41264794205970673, 'ndcg_at_3': 0.542896085718583, 'ndcg_all': 0.5485477272225561, 'precision_at_1': 0.5679650238473768, 'precision_at_3': 0.4938615085673909, 'recall_at_3': 0.6996798268857093, 'map_at_3': 0.6296737914384972, 'mrr': 0.6379173290937997, 'top1_relevance': 0.06337225642348664, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.573794382617912}]",0.539331093197777,0.002799196165673508,0.5360581708218521,0.5621798268857093,5.0,2,,4,0.03,100.0,7.0,
boosted_tree,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.3641380350939174, 'ndcg_at_3': 0.5124078100908579, 'ndcg_all': 0.5255905683926163, 'precision_at_1': 0.5102013778484367, 'precision_at_3': 0.4754460342695637, 'recall_at_3': 0.6803325384207737, 'map_at_3': 0.5866454689984102, 'mrr': 0.6025878819996466, 'top1_relevance': 0.07016085247150255, 'groups': 7548, 'learners': 2948, 'action_diversity': 5, 'top_action_concentration': 0.546767355590885}, {'inner_fold': 1, 'ndcg_at_1': 0.3476270388035094, 'ndcg_at_3': 0.5048633471665624, 'ndcg_all': 0.5209678854753556, 'precision_at_1': 0.49364069952305245, 'precision_at_3': 0.4847641759406465, 'recall_at_3': 0.6883103691927221, 'map_at_3': 0.5839258376023081, 'mrr': 0.5991874227168345, 'top1_relevance': 0.07915049884818749, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.5439851616322204}, {'inner_fold': 2, 'ndcg_at_1': 0.3597292145086263, 'ndcg_at_3': 0.5116562134227708, 'ndcg_all': 0.5251996693532619, 'precision_at_1': 0.5180180180180181, 'precision_at_3': 0.48388093976329266, 'recall_at_3': 0.6855922098569158, 'map_at_3': 0.5927913207324972, 'mrr': 0.6093446387564035, 'top1_relevance': 0.08004066509205734, 'groups': 7548, 'learners': 2947, 'action_diversity': 5, 'top_action_concentration': 0.5213301536830949}]",0.5096424568933972,0.003393242473280652,0.5048633471665624,0.5072866984631691,5.0,3,,4,0.03,,,2.0
