model,status,inner_folds,mean_ndcg_at_3,std_ndcg_at_3,worst_ndcg_at_3,mean_precision_at_1,mean_action_diversity,trial_number,parameters.C,parameters.n_jobs,parameters.learning_rate,parameters.n_estimators,parameters.num_leaves,parameters.max_depth
interaction_logistic,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.3568987706918742, 'ndcg_at_3': 0.5112573166492229, 'ndcg_all': 0.5182310628311282, 'precision_at_1': 0.5197710025296233, 'precision_at_3': 0.49798073936004966, 'recall_at_3': 0.6981427240047929, 'map_at_3': 0.6039919229574402, 'mrr': 0.61343363067501, 'top1_relevance': 0.02496159788334426, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.4133936892557582}, {'inner_fold': 1, 'ndcg_at_1': 0.3605745748412592, 'ndcg_at_3': 0.5210865362434692, 'ndcg_all': 0.5295731887293171, 'precision_at_1': 0.4996669774876782, 'precision_at_3': 0.4849029794414102, 'recall_at_3': 0.6923205008658585, 'map_at_3': 0.5891797285496501, 'mrr': 0.6002175747080504, 'top1_relevance': -0.01388552435347867, 'groups': 7507, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.46143599307313177}, {'inner_fold': 2, 'ndcg_at_1': 0.3681933164691785, 'ndcg_at_3': 0.5244077108788641, 'ndcg_all': 0.5315152077850193, 'precision_at_1': 0.5155105844761018, 'precision_at_3': 0.48455598455598453, 'recall_at_3': 0.6953645763990591, 'map_at_3': 0.5992655216793149, 'mrr': 0.6089513158478677, 'top1_relevance': 0.04456291987827544, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.45426707495673013}]",0.518917187923852,0.005583473900575648,0.5112573166492229,0.5116495214978011,5.0,0,0.1,4,,,,
pairwise_logistic,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.299183419873075, 'ndcg_at_3': 0.4841462264911567, 'ndcg_all': 0.49528613859161347, 'precision_at_1': 0.5116495806150979, 'precision_at_3': 0.4945635290462877, 'recall_at_3': 0.694015444015444, 'map_at_3': 0.5948349827660173, 'mrr': 0.6087516087516088, 'top1_relevance': -0.006924809587946853, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.6787378511516442}, {'inner_fold': 1, 'ndcg_at_1': 0.3133519825940233, 'ndcg_at_3': 0.496521715591672, 'ndcg_all': 0.5111350840722771, 'precision_at_1': 0.5009990675369655, 'precision_at_3': 0.48068469428533367, 'recall_at_3': 0.686226188890369, 'map_at_3': 0.585790299424241, 'mrr': 0.6010612317392656, 'top1_relevance': -0.017763650524822556, 'groups': 7507, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.7580924470494206}, {'inner_fold': 2, 'ndcg_at_1': 0.29760795278036656, 'ndcg_at_3': 0.4898163925335353, 'ndcg_all': 0.5034991725894506, 'precision_at_1': 0.4952735987218746, 'precision_at_3': 0.48020680779301467, 'recall_at_3': 0.6890516131895442, 'map_at_3': 0.5828821432269707, 'mrr': 0.598588736519771, 'top1_relevance': -0.00489954888071283, 'groups': 7511, 'learners': 2927, 'action_diversity': 4, 'top_action_concentration': 0.7148182665424044}]",0.4901614448721214,0.005058160301698384,0.4841462264911567,0.5026407489579794,4.666666666666667,1,0.1,4,,,,
lambdamart,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.40183286735010876, 'ndcg_at_3': 0.5292688679541966, 'ndcg_all': 0.5354718576356786, 'precision_at_1': 0.5804819597923047, 'precision_at_3': 0.49957839613012023, 'recall_at_3': 0.7001619846447432, 'map_at_3': 0.6353940147043595, 'mrr': 0.6447654551102826, 'top1_relevance': 0.05369326550513576, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.5798162694714419}, {'inner_fold': 1, 'ndcg_at_1': 0.4235713334221393, 'ndcg_at_3': 0.54690854380567, 'ndcg_all': 0.5541329527147751, 'precision_at_1': 0.5698681230851206, 'precision_at_3': 0.48690111451534124, 'recall_at_3': 0.6947626659562186, 'map_at_3': 0.6269407811968087, 'mrr': 0.6370054615692021, 'top1_relevance': 0.03605008779131815, 'groups': 7507, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.5883841747702144}, {'inner_fold': 2, 'ndcg_at_1': 0.4129055163537922, 'ndcg_at_3': 0.5436251967457899, 'ndcg_all': 0.5493143850861182, 'precision_at_1': 0.5758221275462655, 'precision_at_3': 0.4865974348732969, 'recall_at_3': 0.6987928815515022, 'map_at_3': 0.6320655631000458, 'mrr': 0.640948830604003, 'top1_relevance': 0.05296401699006303, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.554520037278658}]",0.5399342028352189,0.007659726630116254,0.5292688679541966,0.575390736807897,5.0,2,,4,0.03,100.0,7.0,
boosted_tree,COMPLETE,"[{'inner_fold': 0, 'ndcg_at_1': 0.3403563662184352, 'ndcg_at_3': 0.496365225116148, 'ndcg_all': 0.5103924438284994, 'precision_at_1': 0.506324058048196, 'precision_at_3': 0.4886610748679714, 'recall_at_3': 0.6860271601650912, 'map_at_3': 0.5878674240743207, 'mrr': 0.6045577597301736, 'top1_relevance': 0.07697203758348309, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.4434828917587538}, {'inner_fold': 1, 'ndcg_at_1': 0.38173260512410645, 'ndcg_at_3': 0.5228010836747706, 'ndcg_all': 0.5360608934684393, 'precision_at_1': 0.5225789263354202, 'precision_at_3': 0.4787753652146885, 'recall_at_3': 0.6841614493139736, 'map_at_3': 0.5942416707369419, 'mrr': 0.6118955641401359, 'top1_relevance': 0.07439597222531277, 'groups': 7507, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.5120554149460503}, {'inner_fold': 2, 'ndcg_at_1': 0.36611488335626263, 'ndcg_at_3': 0.5160216698515935, 'ndcg_all': 0.5290435718177553, 'precision_at_1': 0.5075223006257489, 'precision_at_3': 0.47798784005680556, 'recall_at_3': 0.6849132383615142, 'map_at_3': 0.5904155386914007, 'mrr': 0.6020503261882573, 'top1_relevance': 0.08750064594103711, 'groups': 7511, 'learners': 2927, 'action_diversity': 5, 'top_action_concentration': 0.5735587804553322}]",0.5117293262141707,0.011211060457101227,0.496365225116148,0.5121417616697884,5.0,3,,4,0.03,,,2.0
