candidate_id,forecast_id,scope,seed,class_name,precision,recall,f1,support
C-C0,F1_EARLY,development_oof,42,not_at_risk,0.7487141020145736,0.7548617113223854,0.7517753389283409,9256
C-C0,F1_EARLY,development_oof,42,at_risk,0.6863422726016035,0.6792065663474692,0.6827557755775577,7310
C-C0,F1_EARLY,future_presentation,42,not_at_risk,0.7776737655043295,0.6090542521994134,0.6831123445369514,5456
C-C0,F1_EARLY,future_presentation,42,at_risk,0.5423728813559322,0.7268545140885566,0.6212065364295368,3478
C-C0,F2_MIDDLE,development_oof,42,not_at_risk,0.8265544172837002,0.8800215982721382,0.8524504419687222,9260
C-C0,F2_MIDDLE,development_oof,42,at_risk,0.7986954158362022,0.7204968944099379,0.7575835696485348,6118
C-C0,F2_MIDDLE,future_presentation,42,not_at_risk,0.8614002857726066,0.7734604105571847,0.8150651859005311,5456
C-C0,F2_MIDDLE,future_presentation,42,at_risk,0.6214395099540582,0.7492614475627769,0.679390590992801,2708
C-C0,F3_LATE,development_oof,42,not_at_risk,0.8777036587831009,0.9377969762419006,0.9067557690299677,9260
C-C0,F3_LATE,development_oof,42,at_risk,0.8762620837808808,0.7712232936282851,0.8203942075623492,5289
C-C0,F3_LATE,future_presentation,42,not_at_risk,0.8932352413421856,0.9123900293255132,0.9027110345452897,5456
C-C0,F3_LATE,future_presentation,42,at_risk,0.765686274509804,0.7241539174779786,0.744341196092447,2157
C-H0,F1_EARLY,development_oof,42,not_at_risk,0.7561514512403334,0.8134183232497839,0.7837401759225524,9256
C-H0,F1_EARLY,development_oof,42,at_risk,0.7386896656075049,0.6678522571819425,0.7014871758028594,7310
C-H0,F1_EARLY,future_presentation,42,not_at_risk,0.7659880732058401,0.6827346041055719,0.721969183060374,5456
C-H0,F1_EARLY,future_presentation,42,at_risk,0.5747973470891673,0.6728004600345026,0.6199496622069148,3478
C-H0,F2_MIDDLE,development_oof,42,not_at_risk,0.8427621483375959,0.8896328293736501,0.8655634357762018,9260
