candidate_id,forecast_id,scope,code_module,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-C0,F1_EARLY,development_oof,AAA,338,0.17751479289940827,record_specific,0.5917874396135265,0.6449704142011834,0.7057553956834532,0.3076923076923077,0.8,0.4444444444444444,0.6115107913669064,0.9340659340659341,0.4813510193671502,0.7983213429256595,0.22082405470477837,0.6336519222939856,0.29857634775031955,False,"[[170, 108], [12, 48]]"
C-C0,F1_EARLY,development_oof,BBB,4478,0.419606967396159,record_specific,0.7406770369637616,0.748995087092452,0.7393114517169067,0.7100723427935448,0.679084619478446,0.6942328618063112,0.7995382839553674,0.7750839239089892,0.7769568138132248,0.809760621486014,0.1734737603299529,0.5233065372274482,0.048053597360882654,False,"[[2078, 521], [603, 1276]]"
C-C0,F1_EARLY,development_oof,CCC,1264,0.49841772151898733,record_specific,0.7585754498686481,0.7587025316455697,0.7587827349657003,0.7450980392156863,0.7841269841269841,0.7641144624903325,0.7334384858044164,0.7737104825291181,0.8282706562296693,0.8337364178058184,0.16885954403509837,0.5129036156729714,0.05748538731279062,False,"[[465, 169], [136, 494]]"
C-C0,F1_EARLY,development_oof,DDD,3260,0.5180981595092025,record_specific,0.7408701227613949,0.7411042944785277,0.7409870058215458,0.7531455961653685,0.7442273534635879,0.7486599166170339,0.7377466581795035,0.7284726587052168,0.8355649704711601,0.8184591276387183,0.1762494853047449,0.5301678690996521,0.051727509176347136,False,"[[1159, 412], [432, 1257]]"
C-C0,F1_EARLY,development_oof,EEE,1252,0.38338658146964855,record_specific,0.7571884984025559,0.7723642172523961,0.7551327720207254,0.7124183006535948,0.68125,0.6964856230031949,0.8290155440414507,0.807061790668348,0.7593811713830012,0.8231946243523317,0.17154384524046565,0.5234839146243353,0.09238756307588221,False,"[[640, 132], [153, 327]]"
C-C0,F1_EARLY,development_oof,FFF,4312,0.449443413729128,record_specific,0.7093001902331748,0.726113172541744,0.709045490230855,0.7830964846671653,0.5402476780185759,0.6393893129770992,0.8778433024431339,0.7005042016806723,0.7795822223050327,0.788518418053161,0.18507001114834506,0.5506532948792181,0.0390313049805988,False,"[[2084, 290], [891, 1047]]"
C-C0,F1_EARLY,development_oof,GGG,1662,0.381468110709988,record_specific,0.5431437705775719,0.5457280385078219,0.5971151603677473,0.44752818733738076,0.8138801261829653,0.5775041969781757,0.38035019455252916,0.768172888015717,0.554412121611487,0.6729561244154219,0.2751146561559406,0.7632251077713892,0.24215371501503155,False,"[[391, 637], [118, 516]]"
C-C0,F1_EARLY,future_presentation,AAA,343,0.26239067055393583,record_specific,0.5776051919567816,0.6005830903790087,0.6326086956521739,0.36416184971098264,0.7,0.4790874524714829,0.5652173913043478,0.8411764705882353,0.40910884998220703,0.6906016688625384,0.24880237920062329,0.7076770526390436,0.23215302003889668,False,"[[143, 110], [27, 63]]"
C-C0,F1_EARLY,future_presentation,BBB,1769,0.34878462408140193,record_specific,0.2778063384540946,0.35895986433013,0.5066834650189087,0.3518624641833811,0.9951377633711507,0.5198983911939035,0.018229166666666668,0.875,0.4476609436160836,0.5963422080406987,0.4355656412100437,1.2716300979250945,0.4605476408775679,False,"[[21, 1131], [3, 614]]"
C-C0,F1_EARLY,future_presentation,CCC,1887,0.4626391096979332,record_specific,0.7350086804847114,0.735559088500265,0.7362644624738202,0.7015086206896551,0.7457044673539519,0.7229317046085508,0.7268244575936884,0.7685088633993743,0.8011697378011109,0.8114879657306303,0.1781623461493351,0.5346875894771578,0.056748584051042494,False,"[[737, 277], [222, 651]]"
