forecast_id,outer_fold,scope,candidate_id,threshold,inner_macro_f1,selected_epoch,parameter_count,config
F1_EARLY,2,development_oof,C-H2,0.4899999999999999,0.7380519697877693,11.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
F2_MIDDLE,0,development_oof,C-O0,0.5,,,1,"{""rule"": ""train_prevalence""}"
F2_MIDDLE,0,development_oof,C-L0,0.585,0.8200852132320297,,516,"{""C"": 1.0}"
F2_MIDDLE,0,development_oof,C-R0,0.5049999999999999,0.819773687167845,,337772,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}"
F2_MIDDLE,0,development_oof,C-H0,0.565,0.8236533517311613,,3335,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
F2_MIDDLE,0,development_oof,C-M0,0.5499999999999999,0.8138543289704139,6.0,16545,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,0,development_oof,C-C0,0.5349999999999999,0.7967616589957848,12.0,1665,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,0,development_oof,C-L1,0.575,0.8146122419306571,11.0,12865,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,0,development_oof,C-H1,0.5499999999999999,0.8109278291280313,8.0,18593,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,0,development_oof,C-H2,0.5149999999999999,0.8210409927454971,11.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
F2_MIDDLE,1,development_oof,C-O0,0.5,,,1,"{""rule"": ""train_prevalence""}"
F2_MIDDLE,1,development_oof,C-L0,0.57,0.8235881849925464,,516,"{""C"": 0.1}"
F2_MIDDLE,1,development_oof,C-R0,0.4299999999999999,0.8226317617677543,,330652,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}"
F2_MIDDLE,1,development_oof,C-H0,0.4999999999999999,0.8284883716008444,,3103,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
F2_MIDDLE,1,development_oof,C-M0,0.5249999999999999,0.8217413052473097,9.0,16545,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,1,development_oof,C-C0,0.575,0.8054052831810458,11.0,1665,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,1,development_oof,C-L1,0.4949999999999999,0.8206294942649832,12.0,12865,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,1,development_oof,C-H1,0.5099999999999999,0.8227128620272237,11.0,18593,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,1,development_oof,C-H2,0.4799999999999999,0.8183997099610261,7.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
F2_MIDDLE,2,development_oof,C-O0,0.5,,,1,"{""rule"": ""train_prevalence""}"
F2_MIDDLE,2,development_oof,C-L0,0.575,0.819086238409364,,516,"{""C"": 0.1}"
F2_MIDDLE,2,development_oof,C-R0,0.4999999999999999,0.816806933385385,,257826,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}"
F2_MIDDLE,2,development_oof,C-H0,0.5449999999999999,0.8209261238391505,,4031,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
F2_MIDDLE,2,development_oof,C-M0,0.5149999999999999,0.814964974749012,8.0,16545,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,2,development_oof,C-C0,0.4999999999999999,0.8039096327434078,11.0,1665,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,2,development_oof,C-L1,0.5099999999999999,0.8168155256991003,11.0,12865,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,2,development_oof,C-H1,0.4849999999999999,0.8173029605843759,10.0,18593,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F2_MIDDLE,2,development_oof,C-H2,0.4849999999999999,0.8155256754523124,10.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
F3_LATE,0,development_oof,C-O0,0.5,,,1,"{""rule"": ""train_prevalence""}"
F3_LATE,0,development_oof,C-L0,0.6849999999999999,0.8668278141952983,,703,"{""C"": 0.1}"
F3_LATE,0,development_oof,C-R0,0.4849999999999999,0.8799747676352718,,226064,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}"
F3_LATE,0,development_oof,C-H0,0.58,0.8766330422203017,,9150,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_leaf_nodes"": 31}"
F3_LATE,0,development_oof,C-M0,0.5449999999999999,0.8741670032271933,6.0,22529,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,0,development_oof,C-C0,0.615,0.8512411914336091,10.0,1665,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,0,development_oof,C-L1,0.605,0.8719189933668099,12.0,12865,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,0,development_oof,C-H1,0.5549999999999999,0.8736777666147312,10.0,18593,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,0,development_oof,C-H2,0.4949999999999999,0.8755912146435023,9.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
F3_LATE,1,development_oof,C-O0,0.5,,,1,"{""rule"": ""train_prevalence""}"
F3_LATE,1,development_oof,C-L0,0.6849999999999999,0.8743441138390595,,703,"{""C"": 0.1}"
F3_LATE,1,development_oof,C-R0,0.4749999999999999,0.8853400832372164,,183542,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}"
F3_LATE,1,development_oof,C-H0,0.59,0.8851974777083809,,4350,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
F3_LATE,1,development_oof,C-M0,0.5449999999999999,0.8783965388175154,7.0,22529,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,1,development_oof,C-C0,0.58,0.8616545249926681,12.0,1665,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,1,development_oof,C-L1,0.4549999999999999,0.876864053328557,9.0,12865,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,1,development_oof,C-H1,0.5249999999999999,0.8778693875531693,6.0,18593,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,1,development_oof,C-H2,0.5499999999999999,0.8806840186980422,11.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
F3_LATE,2,development_oof,C-O0,0.5,,,1,"{""rule"": ""train_prevalence""}"
F3_LATE,2,development_oof,C-L0,0.6549999999999999,0.869172329446961,,703,"{""C"": 0.1}"
F3_LATE,2,development_oof,C-R0,0.4699999999999999,0.8777207066344083,,220844,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}"
F3_LATE,2,development_oof,C-H0,0.615,0.8769080553052859,,4350,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}"
F3_LATE,2,development_oof,C-M0,0.5349999999999999,0.8740557018702714,7.0,22529,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,2,development_oof,C-C0,0.58,0.855845322626586,11.0,1665,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,2,development_oof,C-L1,0.605,0.8700760771318929,8.0,12865,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,2,development_oof,C-H1,0.6449999999999999,0.8694834096916535,9.0,18593,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}"
F3_LATE,2,development_oof,C-H2,0.615,0.8719667029826424,9.0,22113,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}"
