candidate_id,forecast_id,scope,seed,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-C0,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7172655572529494,0.7214777254617892,0.7170341388349273,0.6863422726016035,0.6792065663474692,0.6827557755775577,0.7548617113223854,0.7487141020145736,0.7499454931203535,0.7849101244787275,0.1877038003045682,0.557316035534244,0.043824623838214574,False,"[[6987, 2269], [2345, 4965]]"
C-C0,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8050170058086286,0.8165561191312264,0.8002592463410381,0.7986954158362022,0.7204968944099379,0.7575835696485348,0.8800215982721382,0.8265544172837002,0.8657529746479655,0.8858944713648145,0.13057641438676557,0.40872487024847753,0.047736696115264834,False,"[[8149, 1111], [1710, 4408]]"
C-C0,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.8635749882961584,0.8772424221595986,0.8545101349350929,0.8762620837808808,0.7712232936282851,0.8203942075623492,0.9377969762419006,0.8777036587831009,0.9171690128519223,0.9350764780564578,0.09365275415374456,0.30535781263826656,0.05226325153210142,False,"[[8684, 576], [1210, 4079]]"
C-H0,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7426136758627059,0.7491850778703368,0.7406352902158633,0.7386896656075049,0.6678522571819425,0.7014871758028594,0.8134183232497839,0.7561514512403334,0.8072946291539354,0.8205929647290566,0.16994087215769182,0.5109700298092469,0.03749862116707412,False,"[[7529, 1727], [2428, 4882]]"
C-H0,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8236186771919145,0.833593445181428,0.8192034692798293,0.8175977155095484,0.7487741091860085,0.7816739186076274,0.8896328293736501,0.8427621483375959,0.8905754087148501,0.904841977466909,0.11800320590692231,0.37228910018468186,0.044108855208280166,False,"[[8238, 1022], [1537, 4581]]"
C-H0,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.879239315050065,0.8912640043989277,0.8699441299375574,0.8969800813878774,0.7918321043675554,0.8411327575818437,0.9480561555075594,0.8885627530364373,0.9330595615624035,0.9464549370366875,0.08131059978421706,0.26600238171038226,0.026818976597618692,False,"[[8779, 481], [1101, 4188]]"
C-H1,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7229279311474301,0.7276952794881082,0.722252966833655,0.6975857687420585,0.675923392612859,0.6865837559924963,0.7685825410544511,0.7501845407571444,0.7643640686686606,0.7950648494207034,0.18296095291584846,0.5460366823525119,0.03857552345185934,False,"[[7114, 2142], [2369, 4941]]"
C-H1,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8162676844132046,0.8235141110677592,0.8170457425844637,0.7742507251047374,0.7853873814972213,0.7797792924375203,0.8487041036717062,0.8568469254252071,0.8851236575082712,0.8996470952477447,0.12520400325745035,0.3912027386156273,0.06282986942298359,False,"[[7859, 1401], [1313, 4805]]"
C-H1,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.873002309143394,0.8845281462643481,0.8668822614440419,0.8700020504408448,0.8022310455662696,0.8347432618532363,0.9315334773218142,0.8918527708850289,0.9290797346978689,0.9428595026067795,0.08629658404024593,0.2820924059354897,0.04051605189743767,False,"[[8626, 634], [1046, 4243]]"
C-H2,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7426731199813962,0.7480381504285887,0.7413058206338152,0.7284382284382285,0.6839945280437757,0.7055171440666008,0.7986171132238548,0.7619047619047619,0.7973553714815242,0.8144811676856627,0.1721222701832048,0.5185795607518372,0.03185276548419434,False,"[[7392, 1864], [2310, 5000]]"
C-H2,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.814881132300944,0.8218233840551437,0.816335114243492,0.7688634192932188,0.7894736842105263,0.7790322580645161,0.8431965442764578,0.8583992963940194,0.8856320122845781,0.8993486186355173,0.12436792690505721,0.3895638537932928,0.06505135108257364,False,"[[7808, 1452], [1288, 4830]]"
C-H2,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.8703589066265139,0.8803354182418036,0.8693857662118738,0.8395865237366003,0.8292682926829268,0.8343955103205555,0.9095032397408207,0.9031635388739946,0.9311090312427555,0.9450968675767425,0.0881335248777643,0.28694613227940097,0.05713872204573952,False,"[[8422, 838], [903, 4386]]"
C-L0,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.7435834795889827,0.7508149221296632,0.7413172599545738,0.7457522397281433,0.6604651162790698,0.7005223447475334,0.8221694036300777,0.7540626238604835,0.8019006096312026,0.820652304358056,0.16998220133232025,0.5131866276742547,0.03920812593734125,False,"[[7610, 1646], [2482, 4828]]"
C-L0,F2_MIDDLE,development_oof,42,15378,0.39784107166081417,fold_specific,0.8257182665392502,0.8362595916243984,0.8202526164693356,0.8285870755750274,0.7419091206276561,0.7828561572956192,0.8985961123110151,0.8405050505050505,0.8874514772495355,0.9026935530675689,0.12031430118823397,0.3807353469581117,0.04660768049493648,False,"[[8321, 939], [1579, 4539]]"
C-L0,F3_LATE,development_oof,42,14549,0.36353013952848995,fold_specific,0.8768317082243591,0.8896144064884185,0.8662158246852447,0.9026897004154821,0.7804878048780488,0.83715270736159,0.9519438444924406,0.8836206896551724,0.9284814448350979,0.942314032914803,0.0867126465711288,0.28785922812851794,0.04352045600811432,False,"[[8815, 445], [1161, 4128]]"
C-L1,F1_EARLY,development_oof,42,16566,0.4412652420620548,fold_specific,0.725508345676626,0.7317397078353254,0.7240315447398633,0.71198224852071,0.6584131326949384,0.6841506751954514,0.7896499567847882,0.7453599836834591,0.7645309279417211,0.7966878880353573,0.18115845111837778,0.5412478035410099,0.023837007150426373,False,"[[7309, 1947], [2497, 4813]]"
