candidate_id,forecast_id,scope,code_presentation,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-C0,F1_EARLY,development_oof,2013B,3940,0.4766497461928934,record_specific,0.7265614750614242,0.7314720812182741,0.726798841865947,0.7672750977835724,0.626730564430245,0.6899179366940211,0.8268671193016489,0.7086450540315877,0.8050944558058568,0.8055229318186279,0.17932723393673158,0.5363211769555846,0.02765795394948444,False,"[[1705, 357], [701, 1177]]"
C-C0,F1_EARLY,development_oof,2013J,6851,0.39935775799153406,record_specific,0.7076342495209412,0.7168296599036637,0.7098942678689433,0.6372413793103449,0.6754385964912281,0.6557842441447835,0.7443499392466586,0.7752467729688687,0.7077679585704206,0.7765564935018795,0.19066672586471875,0.5647801271675595,0.07502289586516302,False,"[[3063, 1052], [888, 1848]]"
C-C0,F1_EARLY,development_oof,2014B,5775,0.46683982683982683,record_specific,0.7195185109848338,0.7201731601731601,0.7201365524858259,0.6928571428571428,0.7195845697329377,0.7059679767103348,0.7206885352387139,0.7458823529411764,0.7651889088039142,0.7860188021082802,0.18990374289793358,0.5627849967498413,0.05035221932512342,False,"[[2219, 860], [756, 1940]]"
C-C0,F1_EARLY,future_presentation,2014J,8934,0.3892993060219387,record_specific,0.652159440483244,0.6549138124020596,0.667954383143985,0.5423728813559322,0.7268545140885566,0.6212065364295368,0.6090542521994134,0.7776737655043295,0.5531297882908932,0.7136511823797342,0.23285721389189531,0.689443968738936,0.13513575587609294,False,"[[3323, 2133], [950, 2528]]"
C-C0,F2_MIDDLE,development_oof,2013B,3621,0.4299917149958575,record_specific,0.8036712334359464,0.812206572769953,0.7986699227793461,0.8349885408708938,0.7019910083493899,0.7627355198883461,0.8953488372093024,0.7993079584775087,0.878301878232894,0.8870784852603646,0.13213064732666388,0.4105032624534972,0.03199018473029385,False,"[[1848, 216], [464, 1093]]"
C-C0,F2_MIDDLE,development_oof,2013J,6399,0.35677449601500233,record_specific,0.8038741662214297,0.8227848101265823,0.7994337025217446,0.7698449976514796,0.7179150240911082,0.742973708068903,0.8809523809523809,0.8491803278688524,0.8472627437512074,0.8831713744254976,0.12841012941953056,0.40545458100339504,0.06431300280600259,False,"[[3626, 490], [644, 1639]]"
C-C0,F2_MIDDLE,development_oof,2014B,5358,0.4251586412840612,record_specific,0.8052878288734715,0.8120567375886525,0.8021197963581634,0.8053820278712157,0.7357330992098332,0.7689837118605185,0.8685064935064936,0.8162953921269454,0.8785776920735744,0.8875461785799802,0.1321132154375243,0.4114286818768662,0.04525914269778634,False,"[[2675, 405], [602, 1676]]"
C-C0,F2_MIDDLE,future_presentation,2014J,8164,0.3317001469867712,record_specific,0.7472278884466661,0.7654336109750123,0.7613609290599808,0.6214395099540582,0.7492614475627769,0.679390590992801,0.7734604105571847,0.8614002857726066,0.7585525356332026,0.843363769292246,0.16878676995759145,0.5179519118333838,0.1245038112263172,False,"[[4220, 1236], [679, 2029]]"
C-C0,F3_LATE,development_oof,2013B,3379,0.3891683930156851,record_specific,0.8523237447245635,0.8662326131991713,0.8394512482683409,0.9201557935735151,0.7186311787072244,0.807002561912895,0.9602713178294574,0.842687074829932,0.9207243146819493,0.9343306953164148,0.09380638434475697,0.30367119941152054,0.017306766715854363,False,"[[1982, 82], [370, 945]]"
C-C0,F3_LATE,development_oof,2013J,6122,0.3276706958510291,record_specific,0.8648647546351598,0.884188173799412,0.8554794799275642,0.8600777345918934,0.7721834496510469,0.8137641187286577,0.9387755102040817,0.8942374450358713,0.9087611471700785,0.9345203577799157,0.09159179768886207,0.3014667737187117,0.06585300441926277,False,"[[3864, 252], [457, 1549]]"
C-C0,F3_LATE,development_oof,2014B,5048,0.3898573692551506,record_specific,0.8680595066261938,0.876188589540412,0.8634073751451801,0.8675424192665572,0.8053861788617886,0.8353096179183136,0.9214285714285714,0.8810928283141881,0.9281028657044733,0.9392499142118045,0.09604935856392277,0.31120567443673924,0.06384888668408063,False,"[[2838, 242], [383, 1585]]"
C-C0,F3_LATE,future_presentation,2014J,7613,0.2833311440956259,record_specific,0.8235261153188683,0.859056876395639,0.8182719734017458,0.765686274509804,0.7241539174779786,0.744341196092447,0.9123900293255132,0.8932352413421856,0.8516509680306703,0.9152140714879062,0.10695540828804864,0.3421819412886842,0.07700932042620139,False,"[[4978, 478], [595, 1562]]"
C-H0,F1_EARLY,development_oof,2013B,3940,0.4766497461928934,record_specific,0.7458004459896372,0.7477157360406091,0.7452874624654868,0.7569767441860465,0.6932907348242812,0.7237354085603113,0.7972841901066925,0.7405405405405405,0.8337009585332549,0.8296741379328155,0.16759800178670747,0.5023976784182177,0.027376496745241754,False,"[[1644, 418], [576, 1302]]"
C-H0,F1_EARLY,development_oof,2013J,6851,0.39935775799153406,record_specific,0.7415139662696666,0.758283462268282,0.7368694176206008,0.7278481012658228,0.6304824561403509,0.6756756756756757,0.8432563791008505,0.7743807185896006,0.7818213743342131,0.8184783863770402,0.1663723398851131,0.5038912522613456,0.04329560433244228,False,"[[3470, 645], [1011, 1725]]"
C-H0,F1_EARLY,development_oof,2014B,5775,0.46683982683982683,record_specific,0.7369201675998369,0.7393939393939394,0.7362009732822037,0.7364033346566098,0.6880563798219584,0.7114093959731543,0.7843455667424488,0.7417076167076168,0.8130052287486098,0.8126644383364672,0.17577272044533085,0.5252162236553644,0.044028408015183665,False,"[[2415, 664], [841, 1855]]"
C-H0,F1_EARLY,future_presentation,2014J,8934,0.3892993060219387,record_specific,0.6709594226336444,0.6788672487127826,0.6777675320700371,0.5747973470891673,0.6728004600345026,0.6199496622069148,0.6827346041055719,0.7659880732058401,0.6677266038365056,0.7528258373960159,0.21412655103431955,0.6261748737185996,0.10202892827110478,False,"[[3725, 1731], [1138, 2340]]"
C-H0,F2_MIDDLE,development_oof,2013B,3621,0.4299917149958575,record_specific,0.8188388717254738,0.824081745374206,0.816264880285582,0.8176795580110497,0.76043673731535,0.7880199667221298,0.872093023255814,0.8283479061205706,0.8963137616287722,0.9010622818678337,0.12364452857534707,0.3849943244874722,0.039183835122265614,False,"[[1800, 264], [373, 1184]]"
C-H0,F2_MIDDLE,development_oof,2013J,6399,0.35677449601500233,record_specific,0.8309053373338104,0.8499765588373184,0.8211559262338313,0.8362989323843416,0.7205431449846693,0.7741176470588236,0.9217687074829932,0.8560469314079422,0.8835378288248273,0.9095625140738981,0.10859037496071908,0.34921100205323313,0.03900118326193205,False,"[[3794, 322], [638, 1645]]"
C-H0,F2_MIDDLE,development_oof,2014B,5358,0.4251586412840612,record_specific,0.8153373578145993,0.8204553938036581,0.8137686282111216,0.8007312614259597,0.7690956979806848,0.7845947156291984,0.8584415584415584,0.8340694006309148,0.8939347913457868,0.8996306426233994,0.12543237273080968,0.3912646755379363,0.05388861639066776,False,"[[2644, 436], [526, 1752]]"
C-H0,F2_MIDDLE,future_presentation,2014J,8164,0.3317001469867712,record_specific,0.7663104710018236,0.7803772660460558,0.7869556424539867,0.63249348392702,0.8064992614475628,0.7089758156143483,0.7674120234604106,0.8887709615792825,0.8240014184476727,0.8743673708182989,0.14813817617938513,0.45145484325880275,0.1167392081207901,False,"[[4187, 1269], [524, 2184]]"
C-H0,F3_LATE,development_oof,2013B,3379,0.3891683930156851,record_specific,0.8689451257125815,0.8789582716780112,0.8599404604002712,0.9008849557522124,0.7741444866920152,0.832719836400818,0.9457364341085271,0.8679413072476656,0.9330919126514027,0.9426599758304595,0.08734619256926662,0.28147079206810394,0.015280931624509048,False,"[[1952, 112], [297, 1018]]"
C-H0,F3_LATE,development_oof,2013J,6122,0.3276706958510291,record_specific,0.8812896334460252,0.8992159425024502,0.868444229992239,0.8998272884283247,0.7791625124626121,0.8351589633983436,0.9577259475218659,0.8989737742303306,0.92690829788989,0.9483195820701161,0.07581351597241207,0.25007554135316024,0.025159185244408983,False,"[[3942, 174], [443, 1563]]"
C-H0,F3_LATE,development_oof,2014B,5048,0.3898573692551506,record_specific,0.8823143257039492,0.8898573692551506,0.8766266761693591,0.8917869034406215,0.8165650406504065,0.8525198938992042,0.9366883116883117,0.8887861983980283,0.9397062331989684,0.9462079967796431,0.08393716061527648,0.27496362538474267,0.03655516848123344,False,"[[2885, 195], [361, 1607]]"
C-H0,F3_LATE,future_presentation,2014J,7613,0.2833311440956259,record_specific,0.8573871732507862,0.8878234598712729,0.8466111324107422,0.8359979370809696,0.75150672229949,0.79150390625,0.9417155425219942,0.9055340148043708,0.8906208476826692,0.9322390053117652,0.08485107108224894,0.2798718930810181,0.03540999796105756,False,"[[5138, 318], [536, 1621]]"
C-H1,F1_EARLY,development_oof,2013B,3940,0.4766497461928934,record_specific,0.7287578258510233,0.73248730964467,0.7286002919092788,0.7575,0.645367412140575,0.6969522714203565,0.8118331716779825,0.7153846153846154,0.804579706299483,0.807064597065,0.1781725550067763,0.5316734504925855,0.01976700705963041,False,"[[1674, 388], [666, 1212]]"
C-H1,F1_EARLY,development_oof,2013J,6851,0.39935775799153406,record_specific,0.7138451747137365,0.7244197927309882,0.7146815689994528,0.6515368120085776,0.6663011695906432,0.6588362847849657,0.7630619684082625,0.7747347643720701,0.7256490250005946,0.7893636353946836,0.18431680442769816,0.5502075387328615,0.06387394373313977,False,"[[3140, 975], [913, 1823]]"
