forecast_id,outer_fold,scope,candidate_id,trial_id,state,inner_macro_f1,threshold,config,selected_epochs,refit_epochs
F1_EARLY,2,development_oof,C-L0,1,COMPLETE,0.7386298362412465,0.575,"{""C"": 1.0}",,
F1_EARLY,2,development_oof,C-L0,2,COMPLETE,0.7357318987259194,0.5549999999999999,"{""C"": 10.0}",,
F1_EARLY,2,development_oof,C-R0,0,COMPLETE,0.7324987423249878,0.4849999999999999,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",,
F1_EARLY,2,development_oof,C-R0,1,COMPLETE,0.7355551236304769,0.5049999999999999,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,
F1_EARLY,2,development_oof,C-H0,0,COMPLETE,0.7355711381320504,0.58,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",,
F1_EARLY,2,development_oof,C-H0,1,COMPLETE,0.736469877992199,0.5199999999999999,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_leaf_nodes"": 31}",,
F1_EARLY,2,development_oof,C-M0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.7274604487953117,0.5599999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[5, 7]",6.0
F1_EARLY,2,development_oof,C-C0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.7107432043383095,0.5049999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[8, 11]",9.0
F1_EARLY,2,development_oof,C-L1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.7174437000578553,0.5149999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[11, 11]",11.0
F1_EARLY,2,development_oof,C-H1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.7182805569937338,0.5299999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[7, 11]",9.0
F1_EARLY,2,development_oof,C-H2,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.7380519697877693,0.4899999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}","[11, 11]",11.0
F2_MIDDLE,0,development_oof,C-L0,0,COMPLETE,0.8170090141250623,0.5349999999999999,"{""C"": 0.1}",,
F2_MIDDLE,0,development_oof,C-L0,1,COMPLETE,0.8200852132320297,0.585,"{""C"": 1.0}",,
F2_MIDDLE,0,development_oof,C-L0,2,COMPLETE,0.8200215251199277,0.6,"{""C"": 10.0}",,
