phase,architecture_id,outer_fold,seed,inner_fold,stage,gate_mean,gate_std,gate_fraction_near_zero,gate_fraction_near_one,aggregate_gate_mean,aggregate_gate_std,aggregate_gate_fraction_near_zero,aggregate_gate_fraction_near_one,static_gate_mean,static_gate_std,static_gate_fraction_near_zero,static_gate_fraction_near_one,temporal_norm_mean,temporal_norm_std,aggregate_norm_mean,aggregate_norm_std,static_norm_mean,static_norm_std,gamma_mean,gamma_std,gamma_max_abs,beta_mean,beta_std,beta_max_abs
screening,A0_SCALAR_GATE,0,42,0,E1_EARLY_20PCT,0.5643532872200012,0.13495156168937683,0.0,0.0,0.552553653717041,0.15250949561595917,0.0,0.0,0.5761528611183167,0.11351761221885681,0.0,0.0,4.947620868682861,0.45322927832603455,4.326059341430664,0.6413525938987732,3.5941405296325684,0.7503204941749573,,,,,,
screening,A0_SCALAR_GATE,0,42,0,E2_EARLY_35PCT,0.5912652015686035,0.14666171371936798,0.0,0.0,0.6402949094772339,0.15787272155284882,0.0,0.0,0.5422354340553284,0.11527225375175476,0.0,0.0,5.048311233520508,0.47630229592323303,4.399916172027588,0.7621989250183105,3.5978848934173584,0.7576677799224854,,,,,,
screening,A0_SCALAR_GATE,0,42,0,M1_MIDDLE_FROZEN,0.5824850797653198,0.18385227024555206,0.0,0.0,0.7137564420700073,0.13332921266555786,0.0,0.0,0.4512138366699219,0.12394488602876663,0.0,0.0,5.2144694328308105,0.47883331775665283,4.747344017028809,0.8907846808433533,3.6038589477539062,0.7638062238693237,,,,,,
screening,A0_SCALAR_GATE,0,42,0,L1_LATE_75PCT,0.5787121057510376,0.24618330597877502,0.0,0.00010227040294538761,0.799640417098999,0.09145867824554443,0.0,0.00020454080589077522,0.35778385400772095,0.12340649962425232,0.0,0.0,5.3174614906311035,0.4692287743091583,4.997984886169434,1.0397626161575317,3.608130931854248,0.7706030607223511,,,,,,
screening,A0_SCALAR_GATE,0,42,1,E1_EARLY_20PCT,0.7257373929023743,0.10322452336549759,0.0,0.0,0.7124618291854858,0.07984434068202972,0.0,0.0,0.7390130162239075,0.12076011300086975,0.0,0.0,4.36875057220459,0.2503158450126648,4.739902019500732,0.6768865585327148,3.378887176513672,0.6006739735603333,,,,,,
screening,A0_SCALAR_GATE,0,42,1,E2_EARLY_35PCT,0.7327751517295837,0.11244071274995804,0.0,0.0,0.7651312351226807,0.07892679423093796,0.0,0.0,0.700419008731842,0.13024036586284637,0.0,0.0,4.3321709632873535,0.281669944524765,4.736109256744385,0.676215648651123,3.384382724761963,0.6061904430389404,,,,,,
screening,A0_SCALAR_GATE,0,42,1,M1_MIDDLE_FROZEN,0.7112578749656677,0.15211012959480286,0.0,0.0,0.8174982666969299,0.06681027263402939,0.0,0.0,0.6050175428390503,0.1386987566947937,0.0,0.0,4.365267753601074,0.30437639355659485,4.92296838760376,0.7009941935539246,3.3855857849121094,0.6096540689468384,,,,,,
screening,A0_SCALAR_GATE,0,42,1,L1_LATE_75PCT,0.6771218180656433,0.19997145235538483,0.0,0.0,0.8532896041870117,0.0558258518576622,0.0,0.0,0.500953733921051,0.12161550670862198,0.0,0.0,4.403662204742432,0.330064594745636,4.967540264129639,0.7263064980506897,3.389482259750366,0.6143192052841187,,,,,,
screening,A0_SCALAR_GATE,1,42,0,E1_EARLY_20PCT,0.8534018397331238,0.1394885629415512,0.0,0.3572204125950054,0.956040620803833,0.015737539157271385,0.0,0.7144408251900108,0.7507628798484802,0.13265357911586761,0.0,0.0,8.11563491821289,0.49247992038726807,5.239716529846191,0.5778341889381409,3.858757972717285,0.7777513265609741,,,,,,
screening,A0_SCALAR_GATE,1,42,0,E2_EARLY_35PCT,0.8446906208992004,0.14533886313438416,0.0,0.39975480950584685,0.959380567073822,0.014034044928848743,0.0,0.7995096190116937,0.7300006151199341,0.12546798586845398,0.0,0.0,8.166512489318848,0.3611445426940918,5.289007663726807,0.6411303281784058,3.862034559249878,0.7853748798370361,,,,,,
screening,A0_SCALAR_GATE,1,42,0,M1_MIDDLE_FROZEN,0.8082005381584167,0.17073336243629456,0.0,0.38165853658536586,0.958253026008606,0.014021236449480057,0.0,0.7633170731707317,0.6581480503082275,0.11433132737874985,0.0,0.0,8.116471290588379,0.3873448967933655,5.5547990798950195,0.8723753690719604,3.866765260696411,0.79117351770401,,,,,,
screening,A0_SCALAR_GATE,1,42,0,L1_LATE_75PCT,0.7505990862846375,0.2223079353570938,0.0,0.37279260780287476,0.9576588869094849,0.01449239905923605,0.0,0.7455852156057495,0.54353928565979,0.11350816488265991,0.0,0.0,8.010356903076172,0.4510112702846527,5.6347455978393555,1.1257047653198242,3.867717742919922,0.797096312046051,,,,,,
screening,A0_SCALAR_GATE,1,42,1,E1_EARLY_20PCT,0.8833447098731995,0.09797687083482742,0.0,0.18295331161780673,0.9364935755729675,0.027692385017871857,0.0,0.35414404632645674,0.8301958441734314,0.11305953562259674,0.0,0.011762576909156714,9.163082122802734,0.3295225203037262,5.530174255371094,0.8489422798156738,3.6349847316741943,0.7063015103340149,,,,,,
screening,A0_SCALAR_GATE,1,42,1,E2_EARLY_35PCT,0.8607391119003296,0.12627914547920227,0.0,0.2543055035567203,0.9436119198799133,0.026748694479465485,0.0,0.5074878322725571,0.7778664231300354,0.1320665031671524,0.0,0.0011231748408835642,9.18841552734375,0.4013495445251465,5.343352794647217,0.7446490526199341,3.640793800354004,0.7126899361610413,,,,,,
screening,A0_SCALAR_GATE,1,42,1,M1_MIDDLE_FROZEN,0.8129488229751587,0.16922853887081146,0.0,0.2900466562986003,0.9476593732833862,0.024483125656843185,0.0,0.5800933125972006,0.6782382130622864,0.14277014136314392,0.0,0.0,9.141121864318848,0.48123225569725037,5.360936164855957,0.6975389719009399,3.643484115600586,0.7182430028915405,,,,,,
screening,A0_SCALAR_GATE,1,42,1,L1_LATE_75PCT,0.7302051186561584,0.24347320199012756,0.0,0.34856850715746424,0.9544386863708496,0.019036173820495605,0.0,0.6971370143149285,0.5059714913368225,0.13279545307159424,0.0,0.0,9.025349617004395,0.5477644801139832,5.171655654907227,1.04069983959198,3.647563934326172,0.7254230380058289,,,,,,
screening,A0_SCALAR_GATE,2,42,0,E1_EARLY_20PCT,0.7916319966316223,0.10905629396438599,0.0,0.00362844702467344,0.8050903677940369,0.09427925199270248,0.0,0.00181422351233672,0.7781734466552734,0.12056415528059006,0.0,0.00544267053701016,4.792486190795898,0.48898303508758545,5.560328483581543,0.6837489008903503,3.8128833770751953,0.7401961088180542,,,,,,
screening,A0_SCALAR_GATE,2,42,0,E2_EARLY_35PCT,0.8056283593177795,0.11625012010335922,0.0,0.016348516348516348,0.8551521897315979,0.07941792905330658,0.0,0.02494802494802495,0.7561044096946716,0.12576065957546234,0.0,0.007749007749007749,4.819482803344727,0.45593202114105225,5.4839768409729,0.6843056678771973,3.81868839263916,0.747695803642273,,,,,,
screening,A0_SCALAR_GATE,2,42,0,M1_MIDDLE_FROZEN,0.7895152568817139,0.15207214653491974,0.0,0.06782149148561362,0.8961324095726013,0.05738072469830513,0.0,0.13055392444705421,0.6828981041908264,0.14221419394016266,0.0,0.005089058524173028,4.9174933433532715,0.42541638016700745,5.842467308044434,0.72371906042099,3.82621431350708,0.7515652179718018,,,,,,
screening,A0_SCALAR_GATE,2,42,0,L1_LATE_75PCT,0.7454876899719238,0.21229763329029083,0.0,0.1421830118998769,0.9269439578056335,0.042637407779693604,0.0,0.2843660237997538,0.5640313625335693,0.14989930391311646,0.0,0.0,4.970874309539795,0.39863744378089905,6.101558208465576,0.9149585366249084,3.827575206756592,0.7537110447883606,,,,,,
screening,A0_SCALAR_GATE,2,42,1,E1_EARLY_20PCT,0.6934453248977661,0.22564664483070374,0.0009972801450589303,0.05956482320942883,0.721723735332489,0.25631192326545715,0.0019945602901178605,0.11477787851314597,0.6651669144630432,0.18584315478801727,0.0,0.004351767905711695,5.468570709228516,0.5744037628173828,5.557666778564453,0.7490190863609314,3.871929883956909,0.7267054915428162,,,,,,
screening,A0_SCALAR_GATE,2,42,1,E2_EARLY_35PCT,0.7403258085250854,0.19906103610992432,0.0,0.12721280602636534,0.8252493739128113,0.19432079792022705,0.0,0.25404896421845574,0.6554022431373596,0.16451744735240936,0.0,0.0003766478342749529,5.505919933319092,0.5747936964035034,5.516447067260742,0.9411565661430359,3.8735713958740234,0.7294830083847046,,,,,,
screening,A0_SCALAR_GATE,2,42,1,M1_MIDDLE_FROZEN,0.741848349571228,0.23020172119140625,0.0,0.29853515625,0.926417350769043,0.08966323733329773,0.0,0.5970703125,0.5572794675827026,0.1726696640253067,0.0,0.0,5.632033348083496,0.5595189332962036,5.985215187072754,1.2442131042480469,3.8739616870880127,0.7323305010795593,,,,,,
