architecture_id,fusion,architecture_hash,backbone_hash,total_parameter_count,trainable_parameter_count,temporal_backbone_parameters,fusion_parameters,head_parameters,delta_vs_control,percentage_delta,within_ten_percent,representation_dim
A0_SCALAR_GATE,gated_residual,6a74c9970877cd74dd20ed44a5670f62c073c5d1e261458df12a7f8c05dedc81,ddc6800df7975a4689af94eef76daf134e78ffb3452b4ed662a743ae00e97b20,150202,150202,126432,386,5848,0,0.0,True,64
A1_VECTOR_GATE,vector_gate,c9afd55a52b1e7bbd92160e303dbbccd986af572e17e4a0ddcddaf65debe1a3f,ddc6800df7975a4689af94eef76daf134e78ffb3452b4ed662a743ae00e97b20,155080,155080,126432,5264,5848,4878,3.247626529606796,True,64
A2_CONCAT_MLP,concat_mlp,90fa7e65a240c79a2683dd1abac99f2b59844468c0b30f2625f2bca8ebe456fb,ddc6800df7975a4689af94eef76daf134e78ffb3452b4ed662a743ae00e97b20,162600,162600,126432,12784,5848,12398,8.254217653559873,True,64
A3_FILM,film,e5d0961be81c02a1b7f923992b75b2ad71141a9732f42b8211c6316db41f7243,ddc6800df7975a4689af94eef76daf134e78ffb3452b4ed662a743ae00e97b20,154056,154056,126432,4240,5848,3854,2.5658779510259517,True,64
