architecture_id,outer_fold,seed,stage,macro_f1,pr_auc,nll,brier,ece,roc_auc,research_threshold
A0_SCALAR_GATE,0,42,E1_EARLY_20PCT,0.7070999065274546,0.7604169197282132,0.5605765532521733,0.19055616394636052,0.047470171323709544,0.7748032569536332,0.5273538827896118
A0_SCALAR_GATE,0,42,E2_EARLY_35PCT,0.7455952849492972,0.8096579469794853,0.493280808693322,0.16418082758372995,0.03157779674882943,0.8230327767152965,0.5372613668441772
A0_SCALAR_GATE,0,42,M1_MIDDLE_FROZEN,0.7962929843002534,0.85720052645343,0.41528084324084535,0.13402128043581457,0.010651777333731207,0.8709137429795863,0.4707251191139221
A0_SCALAR_GATE,0,42,L1_LATE_75PCT,0.8466186560637885,0.900089730743908,0.32332563254697305,0.10012962767041612,0.007758642146931864,0.9137454071020047,0.444876104593277
A0_SCALAR_GATE,1,42,E1_EARLY_20PCT,0.709862602569151,0.7585345818240028,0.5565743110650753,0.1880916294624477,0.02922147679352649,0.7754484529963416,0.4998064935207367
A0_SCALAR_GATE,1,42,E2_EARLY_35PCT,0.7488325473081789,0.8070583094906006,0.4926413089818721,0.16289522741444354,0.015155328142294665,0.8225605855513705,0.47495028376579285
A0_SCALAR_GATE,1,42,M1_MIDDLE_FROZEN,0.7952145245697229,0.8571197526111782,0.41593988313303176,0.13390406040982175,0.01753672306029634,0.8696546984362281,0.40862560272216797
A0_SCALAR_GATE,1,42,L1_LATE_75PCT,0.8538355266264044,0.904710928602724,0.3156084798510469,0.0967564959707177,0.009276475464986233,0.9167331382135918,0.4600236117839813
A0_SCALAR_GATE,2,42,E1_EARLY_20PCT,0.7073840317712087,0.7572683319987077,0.5573578773734157,0.18898533789806435,0.032546263009409784,0.7731924702997717,0.46791625022888184
A0_SCALAR_GATE,2,42,E2_EARLY_35PCT,0.7439237875902902,0.8016036225042045,0.4965600275298583,0.16504380240540886,0.024538721705470355,0.8195669381861211,0.4776771068572998
A0_SCALAR_GATE,2,42,M1_MIDDLE_FROZEN,0.7936348783959404,0.8511313179199981,0.4184377772079355,0.1352390174924952,0.013373969334179205,0.8671308570276575,0.4603150188922882
A0_SCALAR_GATE,2,42,L1_LATE_75PCT,0.8487775089467369,0.8971745704802079,0.32492775912770877,0.10000680150640245,0.012656614098687957,0.9102177468448079,0.558915376663208
A1_VECTOR_GATE,0,42,E1_EARLY_20PCT,0.7106641754750156,0.7614568606535601,0.561561733257472,0.1908580001558494,0.05299834621010038,0.7751761441116072,0.5047498941421509
A1_VECTOR_GATE,0,42,E2_EARLY_35PCT,0.7458125491840066,0.8085020011459451,0.49512469513685003,0.16487963917322843,0.03172911267167438,0.8214939412036854,0.48786383867263794
A1_VECTOR_GATE,0,42,M1_MIDDLE_FROZEN,0.7952162743915321,0.8555911816820206,0.4174960129738856,0.13480633660727165,0.00992096923066524,0.8690744144044232,0.467461496591568
A1_VECTOR_GATE,0,42,L1_LATE_75PCT,0.844770970622463,0.8996373180594224,0.3248054285425708,0.10067749768385625,0.008936677416279525,0.9132010353443081,0.4712570309638977
A1_VECTOR_GATE,1,42,E1_EARLY_20PCT,0.7071140240872631,0.7543074411734494,0.5594564590687252,0.18945207587684734,0.025244393337071694,0.7716492102482195,0.5001956224441528
A1_VECTOR_GATE,1,42,E2_EARLY_35PCT,0.7455590025044709,0.8047839787415988,0.4938279367804196,0.16370498224681643,0.01714110143737477,0.8219241694537088,0.4778805375099182
A1_VECTOR_GATE,1,42,M1_MIDDLE_FROZEN,0.7952860525792125,0.8569842731286559,0.41454579260754054,0.1338654820827402,0.011603868643814266,0.8705921205039819,0.461905837059021
A1_VECTOR_GATE,1,42,L1_LATE_75PCT,0.8519116531398062,0.9045202613986061,0.31598793918962625,0.09700679621490822,0.00834246438653132,0.9169564970681439,0.5281718373298645
A1_VECTOR_GATE,2,42,E1_EARLY_20PCT,0.7078097563156645,0.7566879236272936,0.5614761473432911,0.19043989461037905,0.04353991042073622,0.7719522940031296,0.4844798743724823
A1_VECTOR_GATE,2,42,E2_EARLY_35PCT,0.7446557236619553,0.8004314161647283,0.49961573318522284,0.16623826499910535,0.029671382281636523,0.8184694372195471,0.5190512537956238
A1_VECTOR_GATE,2,42,M1_MIDDLE_FROZEN,0.7915276188973479,0.8520449478843355,0.41936915952608544,0.13534645491424865,0.01889247295494676,0.8678263188985462,0.4464920163154602
A1_VECTOR_GATE,2,42,L1_LATE_75PCT,0.847808932839732,0.8997459596546264,0.32395416124692017,0.09959003296176348,0.01896637134157576,0.9131891424038006,0.40043550729751587
A2_CONCAT_MLP,0,42,E1_EARLY_20PCT,0.7005503792289463,0.7545284457203955,0.5604754656859305,0.19034381763735062,0.01786668819884181,0.7695397481489983,0.4948623776435852
A2_CONCAT_MLP,0,42,E2_EARLY_35PCT,0.74489374213719,0.8052652583076065,0.49725170533395285,0.1653536440833454,0.01830936319278621,0.8171985785458672,0.4552239775657654
A2_CONCAT_MLP,0,42,M1_MIDDLE_FROZEN,0.7957235350744221,0.8556569571295607,0.41872907978755847,0.13494342783227276,0.012128666820442927,0.8688135203859346,0.40600132942199707
A2_CONCAT_MLP,0,42,L1_LATE_75PCT,0.8442501837601069,0.8977845680702723,0.33096937814122734,0.10185719312555137,0.01450002355469795,0.9110685718794489,0.42815324664115906
A2_CONCAT_MLP,1,42,E1_EARLY_20PCT,0.7091376044500145,0.7581773393181646,0.5556732426231913,0.1880864897311854,0.02034244506100447,0.7739059403844701,0.4626578688621521
A2_CONCAT_MLP,1,42,E2_EARLY_35PCT,0.7464925802358946,0.8077744821955084,0.49150313108389176,0.16303793483635715,0.013159862525231953,0.8218842518879215,0.43279939889907837
A2_CONCAT_MLP,1,42,M1_MIDDLE_FROZEN,0.7988402198541797,0.8581984618354774,0.41788789658872605,0.13467061316997175,0.03134032862190378,0.8703667499420848,0.3842425048351288
A2_CONCAT_MLP,1,42,L1_LATE_75PCT,0.855767086787771,0.9055882657069207,0.31767785826480355,0.09735230134698629,0.024134551796329316,0.9166920264503146,0.40572142601013184
A2_CONCAT_MLP,2,42,E1_EARLY_20PCT,0.7050933426823728,0.7548838006384028,0.5582703313022053,0.18938709542992901,0.02948532990183587,0.7728480668434173,0.4684444069862366
