phase,architecture_id,stage,outer_fold,seed,inner_fold,gate_mean,gate_std,gate_fraction_near_zero,gate_fraction_near_one,aggregate_gate_mean,aggregate_gate_std,aggregate_gate_fraction_near_zero,aggregate_gate_fraction_near_one,static_gate_mean,static_gate_std,static_gate_fraction_near_zero,static_gate_fraction_near_one,temporal_norm_mean,temporal_norm_std,aggregate_norm_mean,aggregate_norm_std,static_norm_mean,static_norm_std,gamma_mean,gamma_std,gamma_max_abs,beta_mean,beta_std,beta_max_abs
confirmation,A0_SCALAR_GATE,E1_EARLY_20PCT,1.0,1613.5,0.5,0.738407681385676,0.13854038218657172,0.0,0.09181185542628191,0.7689160952965418,0.10595205131297307,0.0,0.1830343730055668,0.7078992823759714,0.1279997583478689,0.0,0.00058933784699705,5.82420551776886,0.3949955565234025,5.197942495346069,0.7083650479714075,3.6026761333147683,0.7133766462405523,,,,,,
confirmation,A0_SCALAR_GATE,E2_EARLY_35PCT,1.0,1613.5,0.5,0.7445308764775594,0.1477889859428008,0.0,0.10742530231220365,0.8113379329442978,0.09520805021747941,0.0,0.214299579497111,0.6777238299449285,0.13622206946214035,0.0,0.0005510251272963083,5.837467948595683,0.41160638878742856,5.060785412788391,0.7169757833083471,3.6082377831141152,0.7189362545808157,,,,,,
confirmation,A0_SCALAR_GATE,L1_LATE_75PCT,1.0,1613.5,0.5,0.698429803053538,0.2141067708532015,0.0,0.16174636455438782,0.8846526394287745,0.05503072248150901,0.0,0.3234927291087757,0.5122069840629896,0.1309939368317524,0.0,0.0,5.884483695030212,0.4325537122786045,5.458758552869161,1.046499381462733,3.6163403391838074,0.7281400511662165,,,,,,
confirmation,A0_SCALAR_GATE,M1_MIDDLE_FROZEN,1.0,1613.5,0.5,0.7303339342276255,0.17131323988238967,0.0,0.13266618530071256,0.854621484875679,0.07168285672863321,0.0,0.2651366726246113,0.6060463512937228,0.13704294028381503,0.0,0.00019569797681379166,5.87342894077301,0.4234882593154907,5.32268500328064,0.830295130610466,3.6122234066327414,0.723300114274025,,,,,,
confirmation,A1_VECTOR_GATE,E1_EARLY_20PCT,1.0,1613.5,0.5,0.5301743497451147,0.18728982036312417,0.0035087373417038836,0.005793818624709686,0.5371774261196455,0.18836052715778348,0.003543843454745468,0.006907693393986784,0.5231712261835734,0.184883426874876,0.003473631228662308,0.004679943855432597,5.672326664129893,0.42189998800555867,5.574748794237773,0.7875294387340546,3.654743770758311,0.7560742050409317,,,,,,
confirmation,A1_VECTOR_GATE,E2_EARLY_35PCT,1.0,1613.5,0.5,0.5283212860425314,0.1923782813052336,0.004170917553280586,0.006302230695679704,0.5401099175214767,0.1939418626328309,0.004196492590664857,0.008134114828017965,0.5165326297283173,0.18911683311065033,0.004145342515896281,0.004470346563341439,5.736247360706329,0.39948883031805354,5.502751270929973,0.8925056507190069,3.6606810092926025,0.7627338866392771,,,,,,
confirmation,A1_VECTOR_GATE,L1_LATE_75PCT,1.0,1613.5,0.5,0.5175377676884333,0.20908417428533232,0.009271283833103109,0.010259886922721641,0.5494387447834015,0.20993974183996514,0.008244772797415959,0.015141516167822942,0.4856368030110995,0.20216372609138486,0.01029779486879025,0.0053782576776203244,5.811803738276164,0.4152888283133507,6.059649149576823,1.34303680062294,3.6683881481488547,0.7733059922854105,,,,,,
confirmation,A1_VECTOR_GATE,M1_MIDDLE_FROZEN,1.0,1613.5,0.5,0.5233703951040903,0.19969867790738738,0.006367379010352245,0.008024272119896788,0.5448091924190521,0.20176202307144797,0.005965385949938451,0.011407876706303567,0.5019316871960958,0.19426099459330237,0.006769372070766034,0.00464066753349,5.7880789041519165,0.3932996541261673,5.875383575757344,1.1038256287574768,3.66439417997996,0.7677900592486063,,,,,,
confirmation,A2_CONCAT_MLP,E1_EARLY_20PCT,1.0,1613.5,0.5,,,,,,,,,,,,,4.877290368080139,0.35855603342254955,4.3767160177230835,0.5949197585384051,2.955768048763275,0.6757279510299364,,,,,,
confirmation,A2_CONCAT_MLP,E2_EARLY_35PCT,1.0,1613.5,0.5,,,,,,,,,,,,,4.924675186475118,0.39697540551424026,4.291313648223877,0.679795170823733,2.9614171584447226,0.6821695864200592,,,,,,
confirmation,A2_CONCAT_MLP,L1_LATE_75PCT,1.0,1613.5,0.5,,,,,,,,,,,,,5.029806931813558,0.4274270534515381,4.824734687805176,1.0889229973157246,2.9688741167386374,0.6927134916186333,,,,,,
confirmation,A2_CONCAT_MLP,M1_MIDDLE_FROZEN,1.0,1613.5,0.5,,,,,,,,,,,,,4.988176067670186,0.4055944172044595,4.6582028071085615,0.8890031725168228,2.9650228222211203,0.687153289715449,,,,,,
screening,A0_SCALAR_GATE,E1_EARLY_20PCT,1.0,42.0,0.5,0.7519857585430145,0.13505740960439042,0.00016621335750981666,0.10056116574115238,0.7807272970676422,0.1043958226218819,0.0003324267150196333,0.19752949559032504,0.7232441604137421,0.13106635833779967,0.0,0.0035928358919797335,6.142690896987915,0.43148906032244366,5.158974568049113,0.696297268072764,3.691930611928304,0.7169914841651917,,,,,,
screening,A0_SCALAR_GATE,E2_EARLY_35PCT,1.0,42.0,0.5,0.762570708990097,0.1410052652160326,0.0,0.1329369392395748,0.8314700325330099,0.09188683036093905,0.0,0.26433240674178854,0.6936713556448618,0.13222086926301316,0.0,0.0015414717373610168,6.176802158355713,0.42519867420196533,5.1281349658966064,0.7416093647480011,3.696225961049398,0.7231836418310801,,,,,,
screening,A0_SCALAR_GATE,L1_LATE_75PCT,1.0,42.0,0.5,0.7005220353603363,0.2354336902499199,0.0,0.2145790870438602,0.9099958141644796,0.04262410088752705,0.0,0.4291581740877204,0.4910482068856557,0.1415339149534702,0.0,0.0,6.249253670374553,0.45830609897772473,5.5279637177785235,1.054781476656596,3.702413558959961,0.7331825296084086,,,,,,
screening,A0_SCALAR_GATE,M1_MIDDLE_FROZEN,1.0,42.0,0.5,0.7410426537195841,0.17636636147896445,0.0,0.17301030676992993,0.8766194780667623,0.06428130157291884,0.0,0.3451724371191644,0.6054658691088358,0.13910482823848722,0.0,0.0008481764206955,6.2311428387959795,0.4394536962111791,5.402288357416789,0.8549375633398691,3.6999783515930176,0.727795422077179,,,,,,
screening,A1_VECTOR_GATE,E1_EARLY_20PCT,1.0,42.0,0.5,0.5209414660930634,0.18758530666430784,0.0022597971217523665,0.005220317437587767,0.5361035168170929,0.19062999884287513,0.0014747669848946831,0.007833333266359507,0.5057794898748398,0.18196640163660047,0.003044827258610017,0.0026073016088160503,5.76813006401062,0.4020702491203944,5.2844005425771075,0.7972503999869028,3.6233698527018228,0.7450487812360128,,,,,,
screening,A1_VECTOR_GATE,E2_EARLY_35PCT,1.0,42.0,0.5,0.5211955010890961,0.1887633303801218,0.002059394673059133,0.005204749657981066,0.5426548520723978,0.19252990682919816,0.0009820934474692,0.00827738517452656,0.49973610540231067,0.1814848830302556,0.0031366958986490667,0.0021321141414356332,5.784048716227214,0.43249017496903736,5.317176262537639,0.9038800895214081,3.626630504926046,0.7505991061528524,,,,,,
screening,A1_VECTOR_GATE,L1_LATE_75PCT,1.0,42.0,0.5,0.5200732052326202,0.20008984208106992,0.0018051314035731332,0.00635599789092825,0.5626907149950663,0.2038859650492668,0.00043919742764236667,0.010941125745872351,0.47745563089847565,0.18587103237708405,0.0031710653795039164,0.001770870035984186,5.827944119771321,0.4615192761023839,6.060963153839111,1.3627169728279114,3.630820155143738,0.7587003707885742,,,,,,
screening,A1_VECTOR_GATE,M1_MIDDLE_FROZEN,1.0,42.0,0.5,0.520856628815333,0.1936705410480499,0.0017198279307660668,0.005323823417659942,0.553582121928533,0.19773623595635093,0.0006000674637890499,0.009064605932419032,0.48813113073507947,0.18291115512450531,0.0028395883977430834,0.0015830409029008521,5.8116984367370605,0.4499175349871318,5.821065425872803,1.112958441178004,3.6292777061462402,0.7541041970252991,,,,,,
screening,A2_CONCAT_MLP,E1_EARLY_20PCT,1.0,42.0,0.5,,,,,,,,,,,,,4.892104466756185,0.4145368014772733,4.389309207598369,0.6704140355189642,3.0276362895965576,0.6360644896825155,,,,,,
screening,A2_CONCAT_MLP,E2_EARLY_35PCT,1.0,42.0,0.5,,,,,,,,,,,,,4.9093568325042725,0.4464336757858594,4.412251989046733,0.7107805411020914,3.031654477119446,0.6423588295777639,,,,,,
screening,A2_CONCAT_MLP,L1_LATE_75PCT,1.0,42.0,0.5,,,,,,,,,,,,,5.003263791402181,0.4652743265032768,5.150807857513428,1.0978947679201763,3.0370970567067466,0.6505248645941416,,,,,,
screening,A2_CONCAT_MLP,M1_MIDDLE_FROZEN,1.0,42.0,0.5,,,,,,,,,,,,,4.963815848032634,0.4494606653849284,4.896610260009766,0.9046029547850291,3.0352198282877603,0.6463530858357748,,,,,,
screening,A3_FILM,E1_EARLY_20PCT,1.0,42.0,0.5,,,,,,,,,,,,,6.653504451115926,0.3537541478872299,4.57916784286499,0.7100474635759989,3.544292688369751,0.7417900760968527,-0.031211297959089283,0.22783566763003668,1.807861566543579,-0.01026925956345315,0.2503194759289423,1.607583741346995
screening,A3_FILM,E2_EARLY_35PCT,1.0,42.0,0.5,,,,,,,,,,,,,6.727030992507935,0.3617744172612826,4.900775194168091,0.8700950344403585,3.5481178760528564,0.7470200558503469,-0.031905698279539735,0.2623623386025429,1.984362244606018,-0.005083848062592267,0.2916577359040578,1.7884613474210103
screening,A3_FILM,L1_LATE_75PCT,1.0,42.0,0.5,,,,,,,,,,,,,6.818074305852254,0.36028287559747696,6.356247742970784,1.6408457557360332,3.5529799461364746,0.7560144464174906,-0.02737101726233958,0.41446737945079803,2.7152459224065146,0.016597565263509733,0.4645932962497075,2.436954836050669
screening,A3_FILM,M1_MIDDLE_FROZEN,1.0,42.0,0.5,,,,,,,,,,,,,6.781315406163533,0.35940156131982803,5.7547660668691,1.3039913177490234,3.550684094429016,0.7512695888678232,-0.03264266066253183,0.34273135165373486,2.464795470237732,0.0054802965993682486,0.38540920118490857,2.1911292672157288
