stage,macro_f1_control,macro_f1_numerical_winner,delta_macro_f1,delta_pr_auc,delta_nll
20%,0.7055257535373896,0.7046561849399101,-0.000869568597479442,-2.944390730341695e-05,0.0016769630787510925
35%,0.7442644746029052,0.744451595929161,0.00018712132625575695,-0.000408312084528184,0.0011657656959441764
50%,0.7933912377706053,0.7944447940764422,0.0010535563058369224,-0.00018118977138348313,0.0003107529858218938
75%,0.8493202929751678,0.8507161680375717,0.0013958750624039062,0.0005706459785606022,-0.00025481325602777494
