outer_fold,seed,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
0.0,42,0.4476509690284729,0.8123046875,0.7954874536649204,0.8070010295314363,0.7954874536649204,0.8000198260131193,0.8105137502461994,0.7883251500272777,0.7160555004955401,0.750454427421449,0.8256769090355948,0.8749194068343005,0.8495852246047895,0.8749194068343005,0.8631851618956652,0.8781235642595109,0.1309465948496345,0.4121340182044337,0.029235671108472153,2714,388,573,1445,5120,2018,3102,1.0
0.0,1201,0.4476509690284729,0.813671875,0.7860525419515783,0.8199222599638814,0.7860525419515783,0.7956626506024096,0.8085060711596386,0.8362831858407079,0.655599603567889,0.735,0.8035613340870549,0.9165054803352676,0.8563253012048193,0.9165054803352676,0.8605648753252193,0.8764835053186697,0.13161355714690293,0.4107460591490669,0.03165470794192515,2843,259,695,1323,5120,2018,3102,1.0
0.0,2026,0.4476509690284729,0.81171875,0.7923197987934508,0.8082773622579182,0.7923197987934508,0.7981384343164661,0.8092235715159772,0.7970687711386697,0.7006937561942518,0.7457805907172996,0.8194859533771668,0.8839458413926499,0.8504962779156328,0.8839458413926499,0.8607169678800791,0.8757793335160857,0.13132201179882816,0.4109472829952138,0.02580883478804026,2742,360,604,1414,5120,2018,3102,1.0
0.0,3407,0.4476509690284729,0.8087890625,0.7889495827047226,0.8052916485435422,0.7889495827047226,0.7948410241822514,0.8061666223368877,0.7940011318619129,0.6952428146679881,0.7413474240422722,0.8165821652251715,0.8826563507414571,0.8483346243222308,0.8826563507414571,0.8593401837939466,0.8731891698121164,0.13148731273877323,0.40863740496411155,0.01621477071093977,2738,364,615,1403,5120,2018,3102,1.0
0.0,7319,0.4476509690284729,0.8099609375,0.7861935999601268,0.8104694235643264,0.7861935999601268,0.7939554400348977,0.8061137856916398,0.8119402985074626,0.6739345887016849,0.7365285675602491,0.8089985486211901,0.8984526112185687,0.8513823125095463,0.8984526112185687,0.8620284540962917,0.8775466322120898,0.13066522243821227,0.40725617940848513,0.028204963250027502,2787,315,658,1360,5120,2018,3102,1.0
1.0,42,0.44037243723869324,0.8079859072225485,0.7877921890762358,0.8055856501034436,0.7877921890762358,0.7939822564910382,0.8051157896176668,0.797945205479452,0.6903703703703704,0.7402700555996823,0.8132260947274352,0.8852140077821011,0.847694457382394,0.8852140077821011,0.8575860421731832,0.8717573777841827,0.1330019066835033,0.41193356145840787,0.022331554927537054,2730,354,627,1398,5109,2025,3084,1.0
1.0,1201,0.44037243723869324,0.8060285770209434,0.790325455156843,0.8000280483324894,0.790325455156843,0.7942172124076434,0.8044363587519937,0.7779569892473118,0.7145679012345679,0.744916344916345,0.822099107417667,0.8660830090791181,0.843518079898942,0.8660830090791181,0.8580713019662431,0.8723619317544955,0.13461501727450564,0.4207271673511425,0.03475558076817289,2671,413,578,1447,5109,2025,3084,1.0
1.0,2026,0.44037243723869324,0.8068115091015854,0.7874977182110775,0.8034759959366427,0.7874977182110775,0.7932162599180235,0.8042066178458037,0.7925591882750845,0.694320987654321,0.7401947881021321,0.8143928035982009,0.880674448767834,0.8462377317339149,0.880674448767834,0.8570721917679363,0.8720015692302765,0.1338240658597891,0.4151526486110083,0.027133293137068068,2716,368,619,1406,5109,2025,3084,1.0
1.0,3407,0.44037243723869324,0.8107261695047955,0.7928599221789883,0.8067547826145295,0.7928599221789883,0.7980498768756581,0.8085375283555459,0.7932372505543237,0.7066666666666667,0.7474536432488901,0.8202723146747353,0.87905317769131,0.848646110502426,0.87905317769131,0.8581113654468195,0.872174344686234,0.13369958866461965,0.4171746130273125,0.026213422688889078,2711,373,594,1431,5109,2025,3084,1.0
1.0,7319,0.44037243723869324,0.8005480524564494,0.7918057356967863,0.7915596996657798,0.7918057356967863,0.791681873829202,0.8005901121273566,0.7477832512315271,0.7496296296296296,0.7487053020961776,0.8353361481000324,0.833981841763943,0.8346584455622262,0.833981841763943,0.8584955388228337,0.8722506445052921,0.13440316444721762,0.41602033945177547,0.03462661457072849,2572,512,507,1518,5109,2025,3084,1.0
2.0,42,0.4511343240737915,0.8129733928918237,0.7877640686362888,0.8212789669041185,0.7877640686362888,0.7967188778901837,0.8078715293233144,0.8436341161928307,0.6578313253012048,0.7392363931762794,0.7989238176154064,0.9176968119713728,0.8542013626040879,0.9176968119713728,0.8659907205868933,0.8754110260168846,0.13212739125020015,0.41135587032532794,0.03619149479285029,2821,253,710,1365,5149,2075,3074,1.0
2.0,1201,0.4511343240737915,0.8092833559914546,0.7911733074131269,0.807859004335936,0.7911733074131269,0.796908593728662,0.8066350984497711,0.8031059345535219,0.6978313253012048,0.7467766890149562,0.8126120741183502,0.8845152895250488,0.8470404984423676,0.8845152895250488,0.8655167306030356,0.8740627572097106,0.13131608113343415,0.4084536062817965,0.021534287971787185,2719,355,627,1448,5149,2075,3074,1.0
2.0,2026,0.4511343240737915,0.8149155175762284,0.7922880591984072,0.8197077798588148,0.7922880591984072,0.8003218941622379,0.8107953351037441,0.8335315101070154,0.6756626506024096,0.7463401650252861,0.8058840496106143,0.9089134677944047,0.8543036232991897,0.9089134677944047,0.8657284344707372,0.875330756990225,0.13100484115567376,0.4076080812842324,0.019127707605015577,2794,280,673,1402,5149,2075,3074,1.0
2.0,3407,0.4511343240737915,0.8081180811808119,0.7954441056352932,0.8025247950879544,0.7954441056352932,0.7983908399463561,0.8069828063417772,0.779722079258878,0.7301204819277108,0.7541065206570433,0.8253275109170306,0.8607677293428757,0.8426751592356688,0.8607677293428757,0.8663652792015317,0.8762369190490003,0.13248309077426884,0.4123670318056595,0.04317535359718471,2646,428,560,1515,5149,2075,3074,1.0
2.0,7319,0.4511343240737915,0.8075354437754904,0.7918237687248669,0.803850603926362,0.7918237687248669,0.796324917912818,0.8055958743174618,0.7904608788853161,0.7108433734939759,0.748540979446841,0.8172403289674078,0.872804163955758,0.8441088563787951,0.872804163955758,0.8638474280343105,0.8740249743280214,0.13231283817743092,0.4122904833518327,0.020431375536531547,2683,391,600,1475,5149,2075,3074,1.0
