outer_fold,trial_number,state,value,params,config,macro_f1,pr_auc,roc_auc,nll,brier,ece,selected_epochs,architecture_hash,parameter_count,outer_labels_used,failure_type
1,13,COMPLETE,0.7975289461573861,"{""batch_size"": 128, ""dropout"": 0.155828039595897, ""learning_rate"": 0.001263093016126881, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""survival_weight"": 0.1, ""weight_decay"": 0.00039352199757291135}","{""batch_size"": 128, ""dropout"": 0.155828039595897, ""learning_rate"": 0.001263093016126881, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 0.00039352199757291135}",0.7975289461573861,0.8579992380800192,0.8705526203273881,0.4138699049949323,0.13301472688562843,0.013448266776463451,"[7, 5]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
1,14,PRUNED,-0.4349988889038784,"{""batch_size"": 256, ""dropout"": 0.15456902783692922, ""learning_rate"": 0.0011915041085767397, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""survival_weight"": 0.2, ""weight_decay"": 0.0004729860955413831}","{""batch_size"": 256, ""dropout"": 0.15456902783692922, ""learning_rate"": 0.0011915041085767397, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.2, ""weight_decay"": 0.0004729860955413831}",,,,,,,,,,False,PRUNED
1,15,COMPLETE,0.7957965640107768,"{""batch_size"": 128, ""dropout"": 0.24076164465634234, ""learning_rate"": 0.0012902817560647391, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""survival_weight"": 0.1, ""weight_decay"": 0.00011654790317548585}","{""batch_size"": 128, ""dropout"": 0.24076164465634234, ""learning_rate"": 0.0012902817560647391, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 0.00011654790317548585}",0.7957965640107768,0.8582004907138798,0.8710113722531454,0.41420731054793936,0.1335325170658794,0.01833732636627841,"[6, 9]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
1,16,PRUNED,-0.4442416244098503,"{""batch_size"": 256, ""dropout"": 0.3065626080217067, ""learning_rate"": 0.0006020848641662443, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""survival_weight"": 0.15, ""weight_decay"": 0.0001421035213157188}","{""batch_size"": 256, ""dropout"": 0.3065626080217067, ""learning_rate"": 0.0006020848641662443, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.15, ""weight_decay"": 0.0001421035213157188}",,,,,,,,,,False,PRUNED
1,17,PRUNED,-0.4085223329553707,"{""batch_size"": 128, ""dropout"": 0.23856480361070637, ""learning_rate"": 0.0019914827461726342, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""survival_weight"": 0.0, ""weight_decay"": 2.9332108828098022e-05}","{""batch_size"": 128, ""dropout"": 0.23856480361070637, ""learning_rate"": 0.0019914827461726342, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.0, ""weight_decay"": 2.9332108828098022e-05}",,,,,,,,,,False,PRUNED
2,0,COMPLETE,0.7944871710158853,"{""batch_size"": 128, ""dropout"": 0.189827709452018, ""learning_rate"": 0.000930678331656263, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.2, ""weight_decay"": 4.94290901166847e-07}","{""batch_size"": 128, ""dropout"": 0.189827709452018, ""learning_rate"": 0.000930678331656263, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.2, ""weight_decay"": 4.94290901166847e-07}",0.7944871710158853,0.8548396653818973,0.8692738999819193,0.4147912276945268,0.13365758355487992,0.010128570397244501,"[7, 12]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,1,COMPLETE,0.7955514162851309,"{""batch_size"": 128, ""dropout"": 0.15345620303265214, ""learning_rate"": 0.0014037179086758863, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.1, ""weight_decay"": 1.0900937338739706e-05}","{""batch_size"": 128, ""dropout"": 0.15345620303265214, ""learning_rate"": 0.0014037179086758863, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.1, ""weight_decay"": 1.0900937338739706e-05}",0.7955514162851309,0.8544072872502233,0.8688995896760969,0.4153787496134666,0.13379641974968995,0.013005302899020636,"[7, 5]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,2,COMPLETE,0.7939782860764415,"{""batch_size"": 128, ""dropout"": 0.2986437290570542, ""learning_rate"": 0.0001836656312251053, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.1, ""survival_weight"": 0.2, ""weight_decay"": 1.376958500934898e-06}","{""batch_size"": 128, ""dropout"": 0.2986437290570542, ""learning_rate"": 0.0001836656312251053, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.1, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.2, ""weight_decay"": 1.376958500934898e-06}",0.7939782860764415,0.8516347861601175,0.8662136638315605,0.41994874603532856,0.13508350037314695,0.010242658174245384,"[13, 15]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,3,COMPLETE,0.7957220546991508,"{""batch_size"": 256, ""dropout"": 0.12374299582411452, ""learning_rate"": 0.0016221523733041955, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""survival_weight"": 0.15, ""weight_decay"": 0.00013898047783742103}","{""batch_size"": 256, ""dropout"": 0.12374299582411452, ""learning_rate"": 0.0016221523733041955, ""loss_policy"": ""standard_bce"", ""outcome_weight"": 0.0, ""pos_weight_strategy"": ""not_applicable"", ""survival_weight"": 0.15, ""weight_decay"": 0.00013898047783742103}",0.7957220546991508,0.8553520863058439,0.8695058472215792,0.4164958606222991,0.13402194446958257,0.016117804225868154,"[10, 10]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
2,4,COMPLETE,0.7899620259863982,"{""batch_size"": 128, ""dropout"": 0.167164092619482, ""learning_rate"": 0.00013303570113686907, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""full_ratio"", ""survival_weight"": 0.1, ""weight_decay"": 5.619171218758774e-05}","{""batch_size"": 128, ""dropout"": 0.167164092619482, ""learning_rate"": 0.00013303570113686907, ""loss_policy"": ""weighted_bce"", ""outcome_weight"": 0.2, ""pos_weight_strategy"": ""full_ratio"", ""survival_weight"": 0.1, ""weight_decay"": 5.619171218758774e-05}",0.7899620259863982,0.849430174360846,0.8640889335536931,0.42619195583674907,0.13767811821985873,0.031814649372619914,"[14, 14]",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,False,
