dataset,model_id,model,result_scope,accuracy,balanced_accuracy,brier,ece,macro_f1,macro_precision,macro_recall,nll,pr_auc,risk_f1,risk_precision,risk_recall,roc_auc,weighted_f1,model_family
oulad,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.840096241383795,0.8203325597306252,0.113355264386113,0.0086833892280393,0.8280835945631038,0.8430522307981456,0.8203325597306252,0.3587775601633183,0.893354764945997,0.7826394413506585,0.8521655437921078,0.7236024844720497,0.908155801278951,0.8373686465460342,
oulad,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8333333333333334,0.8124153879392819,0.1170047348909172,0.024651326424247,0.820397911139563,0.8365655410873117,0.8124153879392819,0.3705720201201606,0.8884443736144516,0.7721980268420585,0.8462887200467563,0.7100359594638771,0.9030674453529824,0.8302460081913746,
oulad,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8373650669788009,0.8222797579920315,0.1158394638454701,0.0234135121679654,0.8272623138314418,0.8349674959005586,0.8222797579920315,0.3687947722649177,0.8904000240753295,0.7854876061411785,0.8263851290380798,0.7484472049689441,0.9052610132477404,0.8357976325700818,
oulad,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.8353492001560671,0.8192748339531334,0.1185381579078843,0.0329277094948562,0.8247373289996984,0.8335790638690135,0.8192748339531334,0.3758549544794035,0.8856338316578541,0.7816111781956184,0.8274287801314828,0.7406015037593985,0.9027574511920706,0.8335487716987763,
oulad,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8181167902197946,0.8007232314517159,0.1300800628401092,0.0203146978982535,0.8061220282638637,0.8152611467702611,0.8007232314517159,0.4133558559029089,0.8586588749117846,0.7578983813728036,0.8055197792088317,0.7155933311539718,0.8818299151955388,0.8159749804378598,
oulad,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8330732214852387,0.8161093879406941,0.118762756068873,0.017930352199012,0.8219663704534752,0.8318355951410379,0.8161093879406941,0.3754764203838093,0.8847264961563326,0.7774984831411978,0.8276434766562096,0.7330827067669173,0.8994142289473331,0.8310519538801351,
oulad,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8336584731434517,0.8203389495430755,0.1173469505786513,0.0312804482902706,0.8241268727593536,0.8294577217895951,0.8203389495430755,0.3712884614078283,0.8888945723445539,0.7831835904390575,0.8133802816901409,0.7551487414187643,0.903019839485087,0.832492316448414,
oulad,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.8361945636623748,0.8186179894755199,0.1183695078940597,0.0170928203511261,0.8249656291577218,0.83601356447243,0.8186179894755199,0.3796922872867507,0.8797109823751686,0.7806322389619438,0.8354147250698974,0.7325923504413206,0.8993475154220419,0.834023732421809,
oulad,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8352191442320198,0.8222171837237002,0.1159285805912891,0.0160024135498048,0.8258770525030403,0.8309568349341077,0.8222171837237002,0.3657695016647739,0.8900330155355083,0.7855450236966824,0.8144963144963145,0.7585812356979404,0.9047525818725608,0.8341176061842457,
oulad,mlp,MLP,FINAL_PROBABILITY_ENSEMBLE,0.8392508778774873,0.8219322369215367,0.2286925344271401,0.0060305352676675,0.8282857900281345,0.8392450983878872,0.8219322369215367,0.3620183902919177,0.8917099151142994,0.7848938391924817,0.8392259024934872,0.7371690094802223,0.9073361577951828,0.8371515404199684,
oulad,h1_tabular_residual,,,0.8118090779034985,0.7921857359616526,0.13070167240041966,0.011987802941613264,0.7984000886272689,0.8100721038104254,0.7921857359616526,0.4062919196580419,0.8630392629373055,0.7464072905713284,0.8044956554590103,0.69614253023864,0.8761419406813589,0.80902314568877,cnn_bilstm_tabular_residual
