fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,threshold_source,train_pr_auc,generalization_gap,recall_fail,recall_withdrawn,non_withdrawn_risk_recall
0,42,FINAL-100,0.9795638214976603,0.9695518964033989,0.9253192670738478,0.9515201314708299,0.9058670143415906,0.9281325140261822,0.44,stop_only,0.9823255039892006,0.002761682491540296,0.7973977695167286,0.984691580369203,0.7973977695167286
0,1201,FINAL-100,0.9797957766408366,0.9704807581047072,0.925458078845086,0.96035734226689,0.8970013037809648,0.9275987596063098,0.43,stop_only,0.9833144458829544,0.0035186692421177446,0.7825278810408922,0.9801891040072039,0.7825278810408922
0,2026,FINAL-100,0.9794684571031889,0.9695100624104351,0.9246252082176568,0.9526952695269527,0.9032594524119948,0.9273189666711283,0.48,stop_only,0.9835348375677577,0.004066380464568864,0.79182156133829,0.9842413327330032,0.79182156133829
1,42,FINAL-100,0.9793926557823618,0.9694264359388267,0.9258851081416173,0.9765914930059949,0.8823832860459118,0.92710027100271,0.54,stop_only,0.9858730651820078,0.006480409399646003,0.7451227186910007,0.9777097902097902,0.7451227186910007
1,1201,FINAL-100,0.9786270248722154,0.9689617476003305,0.9205124672819948,0.9774305555555556,0.8712922362651535,0.9213146052093277,0.79,stop_only,0.9864361232814831,0.00780909840926769,0.7382001258653241,0.9637237762237763,0.7382001258653241
1,2026,FINAL-100,0.9763823058996824,0.9653119650421362,0.9144510263121642,0.9648772130211308,0.8715501676554037,0.9158422550481095,0.57,stop_only,0.9828365155845824,0.006454209684899959,0.7426054122089364,0.9611013986013986,0.7426054122089364
2,42,FINAL-100,0.97734970686151,0.9672708288245188,0.9218169304886442,0.9579903491342606,0.8893280632411067,0.9223831647991254,0.55,stop_only,0.982689171205003,0.005339464343492972,0.7545931758530183,0.9797446059004844,0.7545931758530183
2,1201,FINAL-100,0.9780734475339277,0.9683623606064404,0.9255333792154163,0.966189111747851,0.8885375494071146,0.9257378174330817,0.54,stop_only,0.9829373283910929,0.00486388085716527,0.75,0.9815059445178336,0.75
2,2026,FINAL-100,0.978594775014359,0.9691764911361453,0.9244322092222987,0.9715281812899477,0.881159420289855,0.924139836949012,0.57,stop_only,0.9821565613879482,0.003561786373589171,0.7401574803149606,0.9757815940114487,0.7401574803149606
