,precision,recall,f1-score,support
0,0.7419354838709677,0.8846153846153846,0.8070175438596491,26.0
1,0.8181818181818182,0.6428571428571429,0.72,42.0
2,0.78125,0.8928571428571429,0.8333333333333334,28.0
accuracy,0.78125,0.78125,0.78125,0.78125
macro avg,0.7804557673509286,0.8067765567765567,0.7867836257309943,96.0
weighted avg,0.7867599890029325,0.78125,0.7766228070175437,96.0
