,precision,recall,f1-score,support
0,0.7428571428571429,1.0,0.8524590163934426,26.0
1,1.0,0.6842105263157895,0.8125,38.0
2,0.8333333333333334,1.0,0.9090909090909091,15.0
accuracy,0.8481012658227848,0.8481012658227848,0.8481012658227848,0.8481012658227848
macro avg,0.8587301587301588,0.8947368421052632,0.8580166418281173,79.0
weighted avg,0.8837251356238698,0.8481012658227848,0.8439911147163689,79.0
